"1","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Bjorkman","Carpenter","Carpenter","Carpenter","Carpenter","Carpenter","Carpenter","Carpenter","Carpenter","Carpenter","Carpenter","Carpenter","Carpenter","Carpenter","Wegener","Wegener","Wegener","Wegener","Wegener","Wegener","Wegener","Wegener","Wegener","Wegener","Wegener","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank","Overvote"
"08-050 Funny River No. 2","87","25","0","11","0","0","3","0","0","0","0","0","80","24","0","8","0","0","0","2","0","0","0","0","0","15","2","2","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0"
"08-055 Hope","25","2","0","1","0","0","3","2","0","0","0","0","4","3","0","2","0","0","0","1","0","0","0","0","0","16","0","1","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","6","0"
"08-060 Mackey Lake","137","37","0","27","2","0","14","15","0","0","0","0","163","43","0","14","1","0","3","5","0","0","0","0","0","29","9","8","1","1","2","0","0","1","0","0","1","0","1","1","0","0","0","0","0","24","0"
"08-065 Moose Pass","70","10","0","3","0","0","12","0","0","1","0","0","28","10","0","2","0","0","2","0","0","0","0","0","0","14","1","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"08-070 Nikiski","206","34","0","26","0","0","12","11","0","0","1","1","334","69","0","25","1","1","3","9","0","2","2","0","0","25","8","6","0","1","7","0","0","1","0","0","2","0","0","1","0","0","0","0","0","15","0"
"08-075 Salamatof","215","61","0","21","1","1","19","21","0","0","0","1","257","56","0","26","1","0","5","14","1","0","3","0","0","18","6","10","0","4","8","0","0","0","1","1","1","0","1","1","0","0","0","0","0","14","0"
"08-080 Sterling No. 1","189","36","0","17","1","0","16","17","0","0","1","0","249","72","0","22","0","1","1","9","0","0","0","0","0","27","6","9","0","1","6","0","0","0","0","0","2","0","0","0","0","0","0","1","0","23","1"
"08-085 Sterling No. 2","211","67","1","19","4","0","18","6","1","0","0","0","292","62","0","19","1","0","12","5","1","0","0","0","0","40","5","4","1","1","7","0","0","0","0","0","1","0","0","0","0","0","0","0","0","40","0"
"District 7 - Absentee","475","151","0","58","1","0","62","30","3","0","0","1","342","106","0","22","4","0","4","8","0","2","0","0","0","150","42","28","0","3","20","0","0","2","2","3","1","0","0","0","0","2","0","0","0","92","5"
"District 7 - Early Voting","1272","279","0","134","6","0","107","82","5","2","1","3","947","216","1","54","7","2","10","14","1","3","3","0","4","221","48","38","1","8","29","2","1","1","3","1","4","2","1","0","0","0","0","0","1","129","2"
"District 7  - Question","43","15","0","12","0","0","2","2","0","0","0","0","30","7","0","4","0","0","1","3","0","0","0","0","0","9","2","2","0","2","7","0","0","0","0","0","0","0","1","0","0","0","0","0","0","18","0"
"District 8 - Absentee","571","146","0","58","3","0","60","43","4","1","0","1","523","179","0","57","10","0","5","14","0","3","1","0","0","286","53","45","1","9","26","0","0","1","2","0","3","0","0","0","1","0","1","1","0","85","3"
"District 8 - Early Voting","814","209","0","68","6","1","75","66","1","0","3","2","1161","265","0","75","9","1","19","25","0","0","0","1","4","168","31","40","2","9","15","0","0","1","1","1","1","0","0","0","0","0","0","0","0","102","2"
"District 8  - Question","14","5","0","6","0","0","0","3","0","0","0","0","28","6","0","3","0","0","0","1","0","0","0","0","0","3","1","1","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0"
"Total","5999","1465","1","721","36","3","523","453","19","8","8","10","5614","1471","1","457","39","5","81","150","5","14","13","1","9","1390","268","255","6","49","188","2","2","8","13","10","26","2","5","4","2","3","1","3","1","777","17"
