"1","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Blank","Overvote"
"2","","Goode","Goode","Goode","Goode","Kowalski","Kowalski","Kowalski","Overvote","Schwanke","Schwanke","Schwanke","","Fields","Fields","Fields","Fields","Kowalski","Kowalski","Kowalski","Overvote","Schwanke","Schwanke","Schwanke","Schwanke","","Fields","Fields","Fields","Fields","Goode","Goode","Goode","Schwanke","Schwanke","Schwanke","","Fields","Fields","Fields","Fields","Goode","Goode","Goode","Goode","Kowalski","Kowalski","Kowalski","Kowalski","Overvote","",""
"3","","","Kowalski","Overvote","Schwanke","","Goode","Schwanke","","","Goode","Kowalski","","","Kowalski","Overvote","Schwanke","","Fields","Schwanke","","","Fields","Kowalski","Overvote","","","Goode","Overvote","Schwanke","","Fields","Schwanke","","Fields","Goode","","","Goode","Kowalski","Overvote","","Fields","Kowalski","Overvote","","Fields","Goode","Overvote","","",""
"36-134 Northway","3","0","0","0","0","0","0","0","0","0","0","1","5","0","2","1","2","0","5","0","0","2","1","0","0","12","0","1","0","1","0","1","1","0","1","1","16","0","1","1","0","2","3","0","1","0","0","2","0","0","5","0"
"36-138 Nulato","6","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","1","0","0","0","0","40","0","2","0","0","0","2","1","1","1","1","6","0","0","0","0","0","1","0","0","0","1","0","0","0","2","0"
"36-142 Ruby","1","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","1","0","0","0","0","0","0","13","1","0","0","0","0","0","0","0","0","0","6","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0"
"36-146 Shageluk","1","0","0","0","0","0","1","1","0","0","0","0","2","0","1","0","1","0","2","0","0","0","1","0","0","3","0","1","0","1","0","2","0","1","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0","0","1","0"
"36-162 Tanana","4","0","0","0","1","1","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","1","0","0","0","41","2","1","0","2","0","0","0","0","1","0","6","0","1","0","0","0","0","0","0","0","0","1","0","0","7","0"
"36-166 Tetlin","0","0","0","0","0","0","0","1","0","0","0","1","6","0","0","0","1","0","0","0","0","0","0","0","0","11","1","0","0","1","0","0","0","0","0","1","5","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0"
"36-170 Tok","8","0","0","0","2","1","0","0","0","0","1","1","85","4","0","0","0","0","3","0","0","27","14","1","0","36","2","3","0","4","0","6","0","1","0","2","202","3","6","9","0","33","22","8","0","2","3","3","0","0","29","1"
"36-174 Venetie","4","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","1","0","0","0","0","0","0","0","0","22","1","2","0","1","0","0","1","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"House District 36 - Judicial District 3","16","0","1","0","1","5","2","0","0","5","6","0","64","1","1","0","3","4","0","0","0","22","10","0","0","115","17","7","0","13","4","4","4","13","5","7","187","12","10","8","0","43","29","3","0","1","3","4","0","0","31","2"
"House District 36 - Judicial District 4","46","1","3","0","6","2","7","7","1","4","17","4","340","7","5","0","11","1","9","6","1","140","57","7","0","656","68","42","0","54","9","15","17","47","15","28","439","9","12","13","0","146","69","15","2","10","9","8","0","1","114","5"
"Total","264","19","20","1","31","18","32","19","1","21","56","16","1386","29","28","2","45","12","52","21","4","472","208","31","1","2050","198","128","1","153","36","84","52","122","60","69","1978","67","81","64","1","552","259","71","3","37","28","44","1","3","431","20"
