"1","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Fields","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Goode","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Kowalski","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Schwanke","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank","Overvote"
"36-074 Galena","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","20","0","0","1","0","0","0","0","0","3","0","0","0","0","0","0","1","1","2","0","0","0","0","0","0","0","0","0","0","0","47","1","0","0","0","0","2","0","0","0","0","0","0","2","0","0","0","2","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","32","0","0","1","0","2","0","0","0","0","7","1","2","0","0","1","2","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","6","0"
"36-078 Glennallen","14","2","0","0","0","1","1","1","0","0","0","0","0","0","3","0","2","0","0","0","0","0","19","2","0","0","0","2","1","2","0","1","1","0","0","0","0","0","7","2","5","0","1","1","0","0","0","0","0","0","0","0","10","2","0","1","0","0","0","0","0","0","0","0","0","2","0","1","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","45","3","8","1","0","3","1","0","0","0","6","9","3","0","0","0","1","0","0","1","0","0","0","1","1","2","0","0","0","0","0","0","0","0","0","0","0","6","0"
"36-082 Grayling","5","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","16","0","0","1","1","1","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","5","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","2","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","1","2"
"36-086 Holy Cross","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","2","0","0","0","0","0","1","0","0","0","0","0","1","0","0","1","0","0","1","0","0","0","0","0","0","0","0","7","0","0","1","1","1","1","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","3","0"
"36-090 Hughes","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"36-094 Huslia","6","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","45","2","0","2","0","0","2","0","0","0","0","0","1","3","1","1","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0"
"36-098 Kaltag","3","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","12","0","0","2","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"36-102 Kenny Lake","8","0","0","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","16","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","7","3","3","0","0","0","0","0","0","0","0","0","0","0","20","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","64","4","2","7","0","1","0","0","0","0","12","5","2","0","0","1","4","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","12","0"
"36-106 Koyukuk","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","2","0"
"36-110 Manley","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"36-114 McGrath","0","0","0","1","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","0","0","12","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","9","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","42","0","0","0","0","0","0","0","0","0","8","2","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","2"
"36-118 Mentasta","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","0","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"36-122 Minto","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","6","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","15","1","0","2","0","0","2","1","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"36-126 Nenana","3","1","0","2","0","0","1","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","57","0","2","1","0","0","1","1","0","6","1","2","0","0","0","0","13","3","4","0","0","1","1","0","0","0","0","0","0","0","57","6","1","2","0","0","3","0","0","0","0","0","0","5","2","1","0","1","0","3","0","1","2","1","0","1","0","0","0","0","0","0","0","74","1","1","2","0","3","0","0","0","0","11","8","3","0","0","1","1","0","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","17","0"
"36-130 Nikolai","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"36-134 Northway","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","5","0","0","2","1","0","2","0","1","4","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","12","0","0","1","0","0","1","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","16","0","0","1","0","1","0","0","0","0","2","1","2","0","0","0","0","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","5","0"
