"1","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Blank","Overvote"
"2","","Keppel","Keppel","Keppel","Keppel","McCormick","McCormick","McCormick","McCormick","Overvote","Sosa","Sosa","Sosa","","Jimmie","Jimmie","Jimmie","Jimmie","McCormick","McCormick","McCormick","Overvote","Sosa","Sosa","Sosa","","Jimmie","Jimmie","Jimmie","Keppel","Keppel","Keppel","Keppel","Overvote","Sosa","Sosa","Sosa","","Jimmie","Jimmie","Jimmie","Keppel","Keppel","Keppel","McCormick","McCormick","McCormick","McCormick","Overvote","",""
"3","","","McCormick","Overvote","Sosa","","Keppel","Overvote","Sosa","","","Keppel","McCormick","","","McCormick","Overvote","Sosa","","Jimmie","Sosa","","","Jimmie","McCormick","","","Keppel","Sosa","","Jimmie","Overvote","Sosa","","","Jimmie","Keppel","","","Keppel","McCormick","","Jimmie","McCormick","","Jimmie","Keppel","Overvote","","",""
"38-830 Kwigillingok","22","0","5","0","3","1","2","0","2","0","1","2","5","11","1","5","0","1","1","1","2","0","0","1","3","3","0","2","1","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","1"
"38-836 Mekoryuk","15","0","2","0","0","1","2","0","6","1","1","0","3","8","0","1","0","1","0","2","0","0","0","0","0","12","1","1","1","1","3","0","0","1","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0"
"38-838 Napakiak","17","0","2","1","1","0","1","0","0","0","0","2","1","15","2","6","0","0","1","3","0","0","0","1","0","5","0","1","1","0","0","0","0","0","0","0","1","2","0","1","2","1","0","1","0","0","0","0","0","3","0"
"38-840 Napaskiak","14","0","7","0","1","0","10","0","1","0","0","0","3","3","0","2","0","1","0","3","3","0","0","0","0","4","1","6","0","0","4","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","2"
"38-842 Newtok","8","0","9","0","6","0","6","0","2","1","0","0","6","2","0","3","0","2","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","2","0","0","0","0","0","1","0","0","2","2"
"38-844 Nightmute","18","0","0","0","1","1","0","1","1","0","0","0","2","4","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","2"
"38-846 Nunapitchuk","28","2","4","1","1","2","3","0","1","0","0","3","5","20","2","2","0","4","2","3","0","0","0","0","0","6","1","3","1","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","1","0"
"38-848 Quinhagak","22","1","2","0","0","1","3","0","8","0","1","1","6","30","0","1","0","3","3","7","2","0","0","2","1","16","1","0","7","0","1","0","0","0","0","1","1","6","0","1","1","0","0","1","0","0","0","0","0","2","2"
"38-852 Toksook Bay","47","2","11","0","2","1","6","0","17","1","2","6","24","11","0","6","0","2","0","4","4","0","0","0","3","5","0","2","5","1","1","0","2","0","1","0","0","1","0","0","0","0","0","0","0","1","1","0","1","6","4"
"38-854 Tuluksak","1","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38-856 Tuntutuliak","29","3","8","0","4","1","4","0","7","0","0","4","1","14","2","8","1","2","0","5","1","2","0","0","0","2","1","5","1","0","2","0","1","0","1","1","0","1","0","0","0","0","1","1","0","1","0","0","0","2","1"
"38-858 Tununak","26","0","11","0","6","1","3","0","5","1","1","2","8","5","0","3","0","0","0","0","2","0","0","1","1","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0"
"District 38 - Absentee","46","3","9","0","3","12","12","0","11","0","2","6","13","63","4","7","1","3","4","11","3","0","4","2","4","129","31","11","26","3","9","1","6","0","9","18","3","5","4","0","9","3","0","2","1","5","1","0","0","14","2"
"District 38 - Early Voting","2","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","7","3","4","3","0","1","0","0","0","0","1","0","0","0","0","2","0","1","1","0","0","0","0","0","2","0"
"District 38  - Question","19","0","2","0","0","2","3","0","5","1","0","2","5","22","0","6","0","2","1","4","0","2","0","0","2","13","0","6","4","0","1","0","0","0","0","1","1","4","0","1","1","0","0","0","0","0","0","0","0","8","4"
"Total","645","17","116","2","53","41","106","2","121","10","17","48","117","532","24","81","2","49","29","116","31","8","5","33","22","567","96","87","150","29","71","1","32","6","28","74","25","65","5","16","35","6","8","13","4","16","12","2","2","95","35"
