"1","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Jimmie","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","Keppel","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","McCormick","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Sosa","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank","Overvote"
"38-822 Kasigluk","16","0","0","1","0","2","1","0","0","2","0","0","4","0","1","1","0","2","0","0","3","1","0","6","1","0","1","0","1","1","0","0","1","4","0","0","0","0","1","1","0","0","0","0","0","8","0","0","0","0","1","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"38-824 Kipnuk","43","0","0","4","0","1","0","2","1","4","0","0","5","1","1","1","0","0","0","1","2","0","0","13","0","0","0","0","0","1","0","1","1","0","0","1","0","0","2","2","0","0","0","0","0","7","1","1","4","1","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","5"
"38-826 Kongiganak","11","0","0","4","0","0","5","0","1","0","0","0","6","0","1","0","0","0","0","0","3","0","0","7","0","1","7","0","0","1","0","0","0","4","1","0","0","0","0","1","1","0","0","0","0","8","0","0","4","0","5","0","0","0","0","5","0","0","1","0","0","0","2","0","0","0","0","3","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","5","2"
"38-828 Kwethluk","16","0","3","2","0","1","4","1","3","2","0","0","4","0","0","0","0","5","0","0","4","0","0","14","0","0","2","0","0","1","0","1","2","7","1","5","0","0","0","0","0","2","0","0","0","11","1","1","5","0","7","0","0","0","0","3","0","0","2","0","0","0","4","0","1","0","0","5","0","0","3","0","1","0","0","1","1","0","1","0","0","1","0","0","0","0","0","0","0","1","0","0","4","0"
"38-830 Kwigillingok","22","0","0","5","0","1","2","1","0","2","0","0","2","0","0","1","1","1","0","0","5","0","0","11","1","0","5","0","0","1","0","1","0","1","1","1","0","0","0","1","1","2","0","0","0","3","0","2","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1"
"38-836 Mekoryuk","15","0","1","1","0","0","0","1","0","2","0","2","4","0","1","1","0","0","0","0","2","0","0","8","0","0","1","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","12","1","0","1","0","1","0","0","1","0","3","0","0","0","1","0","2","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0"
"38-838 Napakiak","17","0","0","2","1","1","0","0","0","1","0","0","0","0","0","0","0","2","0","0","1","0","0","15","2","2","4","0","0","0","0","1","0","3","0","0","0","0","1","0","0","0","0","0","0","5","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","1","0","2","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"38-840 Napaskiak","14","0","5","2","0","1","0","0","7","3","0","0","1","0","0","0","0","0","0","0","3","0","0","3","0","1","1","0","0","1","0","0","1","2","1","2","0","0","0","0","0","0","0","0","0","4","1","3","3","0","0","0","0","0","2","2","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"38-842 Newtok","8","0","0","9","0","2","4","0","0","6","0","0","2","0","1","0","0","0","0","0","6","0","0","2","0","0","3","0","0","2","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","2","2"
"38-844 Nightmute","18","0","0","0","0","0","1","1","0","0","1","0","1","0","0","0","0","0","0","0","2","0","0","4","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"38-846 Nunapitchuk","28","2","0","4","1","1","0","2","2","1","0","0","1","0","0","0","1","2","0","2","3","0","0","20","2","1","1","0","0","4","0","2","0","3","0","0","0","0","0","0","0","0","0","0","0","6","1","0","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"38-848 Quinhagak","22","1","0","2","0","0","0","1","0","3","0","1","7","0","0","1","0","1","0","0","6","0","0","30","0","0","1","0","0","3","0","3","1","6","0","2","0","0","0","2","1","0","0","0","0","16","1","0","0","4","3","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","6","0","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","2"
"38-852 Toksook Bay","47","2","2","9","0","0","2","1","1","5","0","1","16","0","1","2","0","6","0","1","23","0","0","11","0","0","6","0","0","1","1","0","0","4","0","4","0","0","0","0","0","3","0","0","0","5","0","0","2","0","5","0","0","1","0","1","0","0","2","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","6","4"
"38-854 Tuluksak","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38-856 Tuntutuliak","29","3","1","7","0","0","4","1","0","4","0","1","6","0","0","0","1","2","1","0","1","0","0","14","2","1","7","1","0","2","0","0","0","5","0","1","2","0","0","0","0","0","0","0","0","2","1","0","5","0","1","0","0","0","1","1","0","0","1","0","1","0","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","1"
"38-858 Tununak","26","0","0","11","0","1","5","1","0","3","0","1","4","0","1","1","0","2","0","1","7","0","0","5","0","0","3","0","0","0","0","0","0","0","0","2","0","0","0","1","0","1","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"District 38 - Absentee","46","3","1","8","0","0","3","12","4","8","0","4","7","0","0","2","3","3","0","4","9","0","0","62","4","3","4","1","0","2","0","4","1","10","1","2","0","4","0","2","1","3","1","1","0","129","30","2","9","12","14","1","0","3","2","7","1","2","4","0","9","11","7","0","3","0","0","5","4","0","0","4","5","3","0","0","1","1","0","1","3","2","1","0","0","0","2","0","0","0","0","0","12","2"
"District 38 - Early Voting","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","7","3","1","3","1","2","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"District 38  - Question","19","0","0","2","0","0","0","2","1","2","0","0","5","0","1","0","0","2","0","0","5","0","0","22","0","1","5","0","0","2","0","1","1","3","0","0","2","0","0","0","1","1","0","0","0","13","0","0","6","2","2","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","4","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","4"
"Total","645","17","17","99","2","11","42","41","36","69","2","16","104","1","10","17","7","39","1","13","103","1","1","528","24","15","66","2","4","43","1","29","17","98","6","25","8","5","7","25","6","16","4","1","1","565","95","19","67","48","101","1","1","29","11","60","1","7","25","6","27","20","54","5","20","1","2","65","5","1","15","5","29","6","1","7","3","9","1","4","6","10","2","9","2","2","4","1","1","1","1","1","91","35"
