"1","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Bye","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Blank","Overvote"
"2","","Bye","Bye","Bye","Bye","Overvote","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Overvote","Palin","Palin","Palin","Palin","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Bye","Bye","Bye","Bye","Overvote","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Bye","Bye","Bye","Bye","Overvote","Palin","Palin","Palin","Palin","",""
"3","","","Overvote","Palin","Peltola","","","Bye","Overvote","Peltola","","Bye","Overvote","Palin","","","Overvote","Palin","Peltola","","","Begich","Overvote","Peltola","","Begich","Overvote","Palin","","","Bye","Overvote","Peltola","","Begich","Overvote","Peltola","","","Begich","Bye","Overvote","","","Bye","Overvote","Palin","","Begich","Overvote","Palin","","","Begich","Bye","Overvote","",""
"01-680 Metlakatla","43","3","0","6","4","0","6","10","0","2","6","5","0","0","4","1","0","0","0","0","1","0","0","0","3","0","0","0","24","9","7","0","3","0","3","0","1","0","0","0","1","0","142","15","34","0","11","4","35","0","5","0","1","2","5","0","11","0"
"01-690 Wrangell","52","4","0","15","2","0","53","20","0","9","10","4","0","4","3","4","0","4","2","0","0","1","0","0","0","0","0","0","115","90","35","0","7","1","7","0","1","0","5","6","0","0","97","30","30","0","11","22","24","0","2","0","1","5","0","0","7","2"
"02-700 Angoon","11","0","0","0","0","0","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","2","0","0","0","0","0","0","0","69","5","9","0","4","1","10","0","3","0","2","2","2","0","4","0"
"02-705 Craig","27","2","0","3","0","0","26","9","0","2","3","4","0","1","2","0","0","0","1","0","1","0","0","0","1","3","0","0","45","33","11","0","4","3","5","0","0","0","1","2","0","0","67","11","15","0","4","15","15","0","4","0","4","5","1","0","3","0"
"02-720 Hoonah","19","1","0","2","1","0","10","7","0","4","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","27","18","4","0","3","1","4","0","2","0","1","2","1","0","95","9","11","0","1","7","7","0","2","0","2","6","1","0","1","0"
"02-725 Hydaburg","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","1","1","0","0","38","2","7","0","3","2","4","0","2","0","0","1","1","0","1","0"
"02-730 Kake","11","0","0","0","0","0","1","0","0","4","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","11","3","0","0","1","0","1","0","0","0","1","1","1","0","65","1","5","0","2","2","4","0","3","0","1","2","1","0","1","0"
"02-735 Kasaan","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","2","0","1","1","0","0","0","0","0","0","0","0","5","1","1","0","0","2","1","0","1","0","0","0","0","0","1","0"
"02-740 Klawock","17","3","0","2","1","0","6","6","0","4","1","2","0","2","0","0","0","0","0","0","1","0","0","1","0","1","0","0","49","32","8","0","9","3","2","0","0","0","1","2","1","0","51","11","17","0","5","10","18","0","2","2","1","4","4","0","2","0"
"02-750 Pelican-Elfin Cove","2","1","0","0","1","0","1","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","9","1","0","0","0","0","0","0","0","0","0","0","0","0","6","1","3","0","0","4","3","0","0","0","0","1","1","0","0","0"
"02-755 Petersburg-Kupreanof","49","7","0","6","2","0","58","24","0","9","10","4","1","3","3","2","0","3","1","0","0","2","0","0","2","2","0","1","140","100","27","0","8","4","4","0","2","0","3","4","3","0","181","56","41","0","6","34","34","0","11","0","4","4","1","0","5","0"
"02-760 Port Alexander","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","5","1","1","0","0","3","1","0","0","0","0","1","0","0","0","0"
"02-765 Sitka No. 1","42","0","0","9","3","0","48","24","0","8","11","11","0","8","5","0","0","2","5","0","2","2","0","0","2","0","0","4","104","86","26","0","11","1","2","0","3","1","7","7","4","0","312","56","65","0","21","56","83","0","16","0","7","9","7","0","5","1"
"02-770 Sitka No. 2","43","2","0","3","1","0","49","11","0","11","9","5","0","6","2","3","0","5","2","0","1","0","0","1","2","1","0","0","100","74","13","0","8","3","4","0","0","0","4","9","1","0","362","84","62","0","8","68","65","0","8","1","14","13","6","0","8","0"
"02-775 Tenakee Springs","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","1","3","0","0","0","1","1","0","0","0","0","0","0","0","19","6","0","0","0","4","2","0","1","0","0","0","0","0","0","0"
