"1","Cronk","Cronk","Cronk","Cronk","Cronk","Cronk","Cronk","Cronk","Cronk","Cronk","Cronk","Cronk","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Fletcher","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank","Overvote"
"2","","Fletcher","Fletcher","Fletcher","Fletcher","Overvote","Williams","Williams","Williams","Write-in","Write-in","Write-in","","Cronk","Cronk","Cronk","Cronk","Overvote","Williams","Williams","Williams","Write-in","Write-in","Write-in","Write-in","","Cronk","Cronk","Cronk","Fletcher","Fletcher","Fletcher","Fletcher","Overvote","Write-in","Write-in","","Cronk","Cronk","Fletcher","Fletcher","Fletcher","Williams","Williams","Williams","",""
"3","","","Overvote","Williams","Write-in","","","Fletcher","Write-in","","Fletcher","Williams","","","Overvote","Williams","Write-in","","","Cronk","Write-in","","Cronk","Overvote","Williams","","","Fletcher","Write-in","","Cronk","Overvote","Write-in","","Cronk","Fletcher","","","Fletcher","","Cronk","Williams","","Cronk","Fletcher","",""
"36-082 Grayling","12","0","0","5","0","0","0","2","0","0","0","0","5","0","0","2","0","0","1","6","0","0","0","0","0","15","0","0","0","1","3","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1"
"36-086 Holy Cross","5","0","0","0","0","0","1","2","0","0","0","0","7","0","0","0","0","0","1","5","0","0","0","0","0","8","0","2","0","0","6","0","0","1","0","0","0","0","0","0","0","0","0","0","0","3","0"
"36-090 Hughes","16","0","0","0","0","0","0","0","0","0","0","0","9","0","0","1","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36-094 Huslia","18","3","0","5","0","0","1","3","0","0","0","0","32","2","0","3","0","0","2","3","0","0","0","0","0","10","1","0","0","1","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","8","0"
"36-098 Kaltag","12","0","0","5","0","0","0","2","0","0","0","0","6","0","0","2","0","0","1","3","0","0","0","0","0","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0"
"36-102 Kenny Lake","102","2","0","7","0","0","7","11","0","0","0","0","27","3","0","1","0","0","3","3","0","0","0","0","0","8","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0"
"36-106 Koyukuk","4","0","0","2","0","0","0","0","0","0","0","0","7","0","0","2","0","0","0","0","0","0","0","0","0","7","0","1","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"36-110 Manley","32","0","0","0","0","0","0","1","0","0","0","0","10","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0"
"36-114 McGrath","47","2","0","2","0","0","4","1","0","0","0","0","14","0","0","2","0","0","0","2","0","0","0","0","0","6","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","1"
"36-118 Mentasta","22","0","0","2","0","0","3","2","0","0","0","0","6","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
