"1","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Blank","Overvote"
"2","","Kelley","Kelley","Kelley","Kelley","Murkowski","Murkowski","Murkowski","Murkowski","Overvote","Tshibaka","Tshibaka","Tshibaka","Tshibaka","","Chesbro","Chesbro","Chesbro","Chesbro","Murkowski","Murkowski","Murkowski","Murkowski","Overvote","Tshibaka","Tshibaka","Tshibaka","Tshibaka","","Chesbro","Chesbro","Chesbro","Chesbro","Kelley","Kelley","Kelley","Kelley","Overvote","Tshibaka","Tshibaka","Tshibaka","Tshibaka","","Chesbro","Chesbro","Chesbro","Chesbro","Kelley","Kelley","Kelley","Kelley","Murkowski","Murkowski","Murkowski","Murkowski","Overvote","",""
"3","","","Murkowski","Overvote","Tshibaka","","Kelley","Overvote","Tshibaka","","","Kelley","Murkowski","Overvote","","","Murkowski","Overvote","Tshibaka","","Chesbro","Overvote","Tshibaka","","","Chesbro","Murkowski","Overvote","","","Kelley","Overvote","Tshibaka","","Chesbro","Overvote","Tshibaka","","","Chesbro","Kelley","Overvote","","","Kelley","Murkowski","Overvote","","Chesbro","Murkowski","Overvote","","Chesbro","Kelley","Overvote","","",""
"22-750 Northeast Anchorage No. 1","19","1","2","0","3","35","15","0","11","0","0","3","3","0","6","0","0","0","0","4","0","0","1","0","4","2","6","0","116","53","61","0","6","8","13","0","13","0","10","9","9","0","114","4","6","2","0","62","20","35","0","13","3","19","0","0","10","3"
"22-755 Northeast Anchorage No. 2","25","1","3","0","3","31","15","0","3","0","4","3","7","0","8","0","1","0","0","1","0","0","4","0","3","1","5","0","85","59","33","0","14","5","21","0","18","0","5","4","19","0","107","0","2","2","0","73","18","29","1","11","2","17","0","0","5","1"
"22-760 Northeast Anchorage No. 3","23","2","8","0","3","47","18","0","6","0","0","1","3","0","9","0","0","0","2","1","2","0","3","0","3","2","11","0","121","79","66","0","10","6","24","0","17","0","12","8","12","0","140","2","4","1","0","64","16","34","0","17","2","17","0","1","4","0"
"22-765 Northeast Anchorage No. 4","13","0","1","0","1","22","9","0","3","0","2","2","2","0","3","2","0","0","1","0","1","0","8","0","2","2","6","0","67","43","40","0","10","7","16","0","5","0","3","9","9","0","75","3","3","2","0","36","10","21","1","10","3","19","0","0","2","0"
"23-805 Chugach Park No. 1","19","0","5","0","2","28","9","0","4","0","1","0","3","0","6","0","0","0","0","1","1","0","4","0","0","2","9","0","168","159","84","0","12","6","20","0","10","1","29","11","19","0","282","2","6","1","0","116","27","77","0","58","9","52","0","0","4","0"
"23-810 Eagle River No. 1","7","0","2","0","2","19","2","0","8","0","0","0","1","0","5","0","0","0","1","2","2","0","1","0","3","0","3","0","99","48","52","0","4","5","19","0","8","0","16","10","23","0","206","1","5","3","0","105","19","38","0","23","5","22","0","0","7","0"
"23-815 Eagle River No. 2","11","1","0","0","1","29","14","0","4","0","0","0","0","0","1","1","1","0","0","1","1","0","2","0","1","1","1","0","71","76","55","0","9","3","18","0","7","0","12","11","19","0","173","2","4","1","0","80","15","40","0","26","4","32","0","0","3","1"
"23-820 Hiland","8","0","1","0","0","12","9","0","5","0","1","1","2","0","3","0","1","0","1","2","0","0","0","0","3","2","6","0","77","66","54","0","11","1","13","0","7","0","17","7","17","0","160","3","2","0","0","87","10","44","0","32","7","20","0","0","6","0"
"23-825 Meadow Creek No. 1","10","0","4","0","2","34","12","0","3","0","0","2","1","0","8","0","2","0","2","2","0","0","3","0","7","2","2","0","102","83","56","0","13","6","10","0","7","1","18","9","16","0","204","0","8","3","0","97","18","57","0","30","5","27","0","0","1","2"
"23-830 Meadow Creek No. 2","6","0","1","0","0","11","7","0","1","0","2","1","0","0","2","0","0","0","0","1","1","0","2","0","1","2","2","0","35","63","30","0","0","6","8","0","3","0","14","5","6","0","147","2","4","1","0","62","13","30","0","20","5","20","0","1","2","1"
"24-850 Chugach Park No. 2","18","0","1","0","1","13","10","0","5","0","0","1","0","0","1","0","0","0","2","1","2","0","2","0","5","2","3","0","84","72","46","0","6","8","11","0","6","1","14","4","9","0","223","1","5","2","0","116","18","47","0","39","2","22","0","0","11","2"
"24-855 Chugiak","7","0","1","0","2","7","6","0","0","0","1","0","0","0","3","0","0","0","0","0","1","0","0","0","1","0","2","0","44","33","17","0","3","3","7","0","2","0","4","0","5","0","86","2","5","0","0","58","6","32","0","18","2","8","0","0","4","0"
"24-860 Eagle River No. 3","21","2","0","0","2","9","10","0","5","0","0","4","2","0","7","0","1","0","3","1","2","0","4","0","3","3","4","0","54","38","37","0","5","7","12","0","5","0","7","3","8","0","154","2","8","0","0","82","24","31","0","23","0","21","0","0","6","1"
"24-865 Eklutna","10","1","4","0","4","18","2","0","1","0","1","3","2","0","3","0","0","0","1","1","2","0","1","0","4","0","4","0","71","62","54","0","10","6","13","0","3","0","10","4","8","0","204","1","3","1","0","121","30","47","0","24","3","24","0","0","9","1"
"24-870 Fire Lake","10","3","2","0","3","23","7","0","1","0","0","2","2","0","9","1","0","0","1","0","1","0","2","0","4","0","3","0","71","63","48","0","8","3","23","0","8","0","14","8","16","0","220","2","9","3","0","98","24","63","0","31","3","37","0","0","8","2"
"24-875 Peters Creek No. 1","10","1","0","0","0","16","11","0","1","0","2","3","0","0","5","0","0","0","0","1","1","0","1","0","4","2","4","0","93","79","39","0","12","5","20","0","5","0","13","6","15","0","340","8","8","0","0","186","31","70","0","45","3","38","0","2","5","2"
"24-880 Peters Creek No. 2","12","2","3","0","3","15","4","0","0","0","0","2","1","0","3","1","1","0","0","1","0","0","1","0","4","2","2","0","42","36","35","0","2","6","11","0","5","0","8","4","11","0","177","0","7","2","0","94","23","23","0","24","3","13","0","0","9","1"
"25-305 Butte","15","4","4","0","2","30","16","0","6","1","0","4","2","0","31","4","5","0","0","3","11","0","7","0","6","3","7","0","70","81","60","0","5","4","17","0","10","0","8","4","9","1","320","8","8","3","0","203","44","75","1","37","3","39","0","0","41","6"
"25-310 Greater Palmer","8","1","2","0","1","21","7","0","1","0","0","1","0","0","8","1","2","0","1","1","3","0","7","0","4","2","6","0","47","38","34","0","0","3","13","0","5","1","8","3","8","0","164","2","0","0","0","72","14","31","0","23","4","25","0","0","11","0"
"25-315 Lazy Mountain","7","3","2","0","1","34","15","0","4","0","0","1","3","0","16","2","2","0","1","3","0","0","0","0","3","3","1","0","54","80","33","0","3","0","8","0","7","0","7","0","10","0","201","4","3","1","0","108","33","49","0","28","3","17","0","0","27","0"
"25-320 Palmer City No. 1","11","2","5","0","2","32","15","0","6","0","2","0","3","0","15","0","1","0","1","1","1","0","7","0","6","1","1","0","61","55","37","0","5","4","11","0","5","0","3","6","7","0","131","0","7","2","0","67","25","45","0","10","2","9","0","1","14","3"
"25-325 Palmer City No. 2","10","2","0","0","3","34","15","0","0","0","0","0","1","0","13","1","1","0","2","2","3","0","0","0","4","0","4","0","34","39","28","1","1","4","5","0","6","0","4","2","6","0","104","2","2","1","0","76","17","31","0","9","0","21","0","0","17","1"
"25-330 Springer Loop","9","1","3","0","1","21","14","0","3","0","0","0","1","0","14","0","0","0","1","4","0","0","4","0","6","2","7","0","56","82","37","0","7","0","6","0","6","0","10","6","7","0","178","2","5","1","0","115","28","45","0","22","0","37","0","0","10","0"
"25-335 Walby","6","0","2","0","1","18","9","0","3","0","1","2","1","0","17","0","6","0","1","4","1","0","3","0","5","3","4","0","25","43","36","0","6","5","14","0","8","0","11","5","11","0","189","8","4","0","0","108","29","71","1","14","2","22","0","0","23","2"
"26-350 Fairview No. 1","2","0","0","0","0","10","5","0","0","0","0","1","1","0","7","0","1","0","2","0","0","0","0","0","5","3","3","0","29","18","14","0","1","4","2","0","3","0","8","1","6","0","199","0","7","1","0","90","23","41","0","13","3","13","0","0","0","0"
"26-355 Fairview No. 2","7","0","0","0","0","11","3","0","0","0","0","0","1","0","4","1","0","0","0","0","1","0","1","0","2","2","1","0","39","16","16","0","1","2","5","0","6","0","5","3","8","0","81","0","2","0","0","48","14","41","0","18","0","22","0","0","4","1"
"26-360 Knik Goose Bay No. 1","12","5","7","0","2","21","5","0","5","1","1","1","2","0","15","1","1","0","3","1","2","1","8","0","10","5","10","1","59","42","28","0","2","6","15","0","12","0","12","5","8","0","328","1","7","1","0","192","46","90","3","20","4","30","0","0","5","4"
"26-365 Knik Goose Bay No. 2","13","4","1","0","1","12","6","0","2","0","0","1","1","0","9","1","1","0","0","2","1","0","5","0","6","2","5","0","45","29","20","0","5","7","4","0","5","0","5","5","4","0","208","2","7","1","0","122","26","67","0","15","5","22","0","0","4","0"
"26-370 Knik Goose Bay No. 3","7","0","0","0","0","9","2","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","2","0","7","3","4","0","21","13","13","0","4","2","5","0","7","0","2","1","6","0","123","1","1","0","0","95","18","34","0","10","2","12","0","0","3","3"
"26-375 Mat-Su Campus","2","3","0","0","2","21","10","0","1","0","1","1","2","0","8","0","0","0","1","0","0","0","2","0","2","1","7","0","37","59","35","0","4","3","7","0","9","0","7","1","2","0","190","3","0","1","0","99","13","59","0","24","0","21","0","0","5","0"
"26-380 Snowshoe","12","4","4","0","0","21","6","0","2","0","1","4","0","0","15","3","2","0","3","1","0","0","3","0","6","4","4","0","64","38","32","0","4","7","13","0","6","0","12","4","11","0","312","1","8","0","0","178","30","86","0","42","2","36","0","0","4","2"
"27-405 Foothills","9","0","1","0","0","16","6","0","1","0","2","0","1","0","8","1","0","0","2","2","0","0","3","0","4","2","8","0","36","21","22","0","0","2","4","0","1","0","7","2","4","0","186","6","9","5","0","136","20","47","1","29","5","21","0","2","9","0"
"27-410 Meadow Lakes No. 1","12","0","3","0","1","20","9","0","3","0","1","1","1","0","7","0","3","0","2","3","0","0","0","0","5","5","7","0","43","42","29","0","3","1","4","0","3","1","8","7","12","0","363","7","9","4","1","159","51","68","0","35","6","31","0","0","2","2"
"27-415 Meadow Lakes No. 2","5","0","1","0","2","16","4","0","2","0","1","1","2","0","4","2","0","0","2","1","0","0","0","0","8","2","4","0","41","32","23","0","5","3","7","0","3","0","5","4","11","0","253","4","6","3","0","145","39","62","0","27","8","12","0","2","2","1"
"27-420 Wasilla No. 1","12","0","4","0","2","23","5","0","3","0","0","2","0","0","8","0","0","0","5","2","1","0","1","0","5","1","2","0","43","34","23","1","4","8","5","0","6","2","10","7","9","0","222","2","13","6","0","124","19","52","0","20","7","16","0","0","9","0"
"27-425 Wasilla No. 2","13","0","0","0","1","10","10","0","3","0","0","1","1","0","12","0","4","0","1","1","0","0","1","1","4","0","10","0","67","41","41","0","6","1","6","0","9","1","6","9","13","0","340","7","14","2","0","173","38","65","0","31","8","29","0","1","3","1"
"28-450 Lakes No. 1","8","2","3","0","4","7","5","0","3","0","3","2","1","0","5","2","0","0","0","1","0","0","3","1","2","3","3","0","45","29","14","1","0","4","7","0","4","0","4","2","7","2","159","1","13","1","0","98","17","50","0","19","2","15","0","0","3","0"
"28-455 Lakes No. 2","6","0","0","0","2","11","0","0","0","0","0","1","1","0","5","2","0","0","3","2","0","0","1","0","4","3","4","0","30","18","15","0","2","5","7","0","3","0","6","6","8","0","136","0","5","1","0","75","12","31","0","11","4","12","0","0","6","0"
"28-460 Seldon No. 1","12","0","0","0","3","8","5","0","2","0","0","1","0","0","9","0","0","0","0","1","1","0","1","0","10","2","6","0","41","26","28","0","3","6","7","0","10","1","4","6","8","0","257","2","12","0","0","159","24","68","0","21","1","20","0","1","4","0"
"28-465 Seldon No. 2","17","3","2","0","8","24","11","0","5","0","1","2","2","0","9","1","2","0","2","1","0","0","1","0","19","6","8","0","71","56","40","0","8","8","10","0","10","1","15","12","12","0","304","5","13","3","0","168","40","60","0","24","3","27","0","0","13","1"
"28-470 Seward Meridian","4","1","0","0","0","9","5","0","0","0","0","0","3","0","4","1","0","0","0","0","0","0","0","0","7","2","4","0","30","24","13","0","0","1","5","0","4","0","2","6","7","0","126","1","7","1","0","71","20","32","0","13","5","10","0","2","4","0"
"28-475 Trunk","21","0","5","0","0","19","8","0","2","0","1","1","2","0","3","0","2","0","3","2","1","0","2","0","2","3","4","0","46","39","31","0","4","6","9","0","7","0","3","5","12","0","227","3","9","0","0","131","30","50","0","14","7","30","0","1","8","3"
"28-480 Wasilla Lake","9","0","0","0","1","12","10","0","2","0","0","2","0","0","4","1","0","0","0","0","0","0","1","0","2","3","5","0","24","13","10","0","3","1","3","0","3","0","5","3","2","0","132","4","7","2","0","65","9","20","0","11","1","7","0","1","6","0"
"29-505 Farm Loop","7","2","3","0","2","12","10","0","6","0","0","2","0","0","26","2","4","0","0","6","2","0","2","0","9","5","6","0","57","70","36","0","3","4","18","0","10","0","9","3","13","0","282","1","12","1","0","151","40","76","0","36","4","28","0","0","43","3"
"29-510 Fishhook","15","1","2","0","4","36","11","0","5","0","1","2","2","0","22","0","0","0","2","10","1","0","4","0","12","5","9","0","87","81","65","0","14","5","7","0","6","0","9","8","20","0","361","4","12","0","0","193","40","117","0","36","2","59","0","0","31","2"
"29-515 Kings Lake","7","0","2","0","3","20","5","0","2","0","1","3","2","0","20","1","0","0","5","6","2","0","6","0","10","0","6","0","37","47","35","0","4","3","13","0","6","0","9","5","14","0","276","6","1","0","0","140","30","75","0","30","4","26","0","0","24","4"
"29-520 Lakes No. 3","7","0","3","0","1","11","1","0","1","0","0","1","2","0","11","0","1","0","1","0","0","0","0","0","1","1","1","0","34","19","14","0","1","2","2","0","3","0","4","2","4","0","108","1","3","0","0","56","13","28","0","11","2","16","0","0","13","0"
"29-525 Sheep Mountain","0","0","0","0","0","5","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","1","0","0","0","9","9","4","0","0","0","1","0","0","0","2","0","2","0","57","0","0","0","0","11","0","7","0","4","0","4","0","1","7","1"
"29-530 Sutton","5","1","0","0","0","10","7","0","0","0","0","1","0","0","13","1","0","0","0","3","1","0","0","0","4","1","2","0","53","32","26","0","5","5","2","0","2","0","4","3","2","0","150","5","6","0","0","58","11","24","0","10","0","7","0","0","14","0"
"29-535 Valdez No. 1","5","0","0","0","3","12","3","0","1","0","1","0","0","0","8","2","1","0","0","2","1","0","0","0","4","1","3","0","55","60","25","0","7","2","11","0","4","2","7","5","7","0","85","1","1","0","0","40","8","19","0","13","0","10","0","0","8","0"
"29-540 Valdez No. 2","5","0","0","0","0","5","1","0","0","0","0","0","1","0","2","0","1","0","0","1","1","0","2","0","2","0","1","0","24","37","19","0","2","0","5","0","1","0","5","1","5","0","64","0","3","0","0","11","10","7","0","5","0","4","0","1","6","0"
"29-545 Valdez No. 3","9","1","0","0","1","12","8","0","1","0","0","0","0","0","11","0","0","0","0","0","1","0","2","0","4","0","8","0","38","29","23","0","6","6","1","0","4","0","2","3","8","0","96","2","3","1","0","29","6","18","0","5","0","6","0","0","9","0"
"30-550 Anderson/Clear","1","1","0","0","0","5","0","0","0","0","0","1","0","0","1","0","0","0","0","1","1","0","1","0","1","1","1","0","8","4","5","0","2","1","1","0","1","0","0","0","1","0","35","1","3","0","0","18","4","16","0","2","0","4","0","0","1","0"
"30-555 Big Lake","14","3","3","0","2","17","12","0","5","0","0","4","3","0","12","1","2","0","1","3","2","0","11","0","11","4","5","0","68","49","24","0","4","3","14","0","11","1","15","3","13","0","352","3","11","0","0","205","39","109","1","37","4","37","0","0","1","3"
"30-560 Cantwell","2","0","1","0","0","1","1","0","1","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","17","14","5","0","0","0","0","0","1","0","0","0","1","0","17","1","0","0","0","10","3","5","0","3","0","1","0","0","0","0"
"30-565 Denali Park","3","0","0","0","0","11","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","24","5","0","0","0","2","0","2","0","1","0","0","0","4","0","1","0","0","0","2","4","0","0","0","1","0","0","0","0"
"30-570 East Schrock","2","2","0","0","0","3","1","0","0","0","0","0","0","0","3","0","1","0","1","0","0","0","0","0","0","1","1","0","7","4","2","0","0","1","0","0","0","0","2","0","0","0","31","0","1","0","0","16","7","7","0","2","0","1","0","0","0","0"
"30-575 Healy","10","1","2","0","0","13","4","0","4","0","0","0","1","0","3","0","0","0","0","0","0","0","1","0","2","0","1","0","27","45","18","0","1","6","4","0","2","0","5","2","7","0","63","0","1","0","0","44","6","31","1","15","1","11","0","0","2","0"
"30-580 Houston","14","3","0","0","2","9","3","0","1","0","1","3","0","0","10","0","1","0","0","1","0","0","3","0","4","2","4","0","44","23","20","0","2","8","8","0","5","1","4","2","4","0","155","2","3","0","0","108","25","48","0","18","1","15","0","0","6","2"
"30-585 Knik Goose Bay No. 4","10","0","1","0","1","14","6","0","1","0","0","3","0","0","13","0","1","0","2","1","1","0","7","1","12","4","4","0","45","43","24","1","3","3","14","0","11","0","10","1","12","0","327","4","10","0","0","189","45","86","1","24","3","29","0","0","5","2"
"30-590 Trapper Creek","4","1","0","0","0","0","2","0","0","0","1","0","0","0","1","0","0","0","0","1","1","0","0","0","4","0","0","0","7","10","4","0","0","0","3","0","1","0","1","0","4","0","59","0","1","0","0","22","8","13","0","3","0","7","0","0","2","1"
"30-595 Susitna","10","2","2","0","0","11","3","0","3","0","0","1","0","0","3","1","0","0","0","1","0","0","2","0","4","3","3","0","51","34","16","0","0","2","4","0","7","0","6","2","9","0","141","0","2","1","0","82","15","31","0","10","0","9","0","0","3","1"
"30-600 Talkeetna","10","0","0","0","1","30","11","0","2","0","1","0","2","0","2","0","0","0","0","2","0","0","2","0","2","0","2","0","40","53","28","0","0","4","8","0","1","0","2","2","3","0","51","0","1","0","0","30","5","9","0","4","0","7","0","0","5","0"
"30-605 Willow","14","0","3","0","1","25","10","0","1","0","1","2","2","0","10","1","0","0","0","1","1","0","10","0","10","8","9","0","77","58","42","1","2","9","10","0","11","1","7","4","5","1","300","3","7","0","0","140","36","79","1","13","3","14","0","0","4","4"
"31-446 Aurora","15","1","3","0","4","36","8","0","10","0","1","4","2","0","15","0","3","0","5","3","2","0","2","0","5","2","1","0","112","83","50","0","14","12","26","0","4","0","11","14","20","0","165","1","5","0","0","97","35","43","0","20","1","16","0","1","3","0"
"31-455 Fairbanks No. 1","27","1","1","0","2","47","18","0","4","0","2","3","1","0","17","0","2","0","4","2","1","0","4","0","8","2","7","0","130","79","91","0","18","6","16","0","7","1","22","19","19","0","154","2","6","2","0","88","17","35","0","19","7","14","0","0","7","0"
"31-480 Fairbanks No. 2","20","2","3","0","4","34","11","0","5","0","1","1","2","0","6","1","0","0","3","1","1","0","0","0","3","6","9","0","121","105","61","0","19","7","23","1","11","0","23","18","23","0","120","4","12","2","0","76","26","34","0","28","7","35","0","1","4","0"
"31-485 Fairbanks No. 3","28","1","3","0","7","33","12","0","13","0","0","4","5","0","7","0","2","0","7","1","0","0","1","0","1","4","5","0","98","50","59","0","11","4","14","2","4","1","8","19","17","1","113","5","10","2","0","81","19","34","0","12","5","19","0","2","3","4"
"32-355 Fairbanks No. 4","26","3","3","0","5","33","11","0","5","0","0","0","0","0","5","0","0","0","4","1","3","0","2","0","5","3","2","0","88","57","41","0","4","5","20","1","6","0","6","10","11","0","122","1","12","1","0","67","31","31","0","12","0","21","0","1","9","0"
"32-365 Fairbanks No. 5","14","0","3","0","3","20","10","0","6","0","0","2","2","0","7","0","1","0","1","1","0","0","2","0","5","1","7","0","75","43","38","0","6","5","16","0","5","0","8","7","10","0","102","2","7","0","0","66","25","19","0","13","1","10","0","0","9","0"
"32-375 Fort Wainwright","5","0","0","0","0","8","7","0","4","0","0","1","1","0","2","0","0","0","0","0","0","0","1","0","0","0","3","0","7","3","7","0","2","3","4","0","3","0","2","1","5","0","11","1","0","0","0","15","8","14","0","4","2","6","0","0","2","0"
"32-385 Badger No. 2","26","0","0","0","7","18","9","0","7","0","0","7","2","0","6","1","1","0","3","3","1","0","1","0","7","2","9","0","80","40","42","0","4","9","31","0","14","0","11","5","17","0","270","3","11","4","0","160","54","73","0","22","3","30","0","0","8","0"
"33-130 Badger No. 1","10","1","3","0","1","25","11","0","4","0","1","2","1","0","38","2","1","0","0","5","3","0","2","0","11","8","9","0","72","56","43","0","13","8","18","0","8","0","7","3","19","0","232","1","6","1","0","170","27","71","0","30","2","28","0","0","14","2"
"33-135 Chena Lakes","10","2","5","0","1","12","7","0","3","0","0","1","0","0","28","2","4","0","1","4","3","0","13","0","13","5","10","0","74","35","32","0","2","10","11","0","11","0","10","2","15","1","251","4","6","2","0","158","37","67","0","37","2","38","0","0","22","1"
"33-155 Moose Creek","2","0","0","0","2","5","1","0","0","0","0","0","1","0","2","0","1","0","1","1","0","0","0","0","3","0","1","0","5","3","2","0","0","0","1","0","1","0","2","1","1","0","28","0","1","0","0","29","2","7","0","2","0","7","0","1","3","0"
"33-165 Newby","13","0","7","0","1","19","8","0","5","0","1","2","0","0","36","0","2","0","2","3","5","0","9","0","8","10","19","0","70","51","45","0","8","10","20","0","13","0","10","3","22","0","305","4","8","1","0","168","51","84","0","43","4","40","0","0","30","0"
"33-175 North Pole","8","0","1","0","2","12","5","0","2","0","1","1","0","0","9","1","1","0","1","2","2","0","3","0","8","2","5","0","39","22","27","0","2","3","9","0","10","0","8","2","13","0","130","1","3","2","0","89","16","37","0","13","3","20","0","0","18","1"
"33-183 Plack","16","2","1","0","2","11","9","0","4","0","0","1","2","0","19","0","1","0","6","5","5","0","3","0","16","5","4","0","54","32","22","0","3","11","24","0","14","0","12","1","21","0","243","2","7","2","0","176","47","84","0","27","4","34","0","0","23","1"
"34-235 Eielson","4","0","1","0","0","4","6","0","4","0","0","0","0","0","1","0","0","0","0","1","1","0","4","0","1","2","1","0","11","5","7","0","3","1","2","0","9","0","2","0","7","0","27","0","1","1","0","18","2","21","0","4","2","28","0","0","1","0"
"34-238 Eielson Farm Road","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","7","2","0","0","0","1","0","2","0","1","0","0","0","13","0","0","0","0","12","1","7","0","0","0","5","0","0","0","0"
"34-240 Farmers Loop","17","0","4","0","0","64","19","0","5","0","0","1","1","0","7","0","2","1","0","1","3","0","3","0","1","5","1","0","110","181","64","0","10","14","18","0","13","0","20","7","17","0","115","1","2","0","0","81","16","33","0","19","3","15","0","0","3","2"
"34-260 Salcha","4","1","2","0","3","9","1","0","1","0","0","3","0","0","13","1","0","0","1","4","0","0","3","0","10","2","6","0","32","14","10","0","3","4","4","0","7","0","5","0","8","0","117","1","7","0","0","80","13","32","1","13","1","14","0","0","0","0"
"34-263 Steele Creek","12","2","4","0","1","28","8","1","1","0","1","0","1","0","6","2","0","0","1","1","1","0","8","0","7","5","11","0","120","97","57","0","10","8","23","0","25","1","16","7","13","0","204","1","3","0","0","147","17","88","0","27","2","29","0","0","5","5"
"34-265 Steese","22","3","1","0","1","35","13","0","4","0","2","1","1","0","13","1","1","0","3","4","1","0","5","0","6","5","8","0","98","103","60","0","11","7","24","0","19","0","19","6","13","0","237","2","7","3","0","147","27","53","0","22","4","37","0","0","8","1"
"34-270 Summit","10","2","1","0","0","27","10","0","5","0","0","3","0","0","10","0","2","0","1","3","0","0","3","0","3","6","7","0","78","88","46","0","8","13","20","0","9","0","6","1","9","0","166","0","7","2","0","106","31","84","0","17","1","29","0","0","3","0"
"34-280 Two Rivers","6","2","1","0","0","15","7","0","3","0","1","0","3","0","4","0","1","0","1","0","2","0","1","0","5","1","6","0","54","33","22","0","2","4","5","0","8","0","3","2","5","0","114","0","3","2","0","73","20","35","0","8","1","18","0","0","2","1"
"35-580 Airport","1","0","0","0","0","5","2","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0","0","0","2","3","0","26","39","20","0","2","2","10","0","1","0","6","1","11","0","68","1","4","0","0","45","4","14","1","7","2","10","0","0","2","0"
"35-582 Chena","9","0","3","0","3","72","19","0","5","0","0","2","0","0","7","1","1","0","0","4","2","0","1","0","2","2","3","0","158","210","103","0","18","12","18","0","10","0","35","12","28","0","224","4","8","3","0","143","29","73","0","46","6","42","0","0","4","0"
"35-584 Ester","10","1","0","0","1","48","15","0","6","0","1","2","1","0","4","0","1","0","3","0","0","0","2","0","4","0","2","0","85","124","51","0","4","1","6","0","4","0","8","4","3","0","78","1","0","2","0","59","6","16","0","10","4","10","1","0","0","0"
"35-586 Geist","11","0","2","0","4","30","9","0","2","0","1","1","2","0","1","0","1","0","1","0","1","0","1","0","3","3","2","0","70","78","46","0","7","6","12","0","7","0","4","7","14","0","91","0","3","0","0","50","12","19","0","14","4","15","0","1","2","0"
"35-587 Lakeview","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","1","0","0","16","7","8","0","1","1","1","0","5","0","1","0","2","0","31","0","1","2","0","12","6","9","0","3","0","4","0","0","0","0"
"35-592 Shanly","7","0","2","0","0","38","12","0","4","0","0","0","3","0","3","0","0","0","1","1","0","0","0","0","0","0","2","0","50","60","31","0","8","2","8","0","3","1","4","7","4","0","46","0","3","0","0","43","13","16","0","5","2","5","0","0","1","0"
"35-595 University Hills","11","0","3","0","0","69","14","0","2","0","1","1","2","0","5","1","0","0","0","1","0","0","0","0","3","2","1","0","73","139","71","0","7","2","5","0","4","0","4","3","10","0","51","0","0","0","0","42","13","23","0","15","2","8","0","0","0","0"
"35-596 University West","23","1","1","0","1","64","24","0","8","0","0","4","3","0","6","0","2","0","0","7","1","0","4","0","2","1","11","0","157","169","100","0","26","9","30","0","14","1","24","17","35","0","175","2","7","2","0","112","20","62","0","38","11","31","0","0","6","0"
"36-001 Goldstream No. 1","21","2","1","0","2","33","12","0","2","0","1","1","1","0","7","1","1","0","0","1","1","0","0","0","0","2","2","0","59","129","55","0","4","3","15","0","6","0","6","5","11","0","87","0","3","0","0","92","15","29","0","9","0","8","0","0","7","1"
"36-002 Goldstream No. 2","25","4","3","0","4","61","22","0","2","0","0","2","1","0","1","0","0","0","1","1","1","0","0","0","2","0","11","0","72","173","64","0","11","3","10","1","8","0","4","4","6","0","70","0","4","0","0","57","14","27","0","14","1","7","0","0","8","0"
"36-010 Allakaket","6","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","4","4","0","0","1","6","0","2","0","1","0","1","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","4","0"
"36-014 Anvik","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","2","0","0","1","3","0","1","0","0","1","2","0","2","0","1","0","0","0","1","0","0","0","0","0","0","0","2","0"
"36-018 Arctic Village","4","0","0","0","2","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","4","3","0","1","0","0","0","0","0","0","0","2","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"36-022 Beaver","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","7","2","3","0","0","0","2","0","2","0","0","0","1","0","1","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0"
