"1","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Blank","Overvote"
"2","","Kelley","Kelley","Kelley","Kelley","Murkowski","Murkowski","Murkowski","Murkowski","Overvote","Tshibaka","Tshibaka","Tshibaka","Tshibaka","","Chesbro","Chesbro","Chesbro","Chesbro","Murkowski","Murkowski","Murkowski","Murkowski","Overvote","Tshibaka","Tshibaka","Tshibaka","Tshibaka","","Chesbro","Chesbro","Chesbro","Chesbro","Kelley","Kelley","Kelley","Kelley","Overvote","Tshibaka","Tshibaka","Tshibaka","Tshibaka","","Chesbro","Chesbro","Chesbro","Chesbro","Kelley","Kelley","Kelley","Kelley","Murkowski","Murkowski","Murkowski","Murkowski","Overvote","",""
"3","","","Murkowski","Overvote","Tshibaka","","Kelley","Overvote","Tshibaka","","","Kelley","Murkowski","Overvote","","","Murkowski","Overvote","Tshibaka","","Chesbro","Overvote","Tshibaka","","","Chesbro","Murkowski","Overvote","","","Kelley","Overvote","Tshibaka","","Chesbro","Overvote","Tshibaka","","","Chesbro","Kelley","Overvote","","","Kelley","Murkowski","Overvote","","Chesbro","Murkowski","Overvote","","Chesbro","Kelley","Overvote","","",""
"02-720 Hoonah","7","0","2","0","0","4","5","0","1","0","0","0","1","0","8","0","0","0","1","0","0","0","0","0","1","3","2","0","93","8","7","0","4","3","6","0","3","0","1","3","0","0","48","0","0","0","0","19","2","9","0","3","4","4","0","0","1","0"
"02-725 Hydaburg","5","0","1","0","0","1","1","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","33","5","3","0","1","0","3","0","2","0","1","1","1","0","0","0","2","0","0","1","0","0","0","1","0","0","0","0","2","0"
"02-730 Kake","8","0","1","0","0","3","0","0","0","0","0","0","0","0","14","1","0","0","0","2","0","0","1","0","0","0","0","0","44","9","6","0","0","1","2","0","3","0","0","4","1","0","13","0","1","0","0","2","1","1","0","0","0","3","0","0","3","0"
"02-735 Kasaan","1","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","1","0","1","0","1","0","0","0","0","0","9","0","0","0","0","3","2","0","0","1","0","0","0","0","1","0"
"02-740 Klawock","1","0","0","0","1","4","6","0","1","0","0","1","0","0","6","1","0","0","0","1","2","0","2","0","5","2","1","0","48","15","10","0","6","4","7","0","14","0","3","2","4","0","57","0","2","2","0","30","13","13","0","4","0","10","0","0","3","0"
"02-750 Pelican-Elfin Cove","0","0","0","0","0","2","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","1","0","8","4","2","0","0","0","1","0","0","0","0","0","1","0","8","0","0","0","0","3","0","1","0","1","1","1","0","0","0","0"
"02-755 Petersburg-Kupreanof","22","1","1","0","2","25","7","0","5","0","3","1","1","0","22","1","0","0","1","4","2","0","6","0","8","2","3","0","145","101","39","0","5","4","8","0","15","0","13","5","15","0","192","0","5","1","0","89","14","43","0","18","4","20","0","0","8","0"
"02-760 Port Alexander","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","1","0","0","0","2","0","0","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"02-765 Sitka No. 1","25","0","3","0","2","57","13","0","12","0","0","6","3","0","9","1","1","0","5","1","3","0","4","1","2","3","11","0","241","135","80","0","9","13","21","0","32","1","15","10","23","0","143","2","2","2","0","75","15","37","0","17","2","23","0","0","14","2"
"02-770 Sitka No. 2","31","0","2","0","1","58","10","0","5","0","3","2","2","0","13","0","1","0","1","1","1","0","5","0","6","1","8","0","270","201","52","0","7","13","23","0","14","0","30","7","14","0","145","3","2","1","0","56","11","24","0","21","3","15","0","0","9","0"
