"1","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Chesbro","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Kelley","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Murkowski","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Tshibaka","Blank","Overvote"
"2","","Kelley","Kelley","Kelley","Kelley","Murkowski","Murkowski","Murkowski","Murkowski","Overvote","Tshibaka","Tshibaka","Tshibaka","Tshibaka","","Chesbro","Chesbro","Chesbro","Chesbro","Murkowski","Murkowski","Murkowski","Murkowski","Overvote","Tshibaka","Tshibaka","Tshibaka","Tshibaka","","Chesbro","Chesbro","Chesbro","Chesbro","Kelley","Kelley","Kelley","Kelley","Overvote","Tshibaka","Tshibaka","Tshibaka","Tshibaka","","Chesbro","Chesbro","Chesbro","Chesbro","Kelley","Kelley","Kelley","Kelley","Murkowski","Murkowski","Murkowski","Murkowski","Overvote","",""
"3","","","Murkowski","Overvote","Tshibaka","","Kelley","Overvote","Tshibaka","","","Kelley","Murkowski","Overvote","","","Murkowski","Overvote","Tshibaka","","Chesbro","Overvote","Tshibaka","","","Chesbro","Murkowski","Overvote","","","Kelley","Overvote","Tshibaka","","Chesbro","Overvote","Tshibaka","","","Chesbro","Kelley","Overvote","","","Kelley","Murkowski","Overvote","","Chesbro","Murkowski","Overvote","","Chesbro","Kelley","Overvote","","",""
"House District 21","195","7","37","0","19","495","199","0","60","1","3","10","8","0","95","9","18","1","10","23","7","0","16","1","26","17","30","0","1007","1153","758","1","88","46","128","1","71","3","68","31","86","1","1100","19","34","7","0","539","144","293","1","143","12","148","2","2","123","17"
"House District 22","125","6","25","0","11","261","86","0","40","0","7","10","19","0","39","3","1","0","6","9","3","0","21","0","17","13","35","0","635","415","321","0","53","31","108","0","79","2","37","39","66","0","587","15","18","7","0","323","89","174","2","70","12","98","0","1","36","9"
"House District 23","109","3","18","0","10","329","117","0","53","0","7","6","8","0","44","2","7","0","12","13","7","0","16","0","26","14","33","0","1029","1075","596","0","95","47","130","1","66","3","162","84","143","0","1799","20","43","17","1","875","165","448","0","323","49","290","0","2","34","5"
"House District 24","166","15","15","0","22","248","99","0","27","0","6","21","10","0","50","3","4","0","7","6","9","0","17","0","40","18","35","0","792","804","464","0","65","57","148","0","52","1","106","42","116","0","1960","23","62","13","0","1099","232","490","0","301","23","223","0","2","87","16"
"House District 25","127","19","35","0","18","384","158","0","39","1","5","9","16","0","176","8","25","0","11","33","24","0","43","0","46","18","44","0","640","893","499","3","57","37","125","0","65","1","73","36","92","1","1976","37","45","12","0","1079","241","502","2","216","20","235","0","1","220","31"
"House District 26","90","20","18","0","7","189","70","0","18","1","5","8","11","0","84","7","6","0","13","7","5","1","28","0","58","36","52","1","521","423","285","0","41","53","70","0","74","3","70","30","75","0","2144","14","47","8","0","1229","246","615","4","223","17","230","0","1","37","18"
"House District 27","78","4","10","0","9","179","68","0","24","0","5","7","7","0","68","4","9","0","17","15","3","0","12","1","42","15","50","1","429","396","284","1","42","34","51","0","33","5","64","42","74","0","2105","38","90","23","1","1114","255","462","3","224","48","167","0","12","40","13"
"House District 28","136","8","15","0","32","197","87","0","29","1","6","17","13","0","58","10","5","0","11","9","5","0","16","1","72","37","43","1","516","457","289","1","36","43","88","0","60","2","69","51","82","2","2031","35","107","13","0","1170","253","501","1","180","33","171","0","6","78","14"
"House District 29","101","9","19","0","17","297","98","0","28","1","4","12","8","0","181","8","14","0","10","41","18","1","26","0","73","22","52","0","643","773","411","3","62","37","96","0","54","2","82","43","108","0","2155","30","56","3","0","1056","251","576","0","223","20","237","0","4","229","26"
"House District 3","211","4","16","0","16","726","157","0","49","0","9","15","11","1","66","5","10","0","11","21","8","0","12","0","24","7","19","0","1547","1604","832","0","123","61","138","0","59","6","176","97","114","0","1137","16","49","13","0","547","108","296","0","234","41","154","0","3","45","6"
"House District 30","134","20","15","0","11","258","89","0","31","0","8","19","10","0","94","5","9","0","6","16","8","0","42","1","64","36","48","0","756","738","330","2","24","55","102","0","92","5","96","20","94","1","2203","16","56","2","0","1245","271","619","6","199","16","200","0","3","43","17"
"House District 31","150","5","19","0","23","296","94","0","53","0","5","18","15","0","55","3","9","0","24","9","7","1","8","1","24","18","32","0","826","610","422","0","96","44","119","3","42","6","96","97","115","1","772","14","46","11","0","480","142","201","0","123","37","115","1","7","27","8"
"House District 32","96","4","10","0","25","129","55","0","36","1","3","11","5","0","29","3","3","0","9","9","7","0","15","0","25","13","28","0","367","272","191","0","28","32","85","1","41","0","37","35","59","0","670","9","42","8","0","448","146","198","0","73","9","90","0","1","45","3"
"House District 33","94","6","24","0","12","167","66","1","25","1","4","10","5","0","177","6","17","0","18","24","22","0","39","0","83","36","68","0","474","332","252","0","46","51","107","0","75","0","72","17","119","2","1486","14","40","8","0","1012","231","450","0","185","17","212","0","1","133","15"
"House District 34","123","14","19","0","8","378","111","1","39","0","9","13","8","0","74","8","7","2","11","19","10","0","34","0","43","34","63","0","938","1056","447","0","69","82","138","0","132","6","113","33","103","0","1389","9","36","12","0","958","204","495","2","147","16","230","0","0","34","16"
"House District 35","134","3","18","0","14","625","186","0","61","0","4","18","18","0","40","7","6","0","11","21","7","0","12","0","24","11","34","0","1027","1482","691","0","121","51","131","1","57","4","119","76","142","1","1069","17","39","14","0","701","155","305","1","184","44","162","1","2","25","2"
"House District 36","213","22","23","0","41","287","103","0","40","2","6","18","9","0","96","1","4","0","15","14","8","0","12","1","51","15","44","0","1102","815","455","2","70","41","196","2","67","2","83","73","106","1","1823","26","77","15","0","925","190","364","3","135","35","134","1","6","161","17"
"House District 37","84","3","33","1","11","82","41","0","18","0","4","9","4","0","63","5","16","0","10","11","11","0","10","0","12","12","13","0","979","302","392","2","59","29","183","0","73","3","47","57","125","0","389","6","28","7","0","118","61","103","0","43","15","85","0","3","80","23"
"House District 38","93","1","16","0","20","40","54","0","19","0","3","14","12","0","40","1","9","0","11","6","11","0","26","0","1","13","12","0","1030","210","517","2","78","39","383","2","204","11","39","98","165","5","187","1","13","9","0","67","40","60","0","38","20","63","0","2","62","16"
"House District 39","60","2","15","0","17","65","49","0","26","2","1","17","8","0","36","1","8","1","19","4","9","0","10","0","2","9","7","1","1083","241","590","4","159","19","296","2","75","6","26","233","111","1","209","4","23","17","0","45","46","64","0","40","50","55","1","2","27","19"
"House District 4","370","26","26","0","49","778","190","0","45","2","8","24","11","0","45","1","2","0","5","10","5","0","11","0","22","12","23","0","1258","1776","727","0","101","45","171","0","51","2","64","53","72","2","645","11","38","8","0","329","117","170","1","90","16","92","0","1","193","15"
"House District 40","86","4","10","0","24","52","41","0","29","0","5","13","2","0","27","2","4","0","5","9","7","0","9","0","9","9","5","0","618","124","228","1","43","16","225","0","48","2","17","66","79","1","229","9","42","10","1","49","51","56","1","17","24","51","0","2","106","8"
"House District 5","139","5","25","1","12","269","98","0","27","0","5","8","4","0","71","12","10","0","10","25","8","0","21","1","33","19","48","0","1115","827","469","0","41","60","106","0","80","2","111","24","152","0","885","17","34","7","0","395","117","267","0","135","18","153","0","2","113","8"
"House District 6","186","20","22","1","6","508","140","0","29","2","16","12","11","0","108","4","4","0","7","12","8","0","34","1","73","26","42","0","1346","1449","563","0","68","59","105","0","109","5","74","36","83","1","2160","13","33","16","0","1372","207","432","0","186","17","158","0","6","70","7"
"House District 7","76","5","7","0","15","226","71","0","26","1","4","10","7","0","83","4","5","0","14","17","5","0","14","1","43","27","27","0","834","577","352","0","66","31","87","0","42","3","116","67","87","0","2331","19","55","20","0","987","217","357","4","263","40","150","2","5","35","8"
"House District 8","119","16","13","0","31","215","71","1","21","1","11","10","8","0","95","1","7","0","17","7","4","0","20","0","41","18","41","0","692","622","393","1","41","39","91","0","50","1","78","29","65","0","2871","36","94","15","0","1511","295","542","5","234","27","169","1","7","100","16"
"House District 9","120","8","12","0","10","570","164","2","35","0","5","8","6","0","85","10","6","0","7","16","13","0","17","0","19","8","33","0","1369","2018","977","1","85","94","187","0","102","1","177","41","166","0","1652","39","22","6","0","744","151","437","0","403","22","315","1","3","108","9"
"House District 99","17","0","0","0","1","28","5","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","13","17","9","0","0","0","0","0","0","0","0","1","0","0","3","0","1","0","0","2","1","0","0","0","0","0","0","0","0","0"
"Total","5749","373","779","4","687","13512","4483","11","1474","30","222","511","394","3","2806","179","312","4","405","549","334","4","754","18","1279","648","1278","5","36397","34549","19989","32","2952","1874","5526","14","2860","114","3462","2218","4104","27","50057","702","1675","425","4","26238","6107","12683","44","6769","1036","6231","13","112","3273","503"
