"1","Sonski/Onak","Trump/Vance","Blank","Exhausted","Overvote"
"39-918 Kotlik","9","44","0","55","1"
"39-920 Koyuk","12","59","1","25","3"
"39-921 Marshall","13","47","1","24","1"
"39-922 Mountain Village","33","63","1","33","2"
"39-924 Nome No. 1","36","143","2","120","2"
"39-926 Nome No. 2","93","282","0","201","4"
"39-928 Nunam Iqua","9","13","1","14","0"
"39-930 Pilot Station","35","28","0","26","5"
"39-931 Russian Mission","4","24","2","28","1"
"39-932 Savoonga","42","50","1","61","5"
"39-934 Scammon Bay","21","51","0","29","7"
"39-936 Shaktoolik","4","38","2","11","2"
"39-938 Shishmaref","34","48","2","88","3"
"39-940 St. Mary's","21","31","2","61","2"
"39-942 St. Michael","8","34","3","17","3"
"39-944 Stebbins","17","41","0","12","3"
"39-946 Teller","10","16","0","10","0"
"39-948 Unalakleet","33","105","1","78","4"
"39-950 Wales","1","4","0","3","0"
"39-952 White Mountain","17","26","0","26","0"
"40-002 Ambler","5","23","3","11","2"
"40-004 Anaktuvuk Pass","4","27","2","24","1"
"40-006 Atqasuk","1","26","1","8","1"
"40-008 Utqiagvik","39","136","0","74","0"
"40-010 Browerville","90","364","3","186","4"
"40-012 Buckland","16","45","0","20","3"
"40-014 Deering","14","14","0","8","1"
"40-016 Kaktovik","0","60","0","13","0"
"40-018 Kiana","0","28","1","31","0"
"40-020 Kivalina","8","30","1","21","2"
"40-022 Kobuk","3","16","0","18","1"
"40-024 Kotzebue","96","268","6","200","4"
"40-026 Noatak","9","73","2","17","4"
"40-028 Noorvik","13","58","2","23","0"
"40-030 Nuiqsut","5","16","2","17","4"
"40-032 Point Hope","2","68","1","49","0"
"40-034 Point Lay","6","19","0","4","1"
"40-036 Selawik","4","61","0","12","1"
"40-038 Shungnak","9","23","0","13","5"
"40-040 Wainwright","7","98","0","22","2"
"District 1 - Absentee","182","1671","15","1163","12"
"District 1 - Early Voting","3","8","0","9","0"
"District 1  - Question","40","318","2","137","1"
"District 10 - Absentee","154","768","22","1024","4"
"District 10 - Early Voting","109","839","4","602","3"
"District 10  - Question","17","154","2","81","4"
"District 11 - Absentee","165","973","31","1385","5"
"District 11 - Early Voting","132","956","9","684","3"
"District 11  - Question","25","147","0","65","1"
"District 12 - Absentee","164","718","9","1088","4"
"District 12 - Early Voting","130","791","2","676","1"
"District 12  - Question","25","142","3","66","4"
"District 13 - Absentee","142","588","9","919","2"
"District 13 - Early Voting","121","732","7","528","4"
"District 13  - Question","32","212","2","95","5"
"District 14 - Absentee","197","518","10","1127","9"
"District 14 - Early Voting","125","639","6","859","6"
"District 14  - Question","61","236","3","126","8"
"District 15 - Absentee","156","860","17","1109","3"
"District 15 - Early Voting","133","916","5","687","2"
"District 15  - Question","23","177","3","76","4"
"District 16 - Absentee","194","713","12","1334","5"
"District 16 - Early Voting","156","747","10","915","9"
"District 16  - Question","29","181","1","87","4"
"District 17 - Absentee","179","623","12","1447","8"
"District 17 - Early Voting","196","669","4","1221","15"
"District 17  - Question","54","180","4","150","11"
"District 18 - Absentee","123","823","5","617","3"
"District 18 - Early Voting","40","245","0","221","2"
"District 18  - Question","37","623","3","168","4"
"District 19 - Absentee","110","340","3","680","11"
"District 19 - Early Voting","93","298","2","433","4"
"District 19  - Question","31","208","3","152","7"
"District 2 - Absentee","325","2116","25","2187","20"
"District 2 - Early Voting","6","37","0","32","1"
"District 2  - Question","31","159","2","73","7"
"District 20 - Absentee","170","635","6","990","5"
"District 20 - Early Voting","126","593","3","572","6"
"District 20  - Question","44","202","2","120","5"
"District 21 - Absentee","209","843","7","1410","6"
"District 21 - Early Voting","127","725","4","677","8"
"District 21  - Question","41","218","4","130","9"
"District 22 - Absentee","136","502","7","573","7"
"District 22 - Early Voting","82","468","3","365","5"
"District 22  - Question","31","198","3","78","4"
"District 23 - Absentee","195","1356","15","1170","2"
"District 23 - Early Voting","175","2266","12","1060","4"
"District 23  - Question","30","217","0","76","1"
"District 24 - Absentee","141","1120","14","773","2"
"District 24 - Early Voting","161","2238","12","844","5"
"District 24  - Question","21","237","4","73","0"
"District 25 - Absentee","100","897","13","580","7"
"District 25 - Early Voting","193","2270","9","952","2"
"District 25  - Question","25","342","2","66","2"
"District 26 - Absentee","68","913","5","397","4"
"District 26 - Early Voting","110","2153","7","424","4"
"District 26  - Question","25","340","2","58","1"
"District 27 - Absentee","74","884","6","345","2"
"District 27 - Early Voting","115","2153","5","460","7"
"District 27  - Question","24","422","2","48","1"
"District 28 - Absentee","76","892","4","418","3"
"District 28 - Early Voting","130","2312","12","590","1"
"District 28  - Question","23","353","2","58","1"
"District 29 - Absentee","120","1224","14","665","4"
"District 29 - Early Voting","100","2150","10","547","5"
"District 29  - Question","21","299","5","60","1"
"District 3 - Absentee","220","890","8","1565","2"
"District 3 - Early Voting","223","1465","14","1856","2"
"District 3  - Question","32","154","1","118","3"
"District 31 - Absentee","121","568","14","460","5"
"District 31 - Early Voting","199","959","10","780","19"
"District 31  - Question","28","203","2","92","3"
"District 32 - Absentee","73","584","5","349","4"
"District 32 - Early Voting","94","682","4","310","4"
"District 32  - Question","45","688","4","103","2"
"District 33 - Absentee","71","765","5","424","2"
"District 33 - Early Voting","106","1246","4","335","2"
"District 33  - Question","24","236","0","41","4"
"District 34 - Absentee","110","764","16","673","5"
"District 34 - Early Voting","168","1411","7","952","7"
"District 34  - Question","37","515","4","126","1"
"District 35 - Absentee","120","556","5","736","4"
"District 35 - Early Voting","250","1123","8","1283","6"
"District 35  - Question","32","200","1","93","0"
"District 38 - Absentee","71","191","4","267","3"
"District 38 - Early Voting","7","14","0","9","0"
"District 38  - Question","32","170","2","60","6"
"District 4 - Absentee","139","384","8","1134","3"
"District 4 - Early Voting","302","1114","15","2413","12"
"District 4  - Question","57","210","5","152","3"
"District 40 - Absentee","40","203","4","200","2"
"District 40 - Early Voting","4","22","1","18","1"
"District 40  - Question","21","161","2","64","4"
"District 5 - Absentee","210","1573","28","1320","10"
"District 5 - Early Voting","5","36","0","21","0"
"District 5  - Question","28","266","1","69","3"
"District 6 - Absentee","149","1124","21","1092","3"
"District 6 - Early Voting","197","2167","14","1689","2"
"District 6  - Question","14","243","1","82","0"
"District 7 - Absentee","101","1106","8","487","5"
"District 7 - Early Voting","154","2640","20","825","6"
"District 7  - Question","19","243","2","32","1"
"District 8 - Absentee","112","1446","16","692","4"
"District 8 - Early Voting","104","2475","11","585","3"
"District 8  - Question","2","172","1","21","1"
"District 9 - Absentee","258","1279","31","1730","2"
"District 9 - Early Voting","124","1115","8","914","1"
"District 9  - Question","20","147","1","85","0"
"HD99 Fed Overseas Absentee","56","55","0","290","0"
"House District 30 - Judicial District 3","173","3120","28","1044","15"
"House District 30 - Judicial District 4","41","251","1","249","2"
"House District 36 - Judicial District 3","37","424","7","252","1"
"House District 36 - Judicial District 4","183","1560","18","992","12"
"House District 37 - Judicial District 3","101","664","6","460","10"
"House District 37 - Judicial District 4","24","96","1","76","2"
"House District 39 - Judicial District 2","82","341","7","334","12"
"House District 39 - Judicial District 4","17","78","0","34","3"
"Total","24756","194130","1888","118802","1202"
