"1","Kennedy/Shanahan","Terry/Broden","Blank","Exhausted","Overvote"
"District 23  - Question","103","28","0","192","1"
"District 24 - Absentee","326","120","14","1588","2"
"District 24 - Early Voting","442","181","12","2621","4"
"District 24  - Question","84","32","4","215","0"
"District 25 - Absentee","251","83","13","1243","7"
"District 25 - Early Voting","513","167","9","2735","2"
"District 25  - Question","119","25","2","288","3"
"District 26 - Absentee","233","64","5","1078","7"
"District 26 - Early Voting","440","111","7","2135","5"
"District 26  - Question","100","25","2","297","2"
"District 27 - Absentee","224","74","6","1007","0"
"District 27 - Early Voting","434","144","5","2151","6"
"District 27  - Question","137","44","2","311","3"
"District 28 - Absentee","225","76","4","1083","5"
"District 28 - Early Voting","471","148","12","2412","2"
"District 28  - Question","115","24","2","295","1"
"District 29 - Absentee","331","98","14","1578","6"
"District 29 - Early Voting","401","149","10","2246","6"
"District 29  - Question","102","26","5","250","3"
"District 3 - Absentee","342","160","8","2173","2"
"District 3 - Early Voting","460","166","14","2913","7"
"District 3  - Question","74","32","1","198","3"
"District 31 - Absentee","210","82","14","858","4"
"District 31 - Early Voting","368","148","10","1422","19"
"District 31  - Question","94","24","2","205","3"
"District 32 - Absentee","173","86","5","747","4"
"District 32 - Early Voting","220","87","4","779","4"
"District 32  - Question","274","106","4","457","1"
"District 33 - Absentee","233","72","5","956","1"
"District 33 - Early Voting","346","97","4","1243","3"
"District 33  - Question","81","30","0","191","3"
"District 34 - Absentee","232","99","16","1217","4"
"District 34 - Early Voting","430","145","7","1956","7"
"District 34  - Question","215","41","4","421","2"
"District 35 - Absentee","216","92","5","1103","5"
"District 35 - Early Voting","405","193","8","2056","8"
"District 35  - Question","95","29","1","201","0"
"District 38 - Absentee","116","52","4","361","3"
"District 38 - Early Voting","8","7","0","15","0"
"District 38  - Question","90","37","2","136","5"
"District 4 - Absentee","192","96","8","1370","2"
"District 4 - Early Voting","459","216","15","3155","11"
"District 4  - Question","110","42","5","266","4"
"District 40 - Absentee","96","33","4","314","2"
"District 40 - Early Voting","10","2","1","32","1"
"District 40  - Question","59","40","2","149","2"
"District 5 - Absentee","507","170","28","2424","12"
"District 5 - Early Voting","4","8","0","50","0"
"District 5  - Question","104","37","1","222","3"
"District 6 - Absentee","283","138","21","1946","1"
"District 6 - Early Voting","460","187","14","3406","2"
"District 6  - Question","66","23","1","250","0"
"District 7 - Absentee","273","88","8","1333","5"
"District 7 - Early Voting","568","165","20","2883","9"
"District 7  - Question","80","18","2","196","1"
"District 8 - Absentee","303","115","16","1833","3"
"District 8 - Early Voting","456","144","11","2562","5"
"District 8  - Question","39","20","1","136","1"
"District 9 - Absentee","443","174","31","2649","3"
"District 9 - Early Voting","280","109","8","1764","1"
"District 9  - Question","74","19","1","159","0"
"HD99 Fed Overseas Absentee","40","41","0","320","0"
"House District 30 - Judicial District 3","589","240","28","3508","15"
"House District 30 - Judicial District 4","81","27","1","433","2"
"House District 36 - Judicial District 3","130","41","7","542","1"
"House District 36 - Judicial District 4","456","197","18","2082","12"
"House District 37 - Judicial District 3","227","102","6","894","12"
"House District 37 - Judicial District 4","45","10","1","141","2"
"House District 39 - Judicial District 2","163","78","7","519","9"
"House District 39 - Judicial District 4","51","14","0","63","4"
"Total","60886","22554","1888","254098","1352"
