"1","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","Blank","Exhausted","Overvote"
"2","","Kennedy/Shanahan","Overvote","Trump/Vance","","Harris/Walz","Overvote","Trump/Vance","","Harris/Walz","Kennedy/Shanahan","Overvote","","",""
"18-550 Government Hill","176","45","0","9","0","3","0","7","119","11","41","0","2","6","0"
"18-555 JBER No.1","151","48","1","16","7","5","0","16","428","9","145","0","3","3","0"
"18-556 JBER No.2","54","20","0","5","0","1","0","7","91","4","55","0","0","1","0"
"18-560 North Muldoon","115","36","1","8","4","7","0","3","132","4","32","0","3","5","1"
"18-565 Ship Creek","35","13","0","0","1","2","0","0","26","2","7","0","0","0","0"
"19-605 Airport Heights No. 1","352","85","0","16","2","6","0","2","177","17","60","0","2","3","2"
"19-610 Airport Heights No. 2","261","48","1","10","7","7","0","0","312","16","50","0","2","8","1"
"19-615 Mountainview No. 1","155","50","1","14","1","6","0","3","106","13","48","1","0","3","1"
"19-620 Mountainview No. 2","128","45","0","8","2","2","0","3","122","20","46","0","1","1","2"
"19-625 South Mountainview","184","26","0","8","3","3","0","1","172","13","49","0","1","1","1"
"20-650 University No. 1","98","45","0","6","0","1","0","4","76","10","27","1","0","1","1"
"20-655 University No. 2","339","97","0","21","5","5","0","7","299","32","98","1","4","10","2"
"20-660 University No. 3","351","113","1","20","6","4","0","8","277","27","88","2","3","12","7"
"20-665 University No. 4","179","40","1","7","5","6","0","1","128","11","43","0","2","4","0"
"20-670 University No. 5","477","129","5","39","3","20","1","8","438","36","120","5","11","15","5"
"21-705 East Anchorage No. 1","284","53","1","15","2","4","0","10","251","16","43","0","4","9","2"
"21-710 East Anchorage No. 2","249","86","2","15","9","3","0","10","315","18","86","1","2","8","0"
"21-715 East Anchorage No. 3","338","126","1","19","2","10","0","7","442","24","126","0","7","7","8"
"21-720 East Anchorage No. 4","332","68","0","23","2","7","0","4","294","16","98","2","2","8","2"
"21-725 East Anchorage No. 5","459","117","3","27","13","4","0","5","417","23","132","3","4","9","1"
"22-750 Northeast Anchorage No. 1","267","103","0","22","6","10","0","6","270","26","106","1","3","6","0"
"22-755 Northeast Anchorage No. 2","217","95","2","31","1","3","0","7","273","21","106","2","0","3","5"
"22-760 Northeast Anchorage No. 3","323","86","2","28","3","7","0","8","295","34","86","3","5","9","4"
"22-765 Northeast Anchorage No. 4","163","63","1","21","2","4","0","3","198","17","83","3","4","3","9"
"23-805 Chugach Park No. 1","287","85","0","18","15","12","0","12","449","12","155","0","5","16","0"
"23-810 Eagle River No. 1","152","58","0","14","5","8","0","5","271","11","93","1","5","8","1"
"23-815 Eagle River No. 2","177","74","0","13","8","4","0","11","267","22","91","1","7","5","1"
"23-820 Hiland","152","47","0","8","5","3","0","11","310","16","73","0","2","11","0"
"23-825 Meadow Creek No. 1","185","76","0","20","5","1","0","11","300","19","97","1","3","4","1"
"23-830 Meadow Creek No. 2","98","29","0","1","6","5","1","4","218","10","45","1","1","3","1"
"24-850 Chugach Park No. 2","147","42","1","10","4","3","0","7","365","12","70","1","8","8","1"
"24-855 Chugiak","77","24","0","3","0","3","0","5","199","7","46","0","1","3","0"
"24-860 Eagle River No. 3","134","52","0","13","3","6","0","11","289","12","86","0","3","5","0"
"24-865 Eklutna","162","36","0","7","8","4","0","4","312","8","92","1","1","6","1"
"24-870 Fire Lake","165","51","1","11","5","3","0","10","357","13","101","1","3","2","2"
"24-875 Peters Creek No. 1","171","59","0","15","11","6","0","13","562","16","117","2","8","3","0"
"24-880 Peters Creek No. 2","110","34","0","6","2","5","0","5","283","6","71","0","1","3","0"
"25-305 Butte","196","70","1","15","7","11","0","15","671","5","193","1","12","10","1"
"25-310 Greater Palmer","100","50","0","6","4","5","0","8","284","4","75","0","3","2","1"
"25-315 Lazy Mountain","155","46","0","8","1","4","0","5","433","3","126","0","3","3","1"
"25-320 Palmer City No. 1","120","49","0","4","7","8","0","5","277","9","64","1","3","4","0"
"25-325 Palmer City No. 2","119","63","0","7","7","8","0","7","252","10","80","0","2","6","1"
"25-330 Springer Loop","132","39","0","9","7","6","0","5","418","13","111","1","5","5","0"
"25-335 Walby","90","43","2","6","5","5","0","7","371","5","122","1","7","6","0"
"26-350 Fairview No. 1","52","24","1","2","3","4","0","14","307","4","84","0","1","2","0"
"26-355 Fairview No. 2","66","18","0","10","2","6","0","5","219","2","62","0","1","1","2"
"26-360 Knik Goose Bay No. 1","141","50","0","9","10","6","0","16","736","14","182","0","6","5","1"
"26-365 Knik Goose Bay No. 2","115","35","0","10","3","3","0","10","465","6","129","0","3","4","0"
"26-370 Knik Goose Bay No. 3","76","22","0","3","3","3","0","5","291","6","99","0","1","1","0"
"26-375 Mat-Su Campus","119","38","0","8","1","7","0","4","341","5","97","0","5","6","2"
"26-380 Snowshoe","133","42","1","14","9","4","0","12","601","9","157","0","0","5","0"
"27-405 Foothills","94","31","0","2","5","1","0","7","439","11","117","1","4","3","1"
"27-410 Meadow Lakes No. 1","126","47","0","8","7","2","0","10","678","10","168","1","3","6","1"
"27-415 Meadow Lakes No. 2","95","38","0","13","8","4","0","5","563","9","143","1","7","10","0"
"27-420 Wasilla No. 1","103","43","1","13","2","5","0","5","408","18","129","2","6","5","2"
"27-425 Wasilla No. 2","131","46","0","7","5","11","0","8","563","13","146","0","8","4","1"
"28-450 Lakes No. 1","89","33","1","9","7","3","0","8","327","4","103","0","4","2","0"
"28-455 Lakes No. 2","62","20","0","9","5","4","0","4","237","3","56","1","4","1","0"
"28-460 Seldon No. 1","119","36","0","4","5","3","0","5","649","9","112","0","3","8","0"
"28-465 Seldon No. 2","146","64","0","18","16","6","0","9","502","9","161","0","7","10","2"
"28-470 Seward Meridian","70","17","0","4","4","4","0","4","233","4","56","0","4","3","0"
"28-475 Trunk","156","47","0","11","4","8","0","13","384","8","116","2","6","3","1"
"28-480 Wasilla Lake","55","27","0","4","4","2","0","5","224","5","64","0","1","4","0"
"29-505 Farm Loop","121","55","0","7","9","9","0","8","604","9","143","0","4","7","1"
"29-510 Fishhook","245","75","0","20","8","7","0","16","819","19","170","2","8","9","0"
"29-515 Kings Lake","124","45","0","9","5","3","0","9","545","10","128","0","3","3","1"
"29-520 Lakes No. 3","54","20","0","8","1","1","0","3","203","4","57","0","1","1","0"
"29-525 Sheep Mountain","20","3","0","1","2","0","0","2","111","0","9","0","1","0","1"
"29-530 Sutton","90","31","0","5","2","5","0","2","294","8","63","0","2","2","0"
"29-535 Valdez No. 1","120","32","0","2","3","4","0","3","230","8","68","0","3","2","0"
"29-540 Valdez No. 2","61","18","0","7","0","0","0","1","104","9","19","0","1","4","0"
"29-545 Valdez No. 3","88","22","0","6","3","1","0","4","178","7","60","0","4","5","1"
"30-550 Anderson/Clear","20","7","0","0","0","0","0","0","94","0","15","0","0","1","0"
"30-555 Big Lake","143","41","0","10","6","4","1","9","754","14","189","1","8","9","5"
"30-560 Cantwell","30","6","0","3","1","0","0","1","28","4","10","0","1","2","0"
"30-565 Denali Park","48","10","0","0","1","0","0","0","6","1","5","0","0","1","0"
"30-570 East Schrock","13","3","0","1","0","0","0","2","52","3","16","0","0","0","0"
"30-575 Healy","90","18","0","1","2","2","0","0","194","7","57","0","1","2","0"
"30-580 Houston","70","19","0","4","3","3","0","2","323","10","87","0","0","2","2"
"30-585 Knik Goose Bay No. 4","154","54","0","6","4","6","0","6","688","8","180","0","6","3","0"
"30-590 Trapper Creek","22","7","0","0","2","0","0","0","74","0","8","1","1","4","0"
"30-595 Susitna","92","24","0","3","3","2","0","3","301","4","60","0","3","2","0"
"30-600 Talkeetna","119","24","0","3","2","0","0","2","74","0","29","0","3","4","0"
"30-605 Willow","174","41","1","8","7","3","0","5","615","12","117","2","5","5","1"
"31-446 Aurora","279","80","0","19","4","9","0","7","362","16","102","0","5","9","0"
"31-455 Fairbanks No. 1","348","91","1","11","11","6","1","6","334","21","88","1","7","13","2"
"31-480 Fairbanks No. 2","269","112","2","16","8","6","0","4","348","19","110","1","12","5","2"
"31-485 Fairbanks No. 3","251","107","2","23","7","7","0","10","296","27","128","4","3","4","5"
"32-355 Fairbanks No. 4","219","86","0","16","6","7","1","9","331","18","101","0","4","5","1"
"32-365 Fairbanks No. 5","179","60","0","10","1","9","0","14","241","9","59","0","3","2","2"
"32-375 Fort Wainwright","50","37","0","12","2","1","0","6","167","7","94","0","0","0","1"
"32-385 Badger No. 2","191","68","0","18","5","7","0","18","646","20","190","3","6","8","0"
"33-130 Badger No. 1","168","95","4","14","11","5","0","13","647","20","189","3","4","8","2"
"33-135 Chena Lakes","131","53","1","9","3","5","0","10","730","17","209","3","6","1","1"
"33-155 Moose Creek","19","9","0","4","1","2","0","0","94","3","15","0","1","0","0"
"33-165 Newby","162","66","0","10","2","6","0","13","722","19","231","0","9","9","0"
"33-175 North Pole","96","47","1","14","5","7","0","7","422","10","123","0","2","3","1"
"33-183 Plack","117","48","0","8","4","2","0","9","693","16","233","0","0","8","0"
"34-235 Eielson","50","21","0","7","0","3","0","2","148","7","93","0","0","0","1"
"34-238 Eielson Farm Road","7","2","0","0","1","0","0","0","40","1","7","0","0","0","0"
"34-240 Farmers Loop","362","85","0","10","6","11","0","16","308","10","85","0","7","11","0"
"34-260 Salcha","77","16","0","4","1","1","0","6","336","5","83","0","2","4","1"
"34-263 Steele Creek","251","73","0","13","5","7","0","22","483","18","162","3","3","7","2"
"34-265 Steese","282","67","0","14","7","10","0","10","474","12","132","2","8","5","4"
"34-270 Summit","238","60","1","10","8","5","0","16","384","7","128","1","11","9","2"
"34-280 Two Rivers","104","23","0","5","2","1","0","6","264","6","88","0","3","1","0"
"35-580 Airport","89","21","0","2","1","3","0","3","156","6","48","0","3","2","1"
"35-582 Chena","508","118","2","19","11","5","1","9","547","24","166","0","10","11","1"
"35-584 Ester","253","66","1","8","2","4","0","5","175","3","43","0","2","3","2"
"35-586 Geist","184","63","0","15","5","4","0","5","227","7","66","0","1","3","0"
"35-587 Lakeview","29","7","0","0","0","1","0","0","69","2","15","0","0","0","0"
"35-592 Shanly","170","43","1","11","0","2","0","3","134","8","54","0","2","4","0"
"35-595 University Hills","271","82","2","6","2","2","0","6","165","2","70","0","8","4","0"
"35-596 University West","436","132","1","31","6","9","0","13","464","31","152","0","11","5","0"
"36-001 Goldstream No. 1","247","58","0","7","5","3","0","6","250","8","53","0","7","5","2"
"36-002 Goldstream No. 2","370","86","1","6","4","4","0","4","201","7","72","0","10","11","2"
"36-010 Allakaket","22","14","0","0","0","0","0","0","1","0","0","0","1","1","1"
"36-014 Anvik","12","5","0","0","0","0","0","0","3","4","1","0","0","0","0"
"36-018 Arctic Village","42","3","1","2","1","1","0","0","2","0","1","0","0","0","0"
"36-022 Beaver","9","2","0","0","1","0","0","0","1","2","1","0","0","1","0"
"36-026 Bettles","3","2","0","0","1","0","0","0","4","0","1","0","0","0","0"
"36-034 Central","7","0","0","0","1","0","0","0","29","0","3","0","0","0","1"
"36-038 Chistochina","12","1","0","0","0","0","0","1","49","2","4","0","0","0","2"
"36-042 Circle","10","6","0","0","0","0","0","0","4","0","0","0","0","0","0"
"36-046 Copper Center","58","28","0","6","6","5","0","3","194","2","46","0","2","3","1"
"36-050 Delta Junction","29","6","0","5","2","2","0","7","234","2","65","1","2","1","2"
"36-054 Deltana","104","26","0","6","5","1","0","5","880","12","151","1","5","2","0"
"36-058 Dot Lake","4","0","0","0","0","0","0","0","42","0","3","0","0","0","0"
"36-062 Eagle","15","5","0","0","0","0","0","1","43","0","3","0","1","1","0"
"36-066 Fort Yukon","89","6","1","3","2","0","0","0","26","1","3","0","2","5","2"
"36-070 Gakona","16","4","0","0","1","0","0","0","72","1","11","0","4","1","0"
"36-074 Galena","52","18","1","5","3","1","0","0","41","7","17","0","0","1","0"
"36-078 Glennallen","22","8","0","2","3","1","0","1","108","2","29","0","1","2","0"
"36-082 Grayling","13","8","0","3","0","1","1","1","15","1","3","1","2","4","2"
"36-086 Holy Cross","16","12","0","2","0","1","0","0","6","2","1","0","1","0","0"
"36-090 Hughes","16","1","0","1","2","0","0","0","7","1","0","0","0","2","0"
"36-094 Huslia","50","13","0","4","0","1","0","0","16","2","2","0","4","2","1"
"36-098 Kaltag","12","10","0","2","0","2","0","1","7","1","2","0","1","0","2"
"36-102 Kenny Lake","36","5","0","1","2","3","0","1","111","1","22","0","0","3","0"
"36-106 Koyukuk","14","9","0","1","0","1","0","0","1","0","1","0","1","0","1"
"36-110 Manley","9","1","0","0","0","0","0","0","36","0","1","0","0","0","0"
"36-114 McGrath","20","1","1","4","1","0","0","0","48","3","11","1","3","1","0"
"36-118 Mentasta","20","3","0","1","0","2","0","2","8","0","3","0","0","0","0"
"36-122 Minto","15","4","1","1","3","2","0","0","19","3","3","0","0","0","0"
"36-126 Nenana","71","25","0","5","2","2","0","2","146","6","48","0","3","2","2"
"36-130 Nikolai","11","2","0","1","3","0","0","1","5","0","2","0","0","1","1"
"36-134 Northway","12","9","1","0","0","2","0","2","28","8","6","1","0","0","2"
"36-138 Nulato","45","11","0","1","4","0","0","0","10","0","1","0","0","5","0"
"36-142 Ruby","14","1","0","2","0","1","0","0","11","1","0","0","0","0","0"
"36-146 Shageluk","6","10","0","2","0","1","0","0","1","1","1","0","0","0","1"
"36-162 Tanana","51","5","0","4","2","0","0","0","14","1","0","0","0","2","0"
"36-166 Tetlin","12","0","0","1","1","0","0","0","11","1","4","0","0","0","0"
"36-170 Tok","63","23","0","5","2","4","0","10","321","9","73","2","9","1","0"
"36-174 Venetie","25","7","0","0","0","0","0","0","9","2","1","0","1","0","0"
"37-700 Akutan","21","3","0","0","0","0","0","0","14","4","6","0","0","0","1"
"37-702 Aleknagik","8","8","0","1","1","2","0","0","30","0","13","1","1","2","2"
"37-704 Aleutians No. 1","9","1","0","1","0","0","0","0","6","0","1","0","1","0","0"
"37-706 Aleutians No. 2","182","33","0","13","5","1","0","0","234","21","36","0","1","5","3"
"37-707 Aniak","35","14","0","5","1","2","0","0","29","4","10","0","1","4","2"
"37-708 Chignik","7","3","0","0","0","0","0","1","4","0","0","0","1","0","0"
