"1","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Harris/Walz","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Kennedy/Shanahan","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Oliver/Maat","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","Trump/Vance","Blank","Exhausted","Overvote"
"01-680 Metlakatla","169","19","40","0","3","5","17","1","1","1","5","2","1","0","10","7","1","0","0","0","1","1","1","0","3","2","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","111","0","3","1","0","15","4","9","0","2","0","5","1","0","7","3","4"
"01-690 Wrangell","137","11","11","0","3","11","20","0","1","0","3","2","1","0","6","0","1","0","0","0","2","0","1","0","1","0","1","0","1","0","1","0","0","0","0","0","1","0","0","1","2","0","354","1","2","0","0","43","5","28","0","4","1","14","0","0","4","2","1"
"02-700 Angoon","55","6","8","0","0","1","4","0","1","0","1","0","1","0","5","1","0","0","0","0","2","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","22","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0"
"02-705 Craig","88","5","9","0","0","7","10","0","0","1","0","1","1","0","7","0","1","0","0","0","0","0","1","0","3","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","193","4","2","0","0","23","3","15","0","1","1","6","0","0","3","4","4"
"02-720 Hoonah","83","6","5","0","1","3","7","1","1","0","0","1","2","0","8","2","0","0","0","0","1","0","2","0","3","0","1","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","92","5","1","0","0","11","2","15","0","2","0","1","0","0","3","0","3"
"02-725 Hydaburg","57","3","2","0","1","2","5","0","2","0","0","0","0","0","3","0","1","0","0","0","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","11","2","0","1","0","2","1","0","0","0","0","0","0","0","0","2","0"
"02-730 Kake","76","0","7","0","0","4","10","0","0","1","2","3","2","0","2","0","0","0","0","1","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39","1","3","1","0","9","2","8","0","1","0","0","0","0","1","3","2"
"02-735 Kasaan","6","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0","0","0","0","12","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"02-740 Klawock","101","3","3","0","1","6","13","0","1","0","1","1","3","1","2","0","1","0","1","0","1","0","1","0","0","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","149","1","1","0","0","22","2","18","0","1","0","4","1","0","0","0","2"
"02-750 Pelican-Elfin Cove","10","0","0","0","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","1","0","0","0","1","1","2","0","0","0","0","0","0","0","0","0"
"02-755 Petersburg-Kupreanof","214","15","9","0","1","18","22","0","1","0","1","1","3","0","6","3","1","0","0","0","0","0","4","0","5","0","4","0","7","2","0","0","0","1","1","0","1","0","0","0","1","0","351","6","6","2","0","72","6","41","0","4","0","13","0","0","10","10","1"
"02-760 Port Alexander","3","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0"
"02-765 Sitka No. 1","307","22","26","1","7","25","39","1","2","0","6","3","6","0","6","2","4","0","2","0","3","0","1","0","2","2","4","0","5","0","0","0","0","3","1","0","0","0","0","0","1","0","347","3","5","2","0","54","2","47","0","4","3","5","0","0","8","2","3"
"02-770 Sitka No. 2","311","34","30","0","6","14","49","0","4","0","7","2","3","0","6","4","0","0","3","3","1","0","4","0","5","4","3","0","2","2","1","0","0","0","0","0","0","0","5","1","0","0","264","7","4","2","0","62","4","32","1","2","3","8","1","1","4","5","1"
"02-775 Tenakee Springs","22","0","1","0","0","2","2","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0"
"02-780 Thorne Bay","19","3","0","0","0","4","2","0","1","0","0","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","137","0","1","0","0","9","0","6","0","1","0","1","0","0","0","0","0"
"02-785 Yakutat","91","7","4","0","1","7","5","0","0","0","2","1","1","0","1","0","0","0","1","1","0","0","0","0","1","1","0","0","1","0","2","0","0","0","0","0","0","0","1","2","0","0","73","0","0","0","0","9","0","5","0","0","1","4","0","0","0","1","3"
"03-300 Auke Bay","202","13","7","0","4","16","14","0","4","0","3","2","0","0","5","1","0","0","1","0","1","0","0","0","3","3","0","0","1","1","1","0","1","1","0","0","2","0","1","1","0","0","140","2","3","0","0","30","0","6","0","5","1","6","0","0","3","0","0"
"03-305 Lynn Canal","186","5","4","0","1","10","16","0","1","0","5","0","0","0","1","0","1","0","0","0","0","0","1","0","2","0","2","0","1","0","0","0","0","2","0","0","0","0","0","0","1","0","143","1","3","0","0","16","2","6","0","5","1","6","1","0","6","2","0"
"03-310 Melvin Park","170","13","17","0","6","17","35","0","0","0","4","2","0","0","5","1","1","0","1","0","3","0","0","0","6","0","0","0","5","1","0","0","1","1","0","0","0","0","2","0","1","0","180","5","5","5","0","34","3","23","0","7","1","10","1","0","7","3","0"
"03-315 Mendenhall Glacier","257","17","33","0","8","27","41","1","5","0","7","4","2","0","5","0","3","0","4","0","3","0","0","0","3","1","1","0","5","2","1","0","1","2","0","0","2","0","0","0","1","0","360","4","7","2","0","37","3","30","0","12","1","21","0","0","5","6","0"
"03-320 Thunder Mountain","236","25","29","0","5","22","37","0","0","0","7","3","3","0","4","0","0","0","0","2","2","0","3","0","1","1","2","0","1","1","0","0","0","0","2","0","0","0","2","2","1","0","292","5","6","3","0","39","5","25","0","17","4","12","0","0","3","0","0"
"03-325 Gustavus","85","5","3","0","0","5","8","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","2","0","0","1","0","1","0","0","0","0","0","1","0","54","0","1","0","0","6","0","8","0","4","1","1","0","0","0","1","0"
"03-330 Haines No. 1","193","12","24","0","3","25","26","0","2","0","3","2","1","1","1","2","0","0","2","2","0","0","1","0","3","1","3","0","6","1","2","0","0","3","0","0","1","0","2","0","0","0","235","0","3","0","0","41","0","21","0","8","1","9","0","0","4","2","3"
"03-335 Haines No. 2","40","1","1","0","0","4","2","0","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","50","0","0","0","0","2","0","1","0","2","0","1","0","0","0","0","0"
"03-340 Klukwan","14","3","2","0","1","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","8","0","0","0","0","1","0","0","0","0","1","0","0","0","0","3","0"
"03-345 Skagway","180","12","16","0","1","20","29","0","1","0","1","2","2","0","1","1","1","0","0","0","2","0","0","0","3","1","0","0","3","2","0","0","0","0","2","0","1","0","0","1","1","0","77","7","3","1","0","13","3","14","0","2","4","2","0","0","1","2","0"
"04-100 Douglas","286","11","20","0","2","22","31","0","1","2","6","6","1","0","1","3","0","0","2","0","0","0","1","0","1","1","1","0","0","0","0","0","0","2","1","0","0","0","1","0","0","0","85","3","6","0","0","10","2","8","0","3","0","4","0","1","2","3","0"
"04-105 Juneau Airport Area","82","8","17","0","0","4","4","0","0","0","5","1","2","0","1","0","0","0","1","0","0","0","1","0","2","1","1","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","105","0","3","1","0","21","0","19","0","5","0","9","0","0","2","1","0"
"04-110 Juneau No. 1","212","8","24","0","2","14","22","0","0","0","3","0","1","0","4","1","0","0","0","0","0","0","0","0","1","0","1","0","3","0","1","0","0","0","1","0","2","0","0","0","1","0","78","5","2","1","0","16","3","15","0","0","0","4","0","0","4","3","1"
"04-115 Juneau No. 2","292","11","17","0","2","18","17","0","2","0","4","4","0","0","5","0","0","0","2","0","0","0","0","0","3","0","0","0","1","1","1","0","0","0","2","0","0","0","2","0","0","0","56","1","2","0","0","4","1","3","0","3","0","2","0","0","1","4","0"
"04-120 Juneau No. 3","129","6","4","0","4","12","6","0","1","0","1","2","1","0","3","0","0","0","1","1","1","0","0","0","2","0","0","0","1","0","0","0","0","0","1","0","0","0","1","1","0","0","58","4","1","0","0","7","0","4","0","1","0","1","0","0","2","1","1"
"04-125 Lemon Creek","197","7","32","0","5","12","12","0","4","0","11","9","4","0","1","2","0","0","1","0","3","0","0","0","1","1","5","0","0","1","1","0","0","0","0","0","3","0","1","1","1","0","164","4","14","0","0","24","8","27","2","3","0","5","0","0","3","2","0"
"04-130 Glacier Valley Area","103","13","23","1","3","13","17","0","1","1","8","3","0","0","1","0","1","0","1","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","118","7","3","0","0","30","4","16","0","0","0","9","0","1","2","2","3"
"04-135 North Douglas","227","14","12","0","1","21","23","0","2","0","1","1","0","0","2","0","0","0","1","0","0","0","1","0","2","1","0","0","0","2","0","0","0","0","0","0","1","0","1","1","0","0","87","5","2","0","0","13","3","8","0","3","0","4","0","0","3","3","0"
"05-800 Chiniak","16","0","0","0","0","2","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","26","0","0","0","0","1","0","1","0","0","0","1","0","0","0","2","0"
"05-810 Flats","130","9","5","0","0","13","12","0","1","0","1","0","0","0","2","0","0","0","1","0","0","0","0","0","0","1","0","0","2","0","0","0","1","0","0","0","0","0","3","1","0","0","269","5","2","1","0","53","1","24","0","12","0","8","0","0","3","0","2"
"05-815 Kodiak Island South","6","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"05-820 Kodiak No. 1","197","9","12","0","4","8","9","0","1","0","6","8","2","0","4","0","0","0","2","0","1","0","1","0","0","0","0","0","1","1","1","0","1","1","0","0","0","0","0","0","0","0","272","11","8","3","0","29","8","36","0","1","3","3","1","1","1","2","1"
"05-825 Kodiak No. 2","214","6","21","0","7","11","16","0","3","0","6","6","2","0","7","0","0","0","0","1","2","0","0","0","1","1","0","0","2","1","0","0","0","0","1","0","0","0","0","0","0","0","291","9","14","1","0","28","8","15","0","5","2","8","0","0","1","4","2"
"05-830 Mission Road","334","19","38","0","4","34","43","0","5","0","10","6","2","0","7","1","0","0","2","3","1","0","0","0","7","1","3","0","4","1","1","0","0","3","1","0","1","0","2","4","2","0","632","7","9","0","0","83","13","79","0","10","1","23","0","0","6","6","0"
"05-835 Old Harbor","10","0","3","0","0","0","0","0","0","0","1","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"05-840 Ouzinkie","29","0","5","1","0","0","1","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","9","0","1","0","0","0","0","5","1","0","0","0","0","0","0","0","1"
"05-845 Port Lions","10","0","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","46","0","0","0","0","3","0","2","0","0","0","0","0","0","2","0","0"
"05-860 Cordova","152","10","20","0","4","7","14","0","3","0","2","0","1","0","3","2","2","0","2","1","0","0","1","0","3","1","1","0","3","0","1","0","0","1","0","0","0","0","0","0","0","0","184","2","2","0","0","19","6","16","0","6","1","7","0","1","6","0","3"
"05-865 Seward-Lowell Point","161","16","12","0","1","11","14","0","2","0","4","3","0","0","3","1","0","0","1","3","1","0","0","0","2","3","1","0","2","1","0","0","0","1","0","0","0","0","0","0","1","0","164","1","3","1","0","28","4","20","0","5","1","2","0","0","6","2","0"
"05-870 Tatitlek","5","1","4","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0"
"06-200 Anchor Point","150","8","16","0","2","8","29","0","1","1","2","1","0","0","8","2","0","0","1","1","0","0","0","0","3","2","3","0","5","3","1","0","0","0","4","0","1","0","4","0","0","0","595","2","2","2","0","63","1","40","1","14","1","6","0","2","2","3","1"
"06-210 Diamond Ridge","119","8","8","0","0","18","10","0","1","0","2","0","1","0","1","0","0","0","1","0","0","0","0","0","3","2","0","0","3","1","0","0","0","0","0","0","0","0","1","0","0","0","132","1","1","0","0","19","2","6","0","1","0","5","0","0","2","0","1"
"06-220 Fox River","43","2","2","0","0","5","4","0","0","0","0","1","0","0","2","0","2","0","1","2","0","0","0","0","3","0","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","167","0","0","0","0","11","1","2","1","2","0","1","0","0","1","1","1"
"06-230 Homer No. 1","179","14","6","0","3","20","15","0","0","0","6","2","1","0","7","1","0","0","0","1","2","0","0","0","7","2","3","0","3","0","0","0","0","0","0","0","0","0","0","0","2","0","212","1","2","0","0","21","2","23","0","6","0","5","0","0","2","6","1"
"06-240 Homer No. 2","172","9","5","0","3","12","15","0","1","0","1","1","0","0","5","5","0","0","2","1","0","0","3","0","5","0","2","0","2","3","1","0","0","1","1","0","0","0","3","0","1","0","236","3","4","0","0","25","1","9","0","6","0","3","0","1","1","5","0"
"06-250 Kachemak-Fritz Creek","248","20","18","0","1","23","18","0","1","1","3","1","1","0","4","3","1","0","2","4","0","0","0","0","6","1","0","0","3","3","1","0","1","0","1","0","0","0","1","0","0","0","229","2","4","1","0","30","3","23","0","8","0","6","0","0","4","4","0"
"06-260 Kasilof","190","7","7","0","1","11","18","0","4","0","2","0","1","0","4","2","0","0","0","1","1","0","1","0","7","1","0","0","6","3","0","0","0","0","0","0","1","0","1","1","0","0","652","3","5","2","0","73","3","45","1","14","0","9","0","0","4","7","1"
"06-270 Ninilchik","120","6","8","0","0","10","11","0","1","0","0","2","0","0","1","0","1","0","0","1","0","0","1","0","1","0","0","0","2","0","1","0","0","0","0","0","1","0","3","0","1","0","375","1","2","0","0","29","5","27","0","11","0","9","0","1","1","2","0"
"06-280 Seldovia-Kachemak Bay","59","2","2","0","0","2","6","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","65","0","1","0","0","5","0","3","0","2","0","4","0","0","3","2","0"
"07-005 Central","104","5","10","0","3","14","15","0","1","0","3","1","0","0","3","2","1","0","0","0","2","0","0","0","2","1","3","0","3","2","0","0","0","1","1","0","1","0","1","0","0","0","421","2","3","2","0","53","7","44","0","7","1","20","0","0","3","3","2"
"07-010 K Beach","96","12","20","0","2","8","24","0","2","0","3","3","0","0","7","0","1","0","0","0","2","0","3","0","3","3","2","0","2","1","1","0","2","3","1","0","0","0","1","0","0","0","511","3","4","2","0","67","6","57","1","7","0","23","0","1","9","4","4"
"07-015 Kenai No. 1","141","12","16","0","2","12","22","0","2","0","5","2","1","0","5","2","0","0","1","0","1","0","0","0","1","1","2","0","2","1","0","0","0","3","3","0","3","0","2","1","0","0","372","4","7","2","0","39","4","45","1","12","0","16","1","3","1","2","2"
"07-020 Kenai No. 2","73","6","8","0","2","4","11","0","0","0","0","2","0","0","2","1","1","0","1","0","0","0","1","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","237","1","2","1","0","25","4","32","0","8","0","11","0","0","4","5","2"
"07-025 Kenai No. 3","64","4","5","0","3","5","8","0","0","0","1","0","0","0","1","0","0","0","0","0","2","0","0","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","182","1","2","0","0","20","0","21","1","6","1","5","0","0","3","0","2"
"07-030 Soldotna","167","11","11","0","1","12","14","0","3","0","2","1","0","0","13","0","0","0","1","0","1","0","1","0","1","0","3","0","4","1","0","0","2","1","3","0","1","0","0","0","0","0","434","5","8","0","0","59","4","51","0","3","2","13","0","2","6","4","1"
"08-035 Bear Creek","172","14","13","0","1","8","22","0","0","0","0","2","0","0","7","4","1","0","0","0","3","0","0","0","1","0","1","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","260","0","2","1","0","30","4","25","0","5","1","14","0","0","2","1","0"
"08-040 Cooper Landing","54","1","2","0","2","2","4","0","0","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","0","56","1","0","0","0","10","1","4","0","1","1","0","0","0","1","0","0"
"08-045 Funny River No. 1","48","4","4","0","0","3","7","0","0","0","2","2","1","0","1","0","1","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","217","1","0","0","0","22","3","11","0","4","0","1","0","1","3","1","0"
"08-050 Funny River No. 2","35","0","1","0","0","0","6","0","1","1","2","0","0","0","2","0","0","0","0","0","1","0","1","0","1","0","0","0","2","0","0","0","0","0","1","1","1","0","0","0","1","0","171","2","0","0","0","21","1","9","0","5","1","4","0","0","1","2","0"
"08-055 Hope","33","0","1","0","0","5","4","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","2","0","0","0","0","0","0","0","1","0"
"08-060 Mackey Lake","74","4","13","0","1","7","8","0","2","0","3","2","0","0","2","2","0","0","1","0","0","0","1","0","3","1","0","0","1","1","0","0","1","0","0","0","1","0","0","0","0","0","319","1","0","1","0","31","4","23","0","7","0","17","0","0","6","2","0"
"08-065 Moose Pass","60","5","2","0","0","1","2","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","68","0","0","0","0","5","0","6","0","1","0","0","0","0","3","0","0"
"08-070 Nikiski","82","2","6","0","2","9","12","0","1","0","2","0","1","0","2","0","1","0","0","2","0","0","1","0","6","0","0","0","2","1","0","0","0","0","1","0","1","0","2","0","0","0","529","2","1","1","0","47","3","37","0","15","1","28","0","0","2","1","0"
"08-075 Salamatof","65","9","13","0","1","9","13","0","1","0","1","0","1","0","2","0","1","0","1","0","0","0","2","0","4","0","0","0","1","1","0","0","0","0","1","0","0","0","1","0","0","0","504","1","5","0","0","46","3","38","0","13","1","23","0","2","4","1","0"
"08-080 Sterling No. 1","87","6","6","0","0","9","11","0","1","0","1","0","1","0","4","1","1","0","0","0","0","0","2","0","3","1","1","0","2","2","0","0","1","0","0","0","0","0","1","0","0","0","438","2","2","0","0","48","1","29","0","11","3","25","0","2","1","3","1"
"08-085 Sterling No. 2","97","5","11","0","0","5","5","0","0","0","2","4","0","0","5","0","0","0","1","0","0","0","0","0","2","2","0","0","1","1","0","0","0","0","0","0","0","0","1","0","0","0","578","2","2","0","0","34","3","24","0","10","0","17","0","0","3","2","1"
"09-105 Girdwood","402","37","46","0","11","43","39","0","2","0","4","3","2","0","9","2","2","0","4","0","0","0","3","0","6","1","3","0","4","0","0","0","3","1","0","0","0","0","2","0","1","0","129","2","4","0","0","26","2","13","0","3","0","6","0","1","10","4","0"
"09-110 Indian","60","1","1","0","0","6","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","50","0","0","0","0","4","0","1","0","0","0","2","0","0","1","1","0"
"09-115 South Anchorage No. 1","321","14","39","1","8","22","43","1","3","0","9","2","3","0","4","3","2","0","0","1","0","0","4","0","3","2","6","0","4","0","1","0","0","0","1","0","0","0","3","0","2","0","460","6","12","4","0","58","7","42","0","9","1","19","0","1","16","3","0"
"09-120 South Anchorage No. 2","292","15","39","0","7","19","41","0","6","0","9","2","1","0","6","1","1","0","1","1","1","0","3","0","11","1","2","0","6","2","0","0","0","0","0","0","4","0","1","0","0","0","588","5","5","0","0","56","10","37","0","9","4","20","0","0","7","3","0"
"09-125 South Anchorage No. 3","304","17","19","1","5","34","29","1","1","0","4","4","2","0","5","2","0","0","0","1","0","0","0","0","7","2","1","0","5","2","0","0","0","2","4","0","2","0","0","2","0","0","446","6","2","3","0","55","4","30","1","8","2","11","0","0","7","3","1"
"09-130 South Anchorage No. 4","333","10","27","1","5","12","40","0","5","1","9","6","1","0","5","1","0","0","2","1","3","0","2","0","3","4","2","0","2","2","1","0","0","1","1","0","2","0","2","0","1","0","505","9","1","1","0","49","8","36","0","6","3","10","0","0","11","4","1"
"09-135 South Anchorage No. 5","159","11","12","0","4","13","16","1","1","2","4","0","1","0","2","1","0","0","0","0","0","0","0","0","2","1","1","0","4","0","0","0","1","0","1","0","1","0","0","1","1","0","194","1","3","1","0","25","4","11","0","8","0","10","0","0","2","1","0"
"09-140 Stuckagain Heights","63","1","5","0","1","5","6","0","0","1","4","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","53","0","0","1","0","7","1","2","0","2","0","1","0","0","2","1","0"
"09-145 Whittier","18","3","5","0","0","1","2","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","37","1","2","0","0","4","1","1","0","0","1","1","0","0","1","0","1"
"10-150 Dimond","215","19","32","0","9","14","36","1","4","3","13","13","3","0","5","3","1","0","0","2","1","0","1","1","6","0","2","0","1","0","0","0","1","1","0","1","0","0","1","0","0","0","283","10","5","5","0","48","8","40","0","7","1","10","1","3","3","7","4"
"10-155 Oceanview No. 1","304","15","36","1","5","21","39","0","2","2","11","13","4","0","3","3","0","0","0","1","0","0","1","0","3","0","4","0","0","1","2","0","0","1","0","0","1","0","2","0","1","0","411","13","12","4","0","46","10","41","0","7","0","13","1","1","7","3","0"
