"1","Oliver/Maat","Stein/Ware","Blank","Exhausted","Overvote"
"27-415 Meadow Lakes No. 2","117","58","7","713","1"
"27-420 Wasilla No. 1","114","57","6","562","3"
"27-425 Wasilla No. 2","114","69","8","751","1"
"28-450 Lakes No. 1","73","61","4","451","1"
"28-455 Lakes No. 2","46","29","4","327","0"
"28-460 Seldon No. 1","86","45","3","818","1"
"28-465 Seldon No. 2","139","95","7","707","2"
"28-470 Seward Meridian","36","35","4","328","0"
"28-475 Trunk","99","80","6","571","3"
"28-480 Wasilla Lake","58","34","1","302","0"
"29-505 Farm Loop","106","79","4","787","1"
"29-510 Fishhook","134","131","8","1123","2"
"29-515 Kings Lake","108","66","3","707","1"
"29-520 Lakes No. 3","43","32","1","277","0"
"29-525 Sheep Mountain","9","6","1","133","1"
"29-530 Sutton","58","39","2","405","0"
"29-535 Valdez No. 1","47","47","3","378","0"
"29-540 Valdez No. 2","17","34","1","172","0"
"29-545 Valdez No. 3","34","49","4","291","1"
"30-550 Anderson/Clear","14","3","0","120","0"
"30-555 Big Lake","142","66","8","971","7"
"30-560 Cantwell","13","10","1","62","0"
"30-565 Denali Park","6","23","0","43","0"
"30-570 East Schrock","17","11","0","62","0"
"30-575 Healy","48","43","1","282","0"
"30-580 Houston","66","30","0","427","2"
"30-585 Knik Goose Bay No. 4","148","59","6","902","0"
"30-590 Trapper Creek","11","7","1","99","1"
"30-595 Susitna","43","40","3","411","0"
"30-600 Talkeetna","35","49","3","173","0"
"30-605 Willow","104","47","5","837","3"
"31-446 Aurora","145","69","5","673","0"
"31-455 Fairbanks No. 1","128","104","7","697","5"
"31-480 Fairbanks No. 2","141","110","12","648","3"
"31-485 Fairbanks No. 3","161","105","3","592","13"
"32-355 Fairbanks No. 4","114","109","4","576","1"
"32-365 Fairbanks No. 5","94","66","3","424","2"
"32-375 Fort Wainwright","87","37","0","251","2"
"32-385 Badger No. 2","180","88","6","904","2"
"33-130 Badger No. 1","195","82","4","895","7"
"33-135 Chena Lakes","165","84","6","921","3"
"33-155 Moose Creek","20","11","1","116","0"
"33-165 Newby","160","128","9","952","0"
"33-175 North Pole","128","59","2","548","1"
"33-183 Plack","161","98","0","879","0"
"34-235 Eielson","65","35","0","231","1"
"34-238 Eielson Farm Road","6","3","0","49","0"
"34-240 Farmers Loop","112","141","7","651","0"
"34-260 Salcha","58","33","2","442","1"
"34-263 Steele Creek","179","103","3","761","3"
"34-265 Steese","134","109","8","771","5"
"34-270 Summit","120","86","11","659","4"
"34-280 Two Rivers","64","45","3","391","0"
"35-580 Airport","46","29","3","256","1"
"35-582 Chena","182","195","10","1040","5"
"35-584 Ester","80","107","2","375","3"
"35-586 Geist","75","74","1","430","0"
"35-587 Lakeview","13","10","0","100","0"
