"1","Trump/Vance","West/Abdullah","Blank","Exhausted","Overvote"
"40-022 Kobuk","16","4","0","17","1"
"40-024 Kotzebue","272","104","6","187","5"
"40-026 Noatak","73","10","2","16","4"
"40-028 Noorvik","59","13","2","22","0"
"40-030 Nuiqsut","16","5","2","17","4"
"40-032 Point Hope","68","2","1","49","0"
"40-034 Point Lay","19","7","0","4","0"
"40-036 Selawik","61","4","0","12","1"
"40-038 Shungnak","23","11","0","11","5"
"40-040 Wainwright","97","6","0","24","2"
"District 1 - Absentee","1672","234","15","1107","15"
"District 1 - Early Voting","8","3","0","9","0"
"District 1  - Question","322","42","2","131","1"
"District 10 - Absentee","767","206","22","974","3"
"District 10 - Early Voting","836","145","4","569","3"
"District 10  - Question","153","22","2","77","4"
"District 11 - Absentee","973","253","31","1298","4"
"District 11 - Early Voting","954","161","9","656","4"
"District 11  - Question","149","25","0","63","1"
"District 12 - Absentee","720","222","9","1028","4"
"District 12 - Early Voting","788","152","2","657","1"
"District 12  - Question","145","24","3","65","3"
"District 13 - Absentee","589","208","9","852","2"
"District 13 - Early Voting","736","134","7","510","5"
"District 13  - Question","212","33","2","94","5"
"District 14 - Absentee","518","252","10","1072","9"
"District 14 - Early Voting","640","183","6","799","7"
"District 14  - Question","241","59","3","123","8"
"District 15 - Absentee","859","228","17","1038","3"
"District 15 - Early Voting","917","155","5","665","1"
"District 15  - Question","174","28","3","74","4"
"District 16 - Absentee","716","287","12","1239","4"
"District 16 - Early Voting","746","228","10","845","8"
"District 16  - Question","182","31","1","84","4"
"District 17 - Absentee","629","290","12","1330","8"
"District 17 - Early Voting","674","270","4","1141","16"
"District 17  - Question","181","63","4","138","13"
"District 18 - Absentee","823","145","5","594","4"
"District 18 - Early Voting","246","54","0","207","1"
"District 18  - Question","619","45","3","164","4"
"District 19 - Absentee","340","167","3","624","10"
"District 19 - Early Voting","296","126","2","400","6"
"District 19  - Question","206","35","3","149","8"
"District 2 - Absentee","2118","437","25","2073","20"
"District 2 - Early Voting","36","8","0","31","1"
"District 2  - Question","159","34","2","69","8"
"District 20 - Absentee","630","234","6","932","4"
"District 20 - Early Voting","593","175","3","522","7"
"District 20  - Question","200","46","2","119","6"
"District 21 - Absentee","845","291","7","1326","6"
"District 21 - Early Voting","726","159","4","645","7"
"District 21  - Question","221","34","4","132","11"
"District 22 - Absentee","500","165","7","545","8"
"District 22 - Early Voting","470","99","3","346","5"
"District 22  - Question","198","36","3","73","4"
"District 23 - Absentee","1363","251","15","1107","2"
"District 23 - Early Voting","2264","210","12","1028","3"
"District 23  - Question","217","29","0","77","1"
"District 24 - Absentee","1122","186","14","726","2"
"District 24 - Early Voting","2244","190","12","809","5"
"District 24  - Question","235","22","4","73","1"
"District 25 - Absentee","900","137","13","539","8"
"District 25 - Early Voting","2267","241","9","907","2"
"District 25  - Question","342","24","2","67","2"
"District 26 - Absentee","913","79","5","386","4"
"District 26 - Early Voting","2150","136","7","402","3"
"District 26  - Question","338","25","2","60","1"
"District 27 - Absentee","886","87","6","329","3"
"District 27 - Early Voting","2155","120","5","452","8"
"District 27  - Question","420","28","2","45","2"
"District 28 - Absentee","896","91","4","401","1"
"District 28 - Early Voting","2307","160","12","565","1"
"District 28  - Question","355","23","2","56","1"
"District 29 - Absentee","1226","153","14","628","6"
"District 29 - Early Voting","2153","117","10","527","5"
"District 29  - Question","299","22","5","59","1"
"District 3 - Absentee","890","314","8","1470","3"
"District 3 - Early Voting","1470","268","14","1807","1"
"District 3  - Question","155","33","1","116","3"
"District 31 - Absentee","568","126","14","455","5"
"District 31 - Early Voting","964","230","10","744","19"
"District 31  - Question","200","31","2","92","3"
"District 32 - Absentee","591","80","5","335","4"
"District 32 - Early Voting","683","113","4","290","4"
"District 32  - Question","686","57","4","94","1"
"District 33 - Absentee","768","84","5","408","2"
"District 33 - Early Voting","1245","114","4","328","2"
"District 33  - Question","237","24","0","41","3"
"District 34 - Absentee","765","160","16","622","5"
