"1","Kennedy/Shanahan","Stein/Ware","Blank","Exhausted","Overvote"
"24-880 Peters Creek No. 2","93","43","1","389","0"
"25-305 Butte","252","91","12","851","2"
"25-310 Greater Palmer","128","37","3","373","1"
"25-315 Lazy Mountain","157","58","3","569","1"
"25-320 Palmer City No. 1","103","50","3","394","1"
"25-325 Palmer City No. 2","140","61","2","358","1"
"25-330 Springer Loop","151","43","5","551","1"
"25-335 Walby","155","51","7","455","2"
"26-350 Fairview No. 1","112","28","1","356","1"
"26-355 Fairview No. 2","76","36","1","279","2"
"26-360 Knik Goose Bay No. 1","235","66","6","868","1"
"26-365 Knik Goose Bay No. 2","167","38","3","575","0"
"26-370 Knik Goose Bay No. 3","120","28","1","361","0"
"26-375 Mat-Su Campus","123","53","5","450","2"
"26-380 Snowshoe","198","60","0","728","1"
"27-405 Foothills","131","55","4","524","2"
"27-410 Meadow Lakes No. 1","191","79","3","793","1"
"27-415 Meadow Lakes No. 2","171","53","7","664","1"
"27-420 Wasilla No. 1","167","56","6","509","4"
"27-425 Wasilla No. 2","177","66","8","691","1"
"28-450 Lakes No. 1","128","51","4","407","0"
"28-455 Lakes No. 2","77","27","4","298","0"
"28-460 Seldon No. 1","141","44","3","765","0"
"28-465 Seldon No. 2","219","80","7","642","2"
"28-470 Seward Meridian","72","22","4","305","0"
"28-475 Trunk","162","67","6","521","3"
"28-480 Wasilla Lake","91","24","1","279","0"
"29-505 Farm Loop","183","64","4","725","1"
"29-510 Fishhook","235","112","8","1042","1"
"29-515 Kings Lake","167","54","3","660","1"
"29-520 Lakes No. 3","65","32","1","255","0"
"29-525 Sheep Mountain","15","6","1","127","1"
"29-530 Sutton","79","44","2","379","0"
"29-535 Valdez No. 1","93","37","3","342","0"
"29-540 Valdez No. 2","34","30","1","159","0"
"29-545 Valdez No. 3","80","37","4","257","1"
"30-550 Anderson/Clear","21","4","0","112","0"
"30-555 Big Lake","225","57","8","898","6"
"30-560 Cantwell","16","12","1","57","0"
"30-565 Denali Park","11","23","0","38","0"
"30-570 East Schrock","21","9","0","60","0"
"30-575 Healy","65","37","1","271","0"
"30-580 Houston","106","26","0","391","2"
"30-585 Knik Goose Bay No. 4","223","53","6","833","0"
"30-590 Trapper Creek","14","8","1","95","1"
"30-595 Susitna","73","39","3","382","0"
"30-600 Talkeetna","44","51","3","162","0"
"30-605 Willow","150","54","5","784","3"
"31-446 Aurora","181","77","5","629","0"
"31-455 Fairbanks No. 1","157","119","7","654","4"
"31-480 Fairbanks No. 2","194","102","12","603","3"
"31-485 Fairbanks No. 3","229","96","3","534","12"
"32-355 Fairbanks No. 4","159","110","4","530","1"
"32-365 Fairbanks No. 5","109","68","3","407","2"
"32-375 Fort Wainwright","122","30","0","224","1"
"32-385 Badger No. 2","242","91","6","839","2"
"33-130 Badger No. 1","285","67","4","820","7"
"33-135 Chena Lakes","249","67","6","854","3"
"33-155 Moose Creek","21","13","1","113","0"
"33-165 Newby","266","97","9","877","0"
"33-175 North Pole","165","55","2","515","1"
"33-183 Plack","259","75","0","804","0"
"34-235 Eielson","105","28","0","198","1"
"34-238 Eielson Farm Road","11","2","0","45","0"
"34-240 Farmers Loop","162","131","7","611","0"
"34-260 Salcha","91","28","2","414","1"
"34-263 Steele Creek","233","101","3","709","3"
"34-265 Steese","185","97","8","731","6"
"34-270 Summit","187","72","11","606","4"
"34-280 Two Rivers","102","42","3","356","0"
"35-580 Airport","65","26","3","240","1"
"35-582 Chena","237","196","10","986","3"
"35-584 Ester","73","122","2","367","3"
"35-586 Geist","105","76","1","398","0"
"35-587 Lakeview","19","7","0","97","0"
"35-592 Shanly","79","79","2","271","1"
"35-595 University Hills","117","104","8","390","1"
"35-596 University West","239","178","11","862","1"
"36-001 Goldstream No. 1","91","101","7","450","2"
