"1","Sonski/Onak","Terry/Broden","Blank","Exhausted","Overvote"
"36-146 Shageluk","5","9","0","8","1"
"36-162 Tanana","6","2","0","71","0"
"36-166 Tetlin","0","7","0","23","0"
"36-170 Tok","28","54","9","429","2"
"36-174 Venetie","2","3","1","39","0"
"37-700 Akutan","2","6","0","40","1"
"37-702 Aleknagik","8","12","1","45","3"
"37-704 Aleutians No. 1","1","1","1","16","0"
"37-706 Aleutians No. 2","24","34","1","472","3"
"37-707 Aniak","6","23","1","75","2"
"37-708 Chignik","2","2","1","11","0"
"37-709 Chuathbaluk","4","2","0","10","3"
"37-710 Clark's Point","1","7","0","11","0"
"37-712 Cold Bay","1","1","1","17","0"
"37-713 Crooked Creek","1","3","0","15","0"
"37-714 Dillingham","35","68","6","438","3"
"37-716 Egegik","0","0","0","11","0"
"37-718 Ekwok","2","4","0","28","0"
"37-719 Goodnews Bay","11","23","1","20","3"
"37-720 King Cove","6","10","1","89","5"
"37-722 King Salmon","12","10","2","104","0"
"37-724 Koliganek","7","8","0","57","0"
"37-726 Lake Iliamna No. 1","6","14","0","82","1"
"37-728 Lake Iliamna No. 2","8","14","1","51","4"
"37-730 Levelock","3","2","0","18","1"
"37-731 Lower Kalskag","14","18","1","26","2"
"37-732 Manokotak","12","17","0","70","5"
"37-734 Naknek","12","7","1","121","1"
"37-736 New Stuyahok","0","1","1","51","0"
"37-738 Nondalton","4","12","0","20","8"
"37-740 Pedro Bay","0","1","0","13","0"
"37-742 Port Heiden","2","2","0","20","0"
"37-744 Sand Point","3","8","2","109","1"
"37-746 Sleetmute","8","6","0","10","0"
"37-748 South Naknek","0","1","2","14","1"
"37-750 St. George Island","1","2","1","3","0"
"37-752 St. Paul Island","6","15","2","84","0"
"37-754 Togiak","21","43","3","70","12"
"37-756 Tyonek","2","2","0","33","0"
"37-758 Upper Kalskag","12","5","0","36","4"
"38-800 Akiachak","13","36","1","104","7"
"38-802 Akiak","9","10","3","68","0"
"38-806 Atmautluak","2","8","2","31","2"
"38-808 Bethel No. 1","69","116","1","388","7"
"38-810 Bethel No. 2","57","120","3","391","4"
"38-812 Chefornak","13","9","0","73","1"
"38-818 Eek","9","17","1","67","1"
"38-822 Kasigluk","8","19","0","36","2"
"38-824 Kipnuk","12","21","0","70","10"
"38-826 Kongiganak","19","37","3","27","8"
"38-828 Kwethluk","25","50","0","55","3"
"38-830 Kwigillingok","12","24","0","41","4"
"38-836 Mekoryuk","10","11","1","43","4"
"38-838 Napakiak","8","18","2","42","1"
"38-840 Napaskiak","16","30","0","21","1"
"38-842 Newtok","14","23","0","11","8"
"38-844 Nightmute","5","4","2","20","3"
"38-846 Nunapitchuk","9","26","0","62","1"
"38-848 Quinhagak","18","34","1","73","8"
"38-852 Toksook Bay","39","55","3","73","10"
"38-854 Tuluksak","1","1","0","1","0"
"38-856 Tuntutuliak","14","41","0","60","2"
"38-858 Tununak","25","19","0","31","6"
"39-900 Alakanuk","24","23","0","36","4"
"39-902 Brevig Mission","22","10","1","63","6"
"39-906 Diomede","4","1","0","5","0"
"39-908 Elim","30","19","0","53","1"
"39-910 Emmonak","25","13","3","100","7"
"39-912 Gambell","32","15","2","89","8"
"39-914 Golovin","14","5","0","30","0"
"39-916 Hooper Bay","23","18","2","112","12"
"39-918 Kotlik","13","7","0","88","1"
"39-920 Koyuk","20","13","1","62","4"
"39-921 Marshall","20","15","1","48","2"
"39-922 Mountain Village","42","26","1","60","3"
"39-924 Nome No. 1","46","20","2","233","2"
"39-926 Nome No. 2","130","68","0","378","4"
"39-928 Nunam Iqua","10","5","1","21","0"
