"1","Kennedy/Shanahan","Trump/Vance","Blank","Exhausted","Overvote"
"36-010 Allakaket","14","1","1","23","1"
"36-014 Anvik","5","8","0","12","0"
"36-018 Arctic Village","5","5","0","42","1"
"36-022 Beaver","3","4","0","10","0"
"36-026 Bettles","3","5","0","3","0"
"36-034 Central","1","32","0","7","1"
"36-038 Chistochina","2","55","0","12","2"
"36-042 Circle","6","4","0","10","0"
"36-046 Copper Center","42","248","2","61","1"
"36-050 Delta Junction","17","307","2","30","2"
"36-054 Deltana","37","1050","5","106","0"
"36-058 Dot Lake","0","45","0","4","0"
"36-062 Eagle","6","46","1","16","0"
"36-066 Fort Yukon","8","33","2","94","3"
"36-070 Gakona","5","84","4","17","0"
"36-074 Galena","22","70","0","53","1"
"36-078 Glennallen","13","141","1","24","0"
"36-082 Grayling","11","23","2","17","2"
"36-086 Holy Cross","13","11","1","16","0"
"36-090 Hughes","3","9","0","18","0"
"36-094 Huslia","14","24","4","52","1"
"36-098 Kaltag","13","12","1","12","2"
"36-102 Kenny Lake","11","135","0","39","0"
"36-106 Koyukuk","10","3","1","14","1"
"36-110 Manley","1","37","0","9","0"
"36-114 McGrath","2","67","3","21","1"
"36-118 Mentasta","7","12","0","20","0"
"36-122 Minto","9","26","0","15","1"
"36-126 Nenana","31","205","3","73","2"
"36-130 Nikolai","6","8","0","12","1"
"36-134 Northway","13","43","0","12","3"
"36-138 Nulato","15","12","0","50","0"
"36-142 Ruby","2","14","0","14","0"
"36-146 Shageluk","11","5","0","6","1"
"36-162 Tanana","7","19","0","53","0"
"36-166 Tetlin","1","17","0","12","0"
"36-170 Tok","39","410","9","64","0"
"36-174 Venetie","7","12","1","25","0"
"37-700 Akutan","3","24","0","21","1"
"37-702 Aleknagik","11","45","1","10","2"
"37-704 Aleutians No. 1","1","8","1","9","0"
"37-706 Aleutians No. 2","39","304","1","187","3"
"37-707 Aniak","17","48","1","39","2"
"37-708 Chignik","4","4","1","7","0"
"37-709 Chuathbaluk","5","11","0","3","0"
"37-710 Clark's Point","6","7","0","6","0"
"37-712 Cold Bay","0","13","1","6","0"
"37-713 Crooked Creek","2","4","0","13","0"
"37-714 Dillingham","65","274","6","204","1"
"37-716 Egegik","1","10","0","0","0"
"37-718 Ekwok","2","24","0","8","0"
"37-719 Goodnews Bay","20","20","1","14","3"
"37-720 King Cove","10","79","1","17","4"
"37-722 King Salmon","12","81","2","33","0"
"37-724 Koliganek","11","40","0","21","0"
"37-726 Lake Iliamna No. 1","6","75","0","21","1"
"37-728 Lake Iliamna No. 2","14","39","1","22","2"
"37-730 Levelock","2","7","0","13","2"
"37-731 Lower Kalskag","17","31","1","12","0"
"37-732 Manokotak","10","78","0","14","2"
"37-734 Naknek","12","90","1","38","1"
"37-736 New Stuyahok","0","8","1","44","0"
"37-738 Nondalton","10","15","0","11","8"
"37-740 Pedro Bay","3","8","0","3","0"
"37-742 Port Heiden","3","12","0","9","0"
"37-744 Sand Point","4","83","2","34","0"
"37-746 Sleetmute","11","8","0","5","0"
"37-748 South Naknek","3","5","2","7","1"
"37-750 St. George Island","2","3","1","1","0"
"37-752 St. Paul Island","22","23","2","60","0"
"37-754 Togiak","33","83","3","18","12"
"37-756 Tyonek","3","9","0","25","0"
"37-758 Upper Kalskag","9","22","0","21","5"
"38-800 Akiachak","35","69","1","51","5"
"38-802 Akiak","12","38","3","37","0"
"38-806 Atmautluak","10","11","2","20","2"
"38-808 Bethel No. 1","111","264","1","198","7"
"38-810 Bethel No. 2","88","284","3","196","4"
"38-812 Chefornak","21","20","0","55","0"
"38-818 Eek","17","42","1","34","1"
"38-822 Kasigluk","25","15","0","24","1"
"38-824 Kipnuk","14","59","0","34","6"
"38-826 Kongiganak","27","45","3","16","3"
"38-828 Kwethluk","62","40","0","30","1"
"38-830 Kwigillingok","9","52","0","15","5"
"38-836 Mekoryuk","13","32","1","19","4"
"38-838 Napakiak","21","28","2","19","1"
"38-840 Napaskiak","32","19","0","16","1"
"38-842 Newtok","26","20","0","6","4"
"38-844 Nightmute","3","13","2","14","2"
"38-846 Nunapitchuk","24","43","0","30","1"
"38-848 Quinhagak","26","54","1","48","5"
"38-852 Toksook Bay","52","80","3","37","8"
"38-854 Tuluksak","2","1","0","0","0"
"38-856 Tuntutuliak","26","56","0","33","2"
"38-858 Tununak","37","19","0","20","5"
"39-900 Alakanuk","34","33","0","16","4"
"39-902 Brevig Mission","24","40","1","32","5"
"39-906 Diomede","2","5","0","3","0"
"39-908 Elim","20","66","0","17","0"
"39-910 Emmonak","33","53","3","54","5"
"39-912 Gambell","31","70","2","37","6"
"39-914 Golovin","10","22","0","17","0"
"39-916 Hooper Bay","34","71","2","53","7"
"39-918 Kotlik","15","43","0","51","0"
"39-920 Koyuk","13","60","1","23","3"
"39-921 Marshall","15","47","1","21","2"
"39-922 Mountain Village","43","60","1","26","2"
"39-924 Nome No. 1","44","142","2","113","2"
"39-926 Nome No. 2","130","266","0","180","4"
"39-928 Nunam Iqua","11","13","1","12","0"
"39-930 Pilot Station","45","23","0","22","4"
"39-931 Russian Mission","11","23","2","22","1"
"39-932 Savoonga","54","46","1","53","5"
"39-934 Scammon Bay","29","48","0","25","6"
"39-936 Shaktoolik","9","35","2","10","1"
"39-938 Shishmaref","42","50","2","79","2"
"39-940 St. Mary's","32","30","2","51","2"
"39-942 St. Michael","11","34","3","14","3"
"39-944 Stebbins","20","39","0","10","4"
"39-946 Teller","13","16","0","7","0"
"39-948 Unalakleet","40","102","1","74","4"
"39-950 Wales","3","4","0","1","0"
"39-952 White Mountain","22","24","0","23","0"
"40-002 Ambler","8","22","3","10","1"
"40-004 Anaktuvuk Pass","5","27","2","23","1"
"40-006 Atqasuk","3","26","1","6","1"
"40-008 Utqiagvik","49","132","0","68","0"
"40-010 Browerville","111","357","3","172","4"
"40-012 Buckland","23","42","0","17","2"
"40-014 Deering","11","16","0","9","1"
"40-016 Kaktovik","0","60","0","13","0"
"40-018 Kiana","5","28","1","26","0"
"40-020 Kivalina","14","29","1","16","2"
"40-022 Kobuk","2","16","0","19","1"
"40-024 Kotzebue","133","256","6","175","4"
"40-026 Noatak","20","69","2","10","4"
"40-028 Noorvik","15","59","2","20","0"
"40-030 Nuiqsut","9","15","2","14","4"
"40-032 Point Hope","8","67","1","44","0"
"40-034 Point Lay","6","20","0","3","1"
"40-036 Selawik","10","58","0","9","1"
"40-038 Shungnak","12","22","0","12","4"
"40-040 Wainwright","9","98","0","20","2"
"District 1 - Absentee","263","1648","15","1103","14"
"District 1 - Early Voting","5","7","0","8","0"
"District 1  - Question","68","312","2","115","1"
"District 10 - Absentee","213","752","22","980","5"
"District 10 - Early Voting","139","828","4","583","3"
"District 10  - Question","35","143","2","75","3"
"District 11 - Absentee","244","960","31","1320","4"
"District 11 - Early Voting","154","947","9","672","2"
"District 11  - Question","22","146","0","69","1"
"District 12 - Absentee","209","706","9","1055","4"
"District 12 - Early Voting","170","780","2","647","1"
"District 12  - Question","43","138","3","52","4"
"District 13 - Absentee","205","576","9","869","1"
"District 13 - Early Voting","149","722","7","509","5"
"District 13  - Question","49","206","2","84","5"
"District 14 - Absentee","250","500","10","1093","8"
"District 14 - Early Voting","159","635","6","829","6"
"District 14  - Question","82","233","3","108","8"
"District 15 - Absentee","240","836","17","1050","2"
"District 15 - Early Voting","170","909","5","657","2"
"District 15  - Question","35","171","3","70","4"
"District 16 - Absentee","260","697","12","1285","4"
"District 16 - Early Voting","212","736","10","868","11"
"District 16  - Question","46","171","1","80","4"
"District 17 - Absentee","249","612","12","1390","6"
"District 17 - Early Voting","277","643","4","1166","15"
"District 17  - Question","70","176","4","137","12"
"District 18 - Absentee","150","812","5","599","5"
"District 18 - Early Voting","55","238","0","213","2"
"District 18  - Question","67","612","3","150","3"
"District 19 - Absentee","155","336","3","639","11"
"District 19 - Early Voting","110","293","2","421","4"
"District 19  - Question","50","201","3","139","8"
"District 2 - Absentee","468","2071","25","2088","21"
"District 2 - Early Voting","13","34","0","28","1"
