"1","Stein/Ware","Trump/Vance","Blank","Exhausted","Overvote"
"23-830 Meadow Creek No. 2","43","282","1","95","2"
"24-850 Chugach Park No. 2","49","465","8","155","2"
"24-855 Chugiak","36","261","1","70","0"
"24-860 Eagle River No. 3","62","412","3","137","0"
"24-865 Eklutna","57","421","1","162","1"
"24-870 Fire Lake","61","488","3","170","3"
"24-875 Peters Creek No. 1","76","725","8","174","0"
"24-880 Peters Creek No. 2","41","371","1","113","0"
"25-305 Butte","89","898","12","207","2"
"25-310 Greater Palmer","55","376","3","107","1"
"25-315 Lazy Mountain","61","569","3","153","2"
"25-320 Palmer City No. 1","58","361","3","129","0"
"25-325 Palmer City No. 2","79","358","2","122","1"
"25-330 Springer Loop","44","559","5","143","0"
"25-335 Walby","48","516","7","98","1"
"26-350 Fairview No. 1","33","409","1","54","1"
"26-355 Fairview No. 2","35","296","1","60","2"
"26-360 Knik Goose Bay No. 1","71","952","6","146","1"
"26-365 Knik Goose Bay No. 2","36","622","3","122","0"
"26-370 Knik Goose Bay No. 3","28","405","1","76","0"
"26-375 Mat-Su Campus","54","454","5","117","3"
"26-380 Snowshoe","63","787","0","136","1"
"27-405 Foothills","49","575","4","87","1"
"27-410 Meadow Lakes No. 1","66","863","3","134","1"
"27-415 Meadow Lakes No. 2","42","735","7","112","0"
"27-420 Wasilla No. 1","51","576","6","106","3"
"27-425 Wasilla No. 2","56","737","8","141","1"
"28-450 Lakes No. 1","43","449","4","94","0"
"28-455 Lakes No. 2","29","308","4","65","0"
"28-460 Seldon No. 1","44","778","3","128","0"
"28-465 Seldon No. 2","85","697","7","159","2"
"28-470 Seward Meridian","23","300","4","76","0"
"28-475 Trunk","64","536","6","152","1"
"28-480 Wasilla Lake","30","305","1","59","0"
"29-505 Farm Loop","58","776","4","138","1"
"29-510 Fishhook","114","1038","8","237","1"
"29-515 Kings Lake","53","703","3","125","1"
"29-520 Lakes No. 3","25","273","1","54","0"
"29-525 Sheep Mountain","7","122","1","19","1"
"29-530 Sutton","35","370","2","97","0"
