"1","Stein/Ware","Terry/Broden","Blank","Exhausted","Overvote"
"District 21 - Absentee","366","133","7","1962","7"
"District 21 - Early Voting","199","101","4","1230","7"
"District 21  - Question","78","51","4","259","10"
"District 22 - Absentee","187","102","7","920","9"
"District 22 - Early Voting","113","85","3","715","7"
"District 22  - Question","44","68","3","194","5"
"District 23 - Absentee","341","165","15","2213","4"
"District 23 - Early Voting","354","192","12","2955","4"
"District 23  - Question","60","27","0","236","1"
"District 24 - Absentee","235","139","14","1660","2"
"District 24 - Early Voting","270","209","12","2763","6"
"District 24  - Question","45","37","4","249","0"
"District 25 - Absentee","186","92","13","1298","8"
"District 25 - Early Voting","372","190","9","2853","2"
"District 25  - Question","61","40","2","330","4"
"District 26 - Absentee","122","79","5","1174","7"
"District 26 - Early Voting","208","150","7","2329","4"
"District 26  - Question","54","41","2","327","2"
"District 27 - Absentee","153","75","6","1075","2"
"District 27 - Early Voting","212","165","5","2351","7"
"District 27  - Question","62","59","2","371","3"
"District 28 - Absentee","138","110","4","1139","2"
"District 28 - Early Voting","231","206","12","2593","3"
"District 28  - Question","49","44","2","341","1"
"District 29 - Absentee","215","124","14","1668","6"
"District 29 - Early Voting","214","172","10","2408","8"
"District 29  - Question","38","41","5","298","4"
"District 3 - Absentee","424","123","8","2128","2"
"District 3 - Early Voting","399","152","14","2988","7"
"District 3  - Question","49","27","1","228","3"
"District 31 - Absentee","154","86","14","908","6"
"District 31 - Early Voting","317","158","10","1461","21"
"District 31  - Question","46","38","2","239","3"
"District 32 - Absentee","115","113","5","777","5"
"District 32 - Early Voting","140","104","4","840","6"
"District 32  - Question","119","164","4","554","1"
"District 33 - Absentee","147","104","5","1009","2"
"District 33 - Early Voting","190","133","4","1362","4"
"District 33  - Question","39","46","0","216","4"
"District 34 - Absentee","205","111","16","1230","6"
"District 34 - Early Voting","375","152","7","2002","9"
"District 34  - Question","79","86","4","513","1"
"District 35 - Absentee","214","88","5","1109","5"
"District 35 - Early Voting","482","148","8","2022","10"
"District 35  - Question","50","37","1","237","1"
"District 38 - Absentee","77","82","4","370","3"
"District 38 - Early Voting","1","12","0","17","0"
"District 38  - Question","41","59","2","161","7"
"District 4 - Absentee","294","64","8","1299","3"
"District 4 - Early Voting","630","186","15","3015","10"
"District 4  - Question","76","48","5","294","4"
"District 40 - Absentee","75","34","4","334","2"
"District 40 - Early Voting","5","5","1","34","1"
"District 40  - Question","39","47","2","160","4"
"District 5 - Absentee","403","198","28","2499","13"
"District 5 - Early Voting","7","4","0","51","0"
"District 5  - Question","52","51","1","260","3"
"District 6 - Absentee","293","149","21","1925","1"
"District 6 - Early Voting","480","186","14","3386","3"
"District 6  - Question","30","30","1","279","0"
"District 7 - Absentee","155","113","8","1427","4"
"District 7 - Early Voting","303","196","20","3116","10"
"District 7  - Question","42","30","2","222","1"
"District 8 - Absentee","235","127","16","1886","6"
"District 8 - Early Voting","237","187","11","2736","7"
"District 8  - Question","17","25","1","153","1"
"District 9 - Absentee","459","125","31","2681","4"
"District 9 - Early Voting","238","102","8","1811","3"
"District 9  - Question","42","24","1","186","0"
"HD99 Fed Overseas Absentee","85","20","0","296","0"
"House District 30 - Judicial District 3","328","316","28","3691","17"
"House District 30 - Judicial District 4","75","34","1","432","2"
"House District 36 - Judicial District 3","87","52","7","574","1"
"House District 36 - Judicial District 4","365","218","18","2147","17"
"House District 37 - Judicial District 3","175","113","6","936","11"
"House District 37 - Judicial District 4","29","18","1","149","2"
"House District 39 - Judicial District 2","142","66","7","552","9"
"House District 39 - Judicial District 4","34","18","0","76","4"
"Total","43994","25237","1888","268181","1478"
