"1","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Blank","Overvote"
"2","","Hafner","Hafner","Hafner","Hafner","Howe","Howe","Howe","Howe","Overvote","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Howe","Howe","Howe","Howe","Overvote","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Hafner","Hafner","Hafner","Hafner","Overvote","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Hafner","Hafner","Hafner","Hafner","Howe","Howe","Howe","Howe","Overvote","",""
"3","","","Howe","Overvote","Peltola","","Hafner","Overvote","Peltola","","","Hafner","Howe","Overvote","","","Howe","Overvote","Peltola","","Begich","Overvote","Peltola","","","Begich","Howe","Overvote","","","Hafner","Overvote","Peltola","","Begich","Overvote","Peltola","","","Begich","Hafner","Overvote","","","Hafner","Howe","Overvote","","Begich","Howe","Overvote","","Begich","Hafner","Overvote","","",""
"09-130 South Anchorage No. 4","471","3","14","0","1","39","26","0","4","0","19","3","6","0","4","0","0","0","0","1","0","0","0","0","3","0","0","0","5","2","1","0","0","0","0","0","2","0","1","1","0","0","294","43","10","7","0","37","11","68","1","9","7","23","0","0","13","0"
"09-135 South Anchorage No. 5","199","1","4","0","0","17","10","0","4","0","8","0","5","0","0","0","1","0","0","0","0","0","0","0","1","0","1","0","3","2","0","0","0","0","1","0","0","0","1","0","1","0","139","10","1","1","0","19","5","36","1","11","2","14","0","0","2","0"
"09-140 Stuckagain Heights","48","3","3","0","0","2","3","0","0","0","2","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58","5","0","2","0","9","0","8","0","4","0","8","0","0","2","0"
"09-145 Whittier","38","0","2","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","15","5","2","0","0","3","1","4","0","0","0","5","0","0","4","0"
"10-150 Dimond","255","4","7","0","2","27","35","0","6","0","10","1","9","0","7","0","1","0","0","0","1","0","3","0","4","1","5","0","18","4","2","0","1","0","3","0","2","0","3","2","1","0","200","20","4","13","0","41","3","63","0","11","10","21","0","1","22","1"
"10-155 Oceanview No. 1","382","1","8","0","0","35","22","0","13","1","22","7","11","0","4","1","0","0","0","0","0","0","1","1","3","2","0","0","9","4","3","0","0","0","1","0","0","0","0","1","2","0","296","23","5","15","0","37","9","79","0","8","6","16","0","0","17","0"
"10-160 Oceanview No. 2","261","0","1","0","0","28","16","0","7","0","13","1","4","0","0","0","0","0","0","0","0","0","1","0","1","0","3","0","12","2","2","0","2","1","0","0","3","0","0","0","2","0","196","21","4","4","0","30","5","46","1","9","4","10","0","0","25","3"
"10-165 Oceanview No. 3","352","1","6","0","0","29","36","0","13","1","15","4","2","0","5","0","0","0","1","0","0","0","4","0","1","2","2","0","16","2","1","0","1","2","0","0","3","1","0","0","3","0","228","19","3","9","0","44","9","79","0","12","8","27","0","2","15","3"
"10-170 Oceanview No. 4","313","1","5","0","0","32","18","1","9","0","18","3","8","0","1","0","0","0","0","0","1","0","2","0","3","1","0","0","4","1","0","0","4","0","0","0","0","0","0","1","2","0","226","18","3","6","0","39","7","60","0","8","6","23","0","0","8","2"
"10-175 Oceanview No. 5","245","1","3","0","0","33","13","0","6","0","12","3","8","0","4","0","0","0","0","0","1","0","1","0","4","0","2","0","16","1","1","0","0","0","1","0","4","0","1","1","1","0","180","7","1","10","0","37","5","34","0","6","2","19","0","0","12","0"
"11-205 Hillside No. 1","216","1","4","0","1","18","19","0","9","0","8","3","7","0","0","0","1","0","0","0","1","0","1","0","2","1","1","0","17","2","4","0","1","0","3","0","3","0","3","4","2","0","147","10","7","5","0","31","6","46","1","9","5","20","0","1","8","3"
"11-210 Hillside No. 2","438","2","4","0","2","57","26","0","14","1","19","8","13","0","1","1","0","0","1","1","0","0","1","0","1","0","6","0","13","11","5","0","3","0","2","0","0","0","4","0","7","0","303","31","7","13","0","54","8","78","0","14","9","42","1","0","8","2"
"11-215 Hillside No. 3","286","3","1","0","0","20","14","0","7","0","5","1","2","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","3","2","0","0","2","0","1","0","1","0","1","2","2","0","144","19","4","9","0","33","1","27","0","4","7","20","0","0","17","0"
"11-220 Hillside No. 4","323","0","5","0","1","23","18","0","4","0","7","3","1","0","2","0","0","0","1","1","0","0","1","0","0","2","0","0","2","2","1","0","2","0","0","0","1","0","2","1","1","0","148","10","4","10","0","37","5","26","0","11","4","19","0","0","6","1"
"11-225 Hillside No. 5","326","0","3","0","0","14","4","0","1","0","8","0","5","0","4","0","0","0","0","0","1","0","0","0","1","0","0","0","13","5","0","0","0","0","1","0","0","0","1","3","0","0","258","10","0","4","0","32","3","26","0","10","5","10","0","0","3","0"
"11-230 Hillside No. 6","309","3","4","0","1","25","22","0","5","0","7","2","5","0","1","0","0","0","0","0","1","0","0","0","0","1","1","0","5","2","3","0","2","0","0","0","2","0","1","0","0","0","211","16","0","7","0","36","4","61","0","15","2","21","0","0","5","1"
"11-235 Hillside No. 7","243","2","2","0","1","18","17","0","6","0","11","0","5","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","2","1","0","0","1","0","1","0","0","0","3","1","2","0","190","7","3","9","0","45","4","36","0","8","8","17","0","0","3","0"
"12-250 Southeast Anchorage No. 1","296","4","15","0","0","31","35","0","8","0","9","7","5","0","4","1","0","0","0","1","4","0","1","0","2","1","3","0","18","3","2","0","4","0","0","0","1","0","2","3","3","0","197","19","15","6","0","39","7","76","1","9","7","25","0","0","13","3"
"12-255 Southeast Anchorage No. 2","188","2","4","0","1","19","20","0","6","0","4","11","2","0","0","0","1","0","0","0","1","0","1","0","0","0","1","0","9","1","2","0","1","1","0","0","0","0","0","0","0","0","112","8","4","2","0","20","6","40","0","6","1","12","0","0","2","0"
"12-260 Southeast Anchorage No. 3","275","3","6","0","5","29","22","0","8","0","10","10","4","0","4","0","0","0","1","2","0","0","2","0","0","1","0","0","9","6","5","0","2","0","2","0","0","0","2","3","0","0","198","16","13","14","1","30","12","61","0","8","5","23","0","0","7","0"
"12-265 Southeast Anchorage No. 4","296","0","8","0","2","26","10","0","8","0","8","6","3","0","2","3","0","0","0","0","0","0","0","0","0","0","1","0","17","4","0","0","2","0","3","0","0","0","0","3","1","0","206","13","7","9","0","60","6","54","0","9","3","27","0","0","12","0"
"12-270 Southeast Anchorage No. 5","345","0","6","0","5","33","27","0","12","0","11","12","10","0","2","0","0","0","0","0","0","0","1","0","2","0","4","0","10","2","1","0","2","0","2","0","4","0","2","1","0","0","231","21","22","10","0","52","5","67","0","17","8","28","0","1","9","3"
"12-275 Southeast Anchorage No. 6","254","0","10","0","3","19","11","0","6","1","15","4","5","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","5","3","1","0","3","0","2","0","0","0","0","1","0","0","268","16","13","7","0","47","4","58","0","11","8","19","0","0","4","2"
"13-305 South Midtown No. 1","81","2","3","0","1","16","10","0","1","0","3","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1","2","2","0","1","0","0","0","1","0","0","1","0","0","45","3","3","6","0","10","3","20","0","2","0","3","0","0","0","0"
"13-310 South Midtown No. 2","396","1","8","0","0","29","24","0","13","0","11","7","7","0","10","0","0","0","0","1","2","0","1","0","1","0","2","0","10","7","4","0","2","1","0","0","5","0","3","4","3","0","299","21","14","9","0","47","9","77","2","11","6","25","0","0","16","0"
"13-315 South Midtown No. 3","335","0","12","0","1","33","27","0","14","0","13","3","10","0","4","0","1","0","0","1","2","0","1","0","4","3","3","0","17","7","5","0","3","2","4","0","5","0","0","1","2","0","229","15","12","9","0","53","9","80","0","11","4","32","0","0","13","0"
"13-320 South Midtown No. 4","320","6","5","0","3","17","34","0","5","1","13","3","5","0","3","0","1","0","0","1","1","0","2","0","3","0","1","0","13","9","4","0","1","1","1","0","5","0","2","4","4","0","231","13","16","8","0","49","9","74","0","10","5","47","0","0","23","1"
"13-325 South Midtown No. 5","242","4","10","0","0","26","31","0","15","0","15","6","4","0","7","0","0","0","1","1","2","0","1","0","5","0","6","0","12","6","3","0","5","0","1","0","1","0","0","2","1","0","295","16","8","11","0","66","16","97","0","19","8","31","0","2","12","1"
"14-350 North Midtown No. 1","58","1","0","0","1","18","2","0","2","0","2","2","6","0","0","0","0","0","1","0","0","0","0","0","3","0","1","0","6","2","0","0","0","0","0","0","0","0","1","0","0","0","94","7","1","5","0","27","4","29","0","4","2","8","0","0","3","0"
"14-355 North Midtown No. 2","98","1","3","0","0","7","10","0","0","0","1","1","3","0","3","1","0","0","0","1","0","0","0","0","1","0","2","0","7","4","1","0","3","0","2","0","1","0","1","0","0","0","132","4","1","9","0","28","3","30","0","5","1","18","0","0","7","0"
"14-360 North Midtown No. 3","101","1","3","0","0","5","11","0","1","0","7","1","5","0","1","0","0","0","0","0","0","0","1","0","0","0","2","0","5","5","4","0","1","0","2","0","2","0","0","1","0","0","82","6","1","4","0","25","1","27","0","2","2","7","0","0","5","0"
"14-365 North Midtown No. 4","120","0","4","0","2","15","6","0","4","0","4","1","5","0","2","0","0","0","0","0","2","0","2","0","2","0","4","0","10","3","0","0","1","1","1","0","2","0","0","1","0","0","127","13","1","6","0","27","6","47","0","7","3","14","0","0","9","0"
"14-370 North Midtown No. 5","193","0","7","0","0","27","18","0","7","0","6","0","5","0","4","2","1","0","0","2","1","0","1","0","2","0","0","1","18","3","1","0","1","3","3","0","2","0","3","2","1","0","225","7","9","8","0","61","3","66","0","12","6","22","0","0","13","1"
"14-375 North Midtown No. 6","146","1","3","0","0","17","13","0","3","0","8","1","4","0","3","0","0","0","0","1","0","0","0","0","1","1","2","0","2","7","3","0","2","0","0","0","1","0","1","0","1","0","146","13","5","6","0","27","2","42","0","5","2","14","0","3","11","1"
"14-380 North Midtown No. 7","217","2","3","0","0","18","15","0","4","0","8","0","5","0","1","0","0","0","0","0","1","0","0","0","2","0","1","0","5","3","2","0","1","1","0","0","4","0","2","2","0","0","352","14","4","7","0","69","2","74","0","10","7","25","0","0","7","0"
"15-405 Southwest Anchorage No. 1","256","3","5","0","1","25","16","0","10","0","9","1","6","0","0","1","0","0","0","1","1","0","0","0","1","0","0","0","9","0","1","0","1","0","1","0","0","0","3","1","1","0","184","21","3","10","0","25","3","31","0","7","5","18","0","0","7","0"
"15-410 Southwest Anchorage No. 2","291","1","4","0","2","28","18","0","12","0","11","4","5","0","5","1","0","0","1","1","0","0","1","0","0","0","0","0","9","4","3","0","5","0","0","0","2","0","1","3","1","0","190","20","5","13","0","40","9","55","0","11","10","21","0","0","6","1"
"15-415 Southwest Anchorage No. 3","338","1","6","0","0","28","18","0","10","0","12","4","16","0","4","0","0","0","1","0","0","0","1","0","3","1","2","0","9","5","3","0","4","1","0","0","0","0","2","4","5","0","249","24","8","14","0","47","12","58","1","8","10","25","0","0","9","0"
"15-420 Southwest Anchorage No. 4","266","2","4","0","1","22","25","0","17","0","13","1","6","0","5","0","0","0","1","0","0","0","1","0","2","0","1","0","8","5","4","0","4","0","3","0","2","1","1","5","2","0","224","18","5","8","1","47","4","56","0","11","13","23","0","0","14","4"
"15-425 Southwest Anchorage No. 5","266","0","2","0","2","27","24","0","9","0","9","5","2","0","2","0","0","0","0","1","0","0","0","0","2","0","1","0","7","7","3","0","1","1","1","0","2","0","3","3","2","0","229","24","5","10","0","43","4","37","0","9","9","33","0","0","8","1"
"15-430 Southwest Anchorage No. 6","475","2","12","0","0","41","33","0","13","1","21","1","9","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","4","6","3","0","4","1","1","0","2","0","1","3","3","0","281","24","3","18","0","63","9","60","0","19","8","36","0","1","15","2"
"16-450 West Anchorage No. 1","119","2","3","0","0","19","5","0","1","0","9","1","2","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","2","0","0","0","0","0","0","1","1","0","305","20","6","3","0","47","14","62","1","8","4","15","0","0","7","0"
"16-455 West Anchorage No. 2","191","2","9","0","0","25","16","0","6","0","11","10","4","0","1","0","1","0","2","0","0","0","0","0","1","1","1","0","7","3","2","0","3","0","0","0","0","0","0","2","3","0","251","19","16","12","0","78","9","67","0","8","7","25","0","2","3","1"
"16-460 West Anchorage No. 3","298","1","6","0","2","27","25","0","6","0","6","9","5","0","5","0","1","0","0","0","0","0","1","0","0","2","0","0","6","1","2","0","0","0","4","0","1","0","2","1","1","0","346","23","27","12","1","66","9","95","0","18","6","25","0","0","13","1"
"16-465 West Anchorage No. 4","157","0","8","0","0","14","26","0","3","0","6","9","3","0","2","0","0","0","0","1","1","0","0","0","2","0","1","0","3","2","2","0","2","0","1","0","0","0","1","1","0","0","158","13","7","5","0","31","6","43","0","4","2","15","0","0","7","0"
"16-470 West Anchorage No. 5","320","2","5","0","1","44","20","0","8","0","9","4","2","0","0","0","0","0","1","0","0","0","1","0","0","0","2","0","8","4","3","0","2","0","2","0","1","0","0","3","1","0","253","22","18","9","1","56","10","60","0","12","5","16","0","0","5","0"
"16-475 West Anchorage No. 6","281","1","2","0","0","25","13","0","7","0","6","5","1","0","2","0","0","0","0","0","0","0","0","0","1","0","1","0","9","4","1","0","4","1","2","0","2","0","1","0","0","0","219","23","6","4","0","46","7","61","0","5","10","13","0","0","7","0"
"16-480 West Anchorage No. 7","178","2","4","0","2","11","32","0","8","0","8","5","4","0","2","0","1","0","0","0","0","0","0","0","2","0","3","0","8","3","2","0","3","0","2","0","3","0","0","4","1","0","162","15","10","8","0","37","4","46","1","14","4","17","0","0","12","2"
"17-505 Downtown Anchorage No. 1","93","1","1","0","0","8","1","0","2","0","8","1","2","0","2","0","0","0","0","0","0","0","1","0","2","0","0","0","2","2","0","0","0","1","3","0","0","0","1","0","0","0","127","8","1","2","0","23","6","27","0","6","1","10","0","0","5","0"
"17-510 Downtown Anchorage No. 2","103","2","4","0","0","6","4","0","3","0","3","1","3","0","0","0","0","0","0","0","0","0","1","0","1","0","2","0","6","0","1","0","1","0","0","0","0","0","1","0","0","0","221","8","1","5","0","30","8","43","0","14","3","16","0","0","2","1"
"17-515 Downtown Anchorage No. 3","89","0","2","0","1","7","3","0","1","0","2","2","1","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","134","10","1","1","0","30","2","35","0","7","4","10","0","0","1","0"
"17-520 Downtown Anchorage No. 4","147","0","10","0","0","13","10","0","7","0","6","5","4","0","1","0","1","0","0","0","1","0","3","0","3","1","4","0","5","2","1","0","1","0","3","0","2","0","0","1","1","0","208","10","6","7","0","60","6","58","0","7","2","33","0","0","3","4"
"17-525 Downtown Anchorage No. 5","80","1","6","0","0","12","11","0","2","0","7","0","4","0","5","0","0","0","1","0","1","0","1","0","4","0","3","0","7","0","1","0","1","0","0","0","0","0","1","3","1","0","149","4","2","2","0","30","5","45","0","11","2","17","0","0","12","2"
"17-530 Downtown Anchorage No. 6","66","0","2","0","0","9","5","0","3","0","3","2","0","0","2","0","0","0","1","0","0","0","0","0","3","0","2","0","7","1","2","0","1","0","1","0","0","0","0","0","4","0","97","5","1","4","0","18","2","39","0","3","4","17","1","0","8","3"
"17-535 Downtown Anchorage No. 7","99","2","3","0","0","8","14","0","3","0","9","5","7","0","7","1","0","0","0","0","0","0","0","0","4","0","1","0","5","1","2","0","1","0","1","0","0","0","1","1","1","0","139","13","4","5","0","23","6","34","0","5","3","28","0","0","11","0"
"18-550 Government Hill","106","0","1","0","0","13","9","0","2","0","3","1","3","0","3","0","0","0","0","0","0","0","1","0","0","0","1","0","9","1","2","0","1","1","0","0","1","0","1","3","0","0","139","14","3","2","0","30","4","33","0","5","3","10","0","0","11","3"
"18-555 JBER No.1","384","3","5","0","0","47","30","0","12","0","8","4","9","0","10","0","0","0","0","2","0","0","2","0","3","2","2","0","26","10","7","0","3","0","2","0","3","0","1","2","3","0","122","10","1","13","0","28","2","33","0","4","5","9","0","0","25","0"
"18-556 JBER No.2","86","0","2","0","1","10","18","0","5","0","3","0","4","0","3","0","0","0","0","1","0","0","0","0","4","0","0","0","5","1","2","0","0","0","2","0","1","0","0","2","2","0","33","2","1","2","0","9","2","17","0","3","1","5","0","0","11","0"
"18-560 North Muldoon","119","0","3","0","1","5","4","0","2","0","2","2","5","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","9","0","0","0","0","2","1","0","0","0","2","2","2","0","113","8","3","3","0","17","3","19","0","5","2","8","0","0","6","1"
"18-565 Ship Creek","16","1","1","0","0","3","2","0","0","0","2","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","25","1","0","0","0","9","0","11","0","1","1","4","0","0","4","0"
"19-605 Airport Heights No. 1","145","1","1","0","1","19","14","0","4","0","6","2","5","0","4","1","0","0","1","0","0","0","1","0","1","0","0","0","10","5","4","0","1","0","1","0","1","0","0","2","2","0","272","15","12","6","0","71","9","59","0","11","6","22","0","0","9","0"
"19-610 Airport Heights No. 2","241","0","3","0","0","19","6","0","1","0","7","1","5","0","4","0","0","0","0","2","0","0","0","0","0","0","1","0","25","4","1","0","1","1","2","0","1","0","1","3","1","0","255","13","3","3","1","37","3","31","0","10","6","13","0","1","14","3"
"19-615 Mountainview No. 1","81","1","0","0","2","16","11","0","7","1","6","3","1","0","2","0","0","0","0","0","1","0","0","0","1","0","0","0","8","4","1","0","1","0","5","0","1","0","1","1","6","0","127","4","9","5","0","26","4","26","0","3","5","23","0","0","8","1"
"19-620 Mountainview No. 2","90","0","0","0","0","14","16","1","2","0","4","3","4","0","3","0","0","0","2","0","0","0","1","0","1","2","1","0","9","6","2","0","1","0","0","0","1","0","0","1","3","0","135","3","3","9","0","10","5","23","0","1","3","10","0","0","8","3"
"19-625 South Mountainview","143","1","1","0","0","16","10","0","6","0","5","1","1","0","2","0","0","0","0","0","2","0","3","0","1","0","1","0","11","2","2","0","2","1","2","0","1","0","1","0","1","0","159","5","3","5","0","20","2","18","0","9","5","5","0","0","14","1"
"20-650 University No. 1","61","0","4","0","0","12","9","0","4","0","5","4","1","1","1","1","0","0","0","0","0","0","0","0","3","0","0","0","2","1","0","0","4","0","0","0","1","0","0","1","0","0","59","0","3","0","0","20","9","32","0","2","4","13","0","1","10","2"
"20-655 University No. 2","268","2","6","0","3","30","16","0","7","1","7","10","5","0","6","0","0","0","0","1","0","0","0","0","2","3","1","0","25","2","3","0","2","3","2","0","7","0","3","0","5","0","263","25","19","10","0","53","8","75","0","8","3","19","0","0","16","1"
"20-660 University No. 3","241","1","6","0","1","26","23","0","7","0","15","3","3","0","7","0","0","0","0","0","1","0","0","0","1","0","1","0","12","3","0","0","1","1","1","0","3","0","0","0","1","0","273","27","17","11","0","70","11","102","0","10","6","20","0","0","10","4"
"20-665 University No. 4","111","1","6","0","1","18","12","0","3","0","5","4","1","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","6","2","0","0","0","1","2","0","1","0","0","0","0","0","120","10","8","5","0","33","5","39","0","5","4","12","0","0","9","0"
"20-670 University No. 5","374","6","13","0","2","44","26","0","14","1","21","12","6","0","4","0","1","0","0","0","1","0","0","0","3","0","0","0","11","2","0","0","4","2","4","0","4","1","3","0","2","0","371","32","27","14","0","83","16","120","1","17","7","38","0","0","18","7"
"21-705 East Anchorage No. 1","232","1","6","0","1","23","4","0","4","0","7","3","1","0","2","0","0","0","0","0","0","0","0","0","1","0","1","0","7","1","1","0","2","0","3","0","0","0","1","0","1","0","207","25","6","4","0","52","3","37","0","16","4","26","0","0","9","3"
"21-710 East Anchorage No. 2","284","0","14","0","1","22","25","1","9","1","12","5","6","0","7","0","1","0","1","0","1","0","1","0","1","0","1","0","9","3","3","0","1","0","0","0","2","0","0","3","5","0","199","15","7","11","0","38","11","52","0","5","10","32","0","1","3","1"
"21-715 East Anchorage No. 3","384","1","18","0","2","33","28","0","13","1","11","5","7","0","5","0","0","0","1","0","0","0","1","0","2","1","4","0","16","2","6","1","3","0","1","0","4","0","1","1","4","0","292","17","12","13","0","47","14","89","0","5","7","47","0","1","16","1"
"21-720 East Anchorage No. 4","257","1","10","0","1","30","33","0","10","0","11","3","6","0","4","0","0","0","0","2","0","0","0","0","3","0","0","0","14","3","0","0","2","2","1","0","2","0","3","2","0","0","260","28","4","2","0","57","9","51","0","7","5","22","0","0","11","2"
"21-725 East Anchorage No. 5","381","2","17","1","1","36","44","1","6","0","11","3","8","0","4","1","2","0","0","2","2","0","0","0","4","1","1","0","10","8","3","0","0","1","6","0","2","0","0","1","4","0","356","24","9","7","0","65","14","97","0","13","10","49","0","1","8","1"
"22-750 Northeast Anchorage No. 1","228","2","6","0","2","24","29","1","9","0","11","5","13","0","8","0","0","0","1","2","0","0","4","0","6","1","3","0","15","2","1","0","4","0","2","0","9","0","2","3","1","0","208","19","6","18","0","46","3","69","0","13","9","23","0","2","14","2"
"22-755 Northeast Anchorage No. 2","245","2","6","0","0","26","29","0","5","0","10","4","15","0","8","1","0","0","0","2","1","0","4","0","2","1","3","0","10","0","0","0","5","1","0","0","4","0","2","3","3","0","162","13","7","17","0","31","10","78","0","6","5","25","0","1","13","6"
"22-760 Northeast Anchorage No. 3","273","2","8","0","5","20","23","0","7","0","9","6","5","0","8","0","2","0","0","1","0","0","7","0","1","0","1","0","13","3","2","0","1","2","2","0","1","0","4","1","1","0","264","12","5","15","0","47","6","72","0","14","5","28","0","0","14","3"
"22-765 Northeast Anchorage No. 4","179","2","6","0","1","12","28","1","3","0","3","1","8","0","5","0","0","0","0","0","2","0","2","1","1","0","0","0","11","4","1","0","3","2","0","0","5","0","1","0","1","0","136","9","3","10","0","24","6","54","0","7","5","21","0","0","11","5"
"23-805 Chugach Park No. 1","403","0","4","0","0","60","29","0","21","0","13","2","14","0","0","1","0","0","1","1","0","0","1","0","0","0","1","0","11","9","2","0","7","0","2","0","1","0","4","5","1","0","247","22","7","18","0","42","10","53","0","16","14","28","0","0","16","0"
"23-810 Eagle River No. 1","244","2","2","0","0","30","21","0","9","0","9","3","8","0","3","0","1","0","1","0","0","0","1","0","3","0","1","0","14","6","2","0","2","0","1","0","2","0","2","1","3","0","146","8","5","5","0","23","3","34","0","6","10","15","0","0","5","1"
"23-815 Eagle River No. 2","248","0","2","0","3","33","22","0","13","0","9","4","12","0","2","0","0","0","0","0","0","0","0","0","0","0","2","0","13","9","1","0","3","0","0","1","0","0","1","3","2","0","141","13","4","13","0","34","7","39","0","8","10","23","0","0","6","0"
"23-820 Hiland","263","0","4","0","2","35","20","0","15","0","11","4","4","0","0","1","0","0","0","0","1","0","0","0","1","0","1","0","12","4","0","0","6","1","2","0","1","0","1","3","2","0","127","14","5","9","0","20","3","30","0","8","5","14","0","0","9","0"
"23-825 Meadow Creek No. 1","265","0","6","0","2","38","19","0","14","0","10","3","6","0","3","0","0","0","0","2","0","0","0","0","0","1","1","0","5","11","4","0","6","0","1","0","1","0","1","4","3","0","158","16","8","7","0","39","6","42","0","10","11","14","0","1","5","0"
"23-830 Meadow Creek No. 2","183","3","1","0","0","18","8","0","9","0","8","0","4","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","5","6","1","0","3","0","0","0","0","0","2","2","1","0","84","12","1","5","0","11","2","18","0","7","7","12","0","0","7","0"
"24-850 Chugach Park No. 2","342","0","3","0","1","26","12","0","5","0","17","5","7","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","5","4","0","0","2","0","1","0","1","0","0","1","1","0","130","16","5","6","0","26","7","25","0","5","3","12","0","0","6","2"
"24-855 Chugiak","164","1","3","0","1","25","11","0","5","0","4","3","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","9","1","0","0","2","0","1","0","4","0","0","1","2","0","73","5","3","2","0","11","0","16","0","7","2","4","0","0","4","0"
"24-860 Eagle River No. 3","257","1","6","0","2","33","18","0","5","0","14","4","5","0","1","0","0","0","0","1","1","0","2","0","0","0","0","0","13","5","7","0","1","2","0","0","1","0","1","2","3","0","115","16","4","3","0","22","9","31","0","6","4","12","0","0","6","1"
"24-865 Eklutna","277","5","6","0","2","33","22","0","8","0","7","5","5","0","1","1","0","0","0","0","0","0","1","0","3","0","2","0","12","7","2","0","2","1","0","0","0","0","0","1","1","0","125","12","4","3","0","20","7","36","0","6","2","14","0","0","9","0"
"24-870 Fire Lake","321","3","5","0","0","31","31","0","11","0","10","4","5","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","8","4","3","0","5","0","3","0","1","1","1","2","1","0","137","16","3","16","0","31","3","34","0","10","3","12","0","0","7","2"
"24-875 Peters Creek No. 1","488","2","8","0","1","51","27","0","11","0","18","8","5","0","2","0","1","0","0","0","1","0","1","0","2","0","0","0","27","14","2","0","2","0","1","0","3","0","0","1","0","0","158","19","10","3","0","23","5","41","0","11","3","20","0","1","12","1"
"24-880 Peters Creek No. 2","243","0","6","0","0","37","22","0","2","0","5","9","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","11","4","1","0","1","1","1","0","3","0","2","0","0","0","99","5","3","4","0","16","4","24","0","8","2","7","0","0","5","0"
"25-305 Butte","610","9","13","0","0","63","51","0","16","1","7","1","9","0","2","0","0","0","2","0","1","0","0","0","1","1","0","0","31","18","5","0","4","0","5","0","4","0","1","2","1","0","176","17","12","2","0","29","3","48","0","5","7","26","0","0","24","1"
"25-310 Greater Palmer","259","1","3","0","1","30","15","0","10","0","4","2","3","0","2","0","0","0","0","0","1","0","0","0","1","0","0","0","15","3","6","0","2","0","0","0","1","0","0","0","0","0","81","4","8","5","0","17","7","26","0","10","2","15","0","0","8","0"
"25-315 Lazy Mountain","393","0","10","0","2","46","27","0","5","0","8","0","3","0","2","0","0","0","1","0","0","0","2","0","0","0","0","0","17","9","3","0","0","1","1","0","1","0","1","2","2","0","136","10","4","3","0","24","9","27","0","9","6","18","0","0","5","1"
"25-320 Palmer City No. 1","238","2","11","0","0","20","12","0","5","0","5","0","2","0","7","0","0","0","0","0","0","0","1","0","2","0","2","0","16","5","4","0","2","0","1","0","1","0","0","0","4","0","116","2","6","4","0","15","1","29","0","5","3","17","0","0","13","0"
"25-325 Palmer City No. 2","213","0","8","0","1","25","22","0","10","0","6","4","2","0","3","1","2","0","0","1","0","0","2","0","3","0","2","0","18","6","4","0","0","0","2","0","3","0","2","3","2","0","95","7","4","4","0","24","3","39","0","6","4","19","0","0","10","2"
"25-330 Springer Loop","376","1","12","0","0","37","31","0","18","0","10","4","3","0","3","0","0","0","0","2","0","0","0","0","0","0","0","0","17","9","1","0","4","0","2","0","0","0","0","2","4","0","105","12","2","3","0","19","3","29","0","8","1","18","0","0","13","2"
"25-335 Walby","340","1","9","0","5","42","45","0","7","0","7","1","9","0","1","0","1","0","0","0","1","0","1","0","1","0","2","0","7","5","2","0","1","0","1","0","0","0","0","0","1","0","82","11","3","1","0","18","3","20","0","8","2","16","0","0","15","1"
"26-350 Fairview No. 1","275","0","2","0","0","29","22","0","9","0","6","3","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","16","4","1","0","3","0","0","0","5","0","1","1","3","0","49","7","2","4","0","7","1","17","0","5","2","6","0","0","11","1"
