"1","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Begich","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Hafner","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Howe","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Peltola","Blank","Overvote"
"2","","Hafner","Hafner","Hafner","Hafner","Howe","Howe","Howe","Howe","Overvote","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Howe","Howe","Howe","Howe","Overvote","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Hafner","Hafner","Hafner","Hafner","Overvote","Peltola","Peltola","Peltola","Peltola","","Begich","Begich","Begich","Begich","Hafner","Hafner","Hafner","Hafner","Howe","Howe","Howe","Howe","Overvote","",""
"3","","","Howe","Overvote","Peltola","","Hafner","Overvote","Peltola","","","Hafner","Howe","Overvote","","","Howe","Overvote","Peltola","","Begich","Overvote","Peltola","","","Begich","Howe","Overvote","","","Hafner","Overvote","Peltola","","Begich","Overvote","Peltola","","","Begich","Hafner","Overvote","","","Hafner","Howe","Overvote","","Begich","Howe","Overvote","","Begich","Hafner","Overvote","","",""
"05-845 Port Lions","36","0","1","0","0","3","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","0","0","2","0","0","0","1","0","0","0","0"
"05-860 Cordova","140","1","6","0","1","25","8","0","2","1","6","2","4","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","7","5","2","0","1","0","0","0","1","0","2","0","2","0","158","7","4","4","0","28","4","31","0","7","0","14","0","0","10","2"
"05-865 Seward-Lowell Point","149","1","4","0","1","14","13","0","5","0","5","1","1","0","5","0","1","0","0","0","0","0","0","0","0","1","0","0","12","5","2","0","1","0","0","0","1","0","1","1","2","0","149","10","1","4","0","31","5","22","0","8","1","13","0","0","10","1"
"05-870 Tatitlek","2","0","1","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","1","1","0","0","1","1","4","0","0","0","1","0","0","0","0"
"06-200 Anchor Point","523","4","6","0","2","54","31","0","11","1","12","0","4","1","7","0","0","0","0","0","1","0","0","0","0","1","0","0","38","7","1","0","5","1","2","0","2","0","2","1","2","0","161","4","2","3","0","16","2","33","0","12","2","16","0","0","20","1"
"06-210 Diamond Ridge","125","0","0","0","0","8","5","0","0","0","3","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","5","6","2","0","0","0","1","0","0","0","0","1","1","0","101","5","0","2","0","26","2","25","0","9","1","10","0","0","8","0"
"06-220 Fox River","152","0","0","0","0","8","1","0","0","0","2","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","3","2","1","0","0","0","0","0","1","0","0","1","0","0","38","6","0","1","0","10","2","9","0","3","0","5","0","1","9","0"
"06-230 Homer No. 1","189","0","1","0","0","19","10","0","4","0","8","1","3","0","5","0","0","0","0","1","0","0","0","0","1","0","1","0","15","4","1","0","0","1","0","0","0","0","2","1","0","0","129","19","2","8","0","46","3","35","0","15","4","18","0","0","9","0"
"06-240 Homer No. 2","224","0","2","0","0","22","7","0","2","0","0","2","1","0","3","0","0","0","0","0","0","0","0","0","2","0","2","0","12","5","0","0","0","1","0","0","0","0","2","0","2","0","147","6","0","2","0","35","3","34","0","12","1","11","0","0","8","0"
"06-250 Kachemak-Fritz Creek","217","0","2","0","0","23","11","0","6","0","5","0","2","0","0","1","0","0","0","1","0","0","0","0","2","0","1","0","13","7","3","0","3","1","0","0","2","0","0","0","0","0","207","10","2","8","0","59","5","41","0","16","5","17","0","1","9","0"
