"1","Begich","Begich","Begich","Begich","Howe","Howe","Howe","Howe","Peltola","Peltola","Peltola","Peltola","Blank","Exhausted","Overvote"
"2","","Howe","Overvote","Peltola","","Begich","Overvote","Peltola","","Begich","Howe","Overvote","","",""
"17-505 Downtown Anchorage No. 1","94","12","0","11","3","5","0","2","152","17","44","0","5","2","0"
"17-510 Downtown Anchorage No. 2","105","17","0","7","6","2","0","2","252","22","78","0","2","0","1"
"17-515 Downtown Anchorage No. 3","89","13","0","6","0","0","0","1","165","14","57","0","1","1","0"
"17-520 Downtown Anchorage No. 4","147","41","0","15","5","8","0","7","271","30","104","0","3","1","4"
"17-525 Downtown Anchorage No. 5","81","31","0","12","7","3","0","6","183","13","78","0","12","5","2"
"17-530 Downtown Anchorage No. 6","66","19","0","6","7","5","0","4","118","12","66","0","8","2","3"
"17-535 Downtown Anchorage No. 7","102","28","0","21","5","5","0","3","166","28","71","0","11","7","0"
"18-550 Government Hill","106","25","0","7","10","4","0","6","169","23","52","0","11","3","3"
"18-555 JBER No.1","387","94","0","21","28","22","0","11","153","28","53","0","25","10","0"
"18-556 JBER No.2","86","35","0","8","6","5","0","5","46","7","26","0","11","3","0"
"18-560 North Muldoon","119","14","0","10","11","1","0","7","130","17","34","0","6","1","1"
"18-565 Ship Creek","17","6","0","2","3","0","0","0","34","1","17","0","4","2","0"
"19-605 Airport Heights No. 1","147","38","0","15","10","11","0","6","344","42","98","0","9","4","0"
"19-610 Airport Heights No. 2","241","29","0","13","28","8","0","6","292","23","61","1","14","4","3"
"19-615 Mountainview No. 1","82","34","1","12","8","12","0","9","154","22","57","0","8","2","1"
"19-620 Mountainview No. 2","90","33","0","13","9","9","0","6","146","22","38","0","8","3","3"
"19-625 South Mountainview","144","33","0","7","12","10","0","6","180","15","38","0","14","2","1"
"20-650 University No. 1","62","29","0","11","2","5","0","2","82","12","51","1","10","1","2"
"20-655 University No. 2","270","59","1","25","29","9","0","15","318","65","106","0","16","6","1"
"20-660 University No. 3","242","62","0","22","13","6","0","4","344","66","139","0","10","7","4"
"20-665 University No. 4","112","39","0","11","8","4","0","2","153","28","60","0","9","1","0"
"20-670 University No. 5","380","98","1","41","13","11","1","9","457","89","182","1","18","4","7"
"21-705 East Anchorage No. 1","233","37","0","12","7","7","0","2","260","38","84","0","9","2","3"
"21-710 East Anchorage No. 2","284","72","1","25","9","8","0","11","238","44","100","1","3","7","1"
"21-715 East Anchorage No. 3","385","92","1","26","16","13","0","11","341","57","152","1","16","5","1"
"21-720 East Anchorage No. 4","258","83","0","21","18","6","0","7","320","43","85","0","11","4","2"
"21-725 East Anchorage No. 5","384","106","1","23","13","19","0","7","425","55","170","1","8","4","1"
