"1","Gara/Cook","Walker/Drygas","Blank","Exhausted","Overvote"
"12-275 Southeast Anchorage No. 6","267","272","6","278","1"
"13-305 South Midtown No. 1","64","47","0","77","0"
"13-310 South Midtown No. 2","338","215","4","380","1"
"13-315 South Midtown No. 3","338","248","9","389","1"
"13-320 South Midtown No. 4","293","187","7","303","1"
"13-325 South Midtown No. 5","325","224","4","286","0"
"14-350 North Midtown No. 1","114","89","2","88","0"
"14-355 North Midtown No. 2","135","119","4","107","0"
"14-360 North Midtown No. 3","122","69","1","100","0"
"14-365 North Midtown No. 4","180","100","6","97","0"
"14-370 North Midtown No. 5","263","186","17","259","3"
"14-375 North Midtown No. 6","178","135","7","140","0"
"14-380 North Midtown No. 7","350","313","4","233","0"
"15-405 Southwest Anchorage No. 1","155","170","6","265","0"
"15-410 Southwest Anchorage No. 2","172","233","7","313","1"
"15-415 Southwest Anchorage No. 3","265","256","7","380","3"
"15-420 Southwest Anchorage No. 4","240","161","5","249","0"
"15-425 Southwest Anchorage No. 5","255","235","9","271","0"
"15-430 Southwest Anchorage No. 6","304","357","7","476","1"
"16-450 West Anchorage No. 1","219","303","1","133","0"
"16-455 West Anchorage No. 2","261","229","4","193","0"
"16-460 West Anchorage No. 3","363","310","5","293","0"
"16-465 West Anchorage No. 4","163","137","3","180","2"
"16-470 West Anchorage No. 5","256","260","6","341","1"
"16-475 West Anchorage No. 6","237","194","4","295","1"
"16-480 West Anchorage No. 7","218","141","6","171","1"
"17-505 Downtown Anchorage No. 1","161","116","3","92","0"
"17-510 Downtown Anchorage No. 2","220","206","5","105","2"
"17-515 Downtown Anchorage No. 3","141","136","3","82","1"
"17-520 Downtown Anchorage No. 4","296","170","4","144","1"
"17-525 Downtown Anchorage No. 5","195","112","7","109","0"
"17-530 Downtown Anchorage No. 6","152","70","5","70","0"
"17-535 Downtown Anchorage No. 7","197","96","11","92","0"
"18-550 Government Hill","144","100","6","93","0"
"18-555 JBER","163","111","4","202","3"
"18-560 North Muldoon","138","62","4","92","0"
"18-565 Ship Creek","38","22","0","27","0"
"19-605 Airport Heights No. 1","329","231","3","168","2"
"19-610 Airport Heights No. 2","251","167","11","186","1"
"19-615 Mountainview No. 1","151","73","4","76","0"
"19-620 Mountainview No. 2","87","67","6","87","0"
"19-625 South Mountainview","139","95","4","131","0"
"20-650 University No. 1","93","55","1","65","1"
"20-655 University No. 2","264","191","5","241","1"
"20-660 University No. 3","314","239","6","244","1"
