"1","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Blank","Overvote"
"2","","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Overvote","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Overvote","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Overvote","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Overvote","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","",""
"3","","","Overvote","Pierce/Grunwald","Walker/Drygas","","","Gara/Cook","Overvote","Walker/Drygas","","Gara/Cook","Overvote","Pierce/Grunwald","","","Overvote","Pierce/Grunwald","Walker/Drygas","","","Dunleavy/Dahlstrom","Overvote","Walker/Drygas","","Dunleavy/Dahlstrom","Overvote","Pierce/Grunwald","","","Gara/Cook","Overvote","Walker/Drygas","","Dunleavy/Dahlstrom","Overvote","Walker/Drygas","","","Dunleavy/Dahlstrom","Gara/Cook","Overvote","","","Gara/Cook","Overvote","Pierce/Grunwald","","Dunleavy/Dahlstrom","Overvote","Pierce/Grunwald","","","Dunleavy/Dahlstrom","Gara/Cook","Overvote","",""
"House District 38","583","9","2","110","61","2","107","94","1","98","40","166","1","216","343","18","2","44","73","0","12","52","3","98","159","98","0","191","49","11","11","1","18","0","5","1","18","5","1","9","9","0","314","27","106","0","97","120","61","3","124","1","4","19","39","0","109","18"
"House District 39","649","23","2","84","117","4","91","84","1","146","44","169","5","206","253","17","0","29","69","1","8","21","1","40","163","112","0","144","45","10","12","2","28","1","6","0","14","4","2","31","18","0","355","26","98","1","83","140","117","1","142","5","5","51","55","0","70","12"
"House District 4","853","26","1","32","32","2","415","80","1","149","96","94","0","82","349","17","0","12","36","0","1","12","0","30","1200","195","2","279","58","38","2","0","17","4","8","0","4","0","6","7","1","0","590","83","89","0","39","1879","273","2","467","2","20","25","33","0","62","8"
"House District 40","555","9","0","50","57","1","92","59","0","72","30","141","0","60","166","8","0","10","31","0","1","10","0","18","107","70","1","68","43","10","6","0","16","2","13","0","3","0","3","4","6","0","271","28","101","0","36","84","57","0","108","1","3","12","18","0","33","2"
"House District 5","1270","30","0","55","45","0","602","103","0","245","98","41","1","110","327","25","1","16","23","1","9","13","0","18","595","97","0","188","82","99","18","0","38","2","6","0","6","0","7","18","4","0","431","80","55","0","44","658","121","0","208","0","33","42","49","0","71","4"
"House District 6","1853","53","0","44","33","2","1774","138","2","282","107","52","1","72","600","41","0","12","36","0","17","16","0","29","1529","253","2","305","292","479","20","0","76","7","6","0","12","1","26","28","9","0","326","41","36","0","31","730","138","0","155","0","26","25","25","0","99","6"
"House District 7","2138","53","1","39","64","2","1455","165","0","284","149","78","1","117","273","35","0","5","64","1","9","9","0","15","443","170","0","84","198","388","24","0","69","4","11","0","1","2","14","26","12","0","268","74","57","0","36","299","128","0","56","0","18","18","17","0","57","12"
"House District 8","2543","57","0","70","80","3","2050","164","2","328","147","87","0","86","306","38","1","10","55","0","8","6","0","20","539","191","1","118","236","465","28","0","80","4","11","0","5","0","18","23","11","0","194","63","58","0","30","318","130","0","73","0","27","18","20","0","64","7"
"House District 9","1888","60","0","67","45","3","1681","175","2","402","228","90","0","132","562","52","0","24","55","0","15","12","0","42","1547","244","0","395","44","150","16","0","25","1","5","0","3","0","2","4","5","0","377","130","81","0","57","1018","263","0","247","1","18","28","37","0","46","5"
"Total","58227","1597","15","2596","1832","72","40961","5827","43","10594","4181","2842","16","3982","14358","1355","7","918","1664","26","452","676","6","1270","28741","5922","22","8672","3211","5133","561","11","1440","128","266","1","251","19","314","553","272","3","12058","2444","2402","5","1754","21918","4851","12","6911","24","611","910","1092","4","2364","296"
