"1","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Dunleavy/Dahlstrom","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Gara/Cook","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Pierce/Grunwald","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Walker/Drygas","Blank","Overvote"
"03-325 Gustavus","29","0","0","0","0","0","5","3","0","7","3","1","0","5","14","2","0","0","1","0","0","1","0","1","31","2","0","3","4","6","0","0","1","0","0","0","0","0","1","0","0","0","17","1","0","0","1","38","3","0","5","0","0","1","0","0","3","0"
"03-330 Haines No. 1","126","6","1","3","2","0","63","5","0","15","9","3","0","6","45","2","0","0","1","0","1","0","0","3","74","9","0","29","15","12","2","0","4","0","0","0","2","0","1","4","1","0","56","11","3","0","8","80","9","0","34","0","4","6","4","0","10","0"
"03-335 Haines No. 2","23","0","0","1","0","0","16","0","0","3","3","0","0","1","6","1","0","0","0","0","1","0","0","0","20","1","0","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","7","2","1","0","0","13","0","0","3","0","3","0","0","0","3","0"
"03-340 Klukwan","3","0","0","0","0","0","1","0","0","1","0","0","0","2","3","0","0","1","0","0","0","0","0","1","4","0","0","5","2","1","0","0","0","0","0","0","0","0","0","1","0","0","7","0","2","0","0","2","2","0","4","0","0","1","1","0","1","0"
"03-345 Skagway","35","2","0","3","2","0","17","6","0","7","5","2","0","6","39","1","0","3","2","0","2","1","0","0","49","11","0","15","1","5","0","0","2","0","2","0","0","0","0","2","0","0","29","6","3","0","4","38","2","0","31","0","4","5","1","0","6","1"
"04-100 Douglas","58","2","0","1","0","0","25","6","0","7","7","8","0","3","21","0","0","3","5","0","0","0","0","7","72","11","0","19","3","3","0","0","1","0","1","0","1","0","2","0","0","0","62","8","8","0","5","160","22","0","36","0","2","0","1","0","1","0"
"04-105 Juneau Airport Area","67","1","0","1","1","0","31","4","0","14","4","4","0","3","13","0","0","0","1","0","0","2","0","1","37","6","0","5","9","6","0","0","1","1","0","0","1","0","0","2","0","0","21","4","3","0","1","24","7","0","11","0","0","1","2","0","4","0"
"04-110 Juneau No. 1","74","1","0","2","1","0","22","1","0","11","9","5","0","11","24","0","0","2","2","0","0","2","0","0","63","14","0","23","5","3","0","0","1","0","0","0","1","0","0","1","0","0","40","15","4","0","3","122","28","0","25","0","4","1","2","0","5","0"
"04-115 Juneau No. 2","33","1","0","1","0","0","19","3","0","9","3","1","0","2","22","0","0","1","0","0","0","0","0","2","121","10","0","15","1","1","0","0","1","0","1","0","0","0","0","0","0","0","34","1","6","0","4","196","22","0","49","0","0","1","3","0","3","0"
"04-120 Juneau No. 3","38","0","0","0","2","0","12","1","0","4","1","2","0","9","10","1","0","0","2","0","0","1","0","1","41","8","0","15","2","4","0","0","1","0","0","0","0","0","1","0","0","0","26","4","4","0","2","70","11","0","17","0","0","1","0","0","6","2"
"04-125 Lemon Creek","93","6","0","3","6","0","39","9","0","12","8","16","0","5","31","4","0","0","3","0","0","1","0","1","43","7","0","17","7","2","0","0","3","0","1","0","0","0","1","0","0","0","46","3","14","0","5","44","13","0","30","0","2","3","4","0","6","0"
"04-130 Glacier Valley Area","77","1","0","6","2","0","50","9","0","16","11","7","0","10","21","0","0","4","1","0","0","1","0","4","30","9","0","14","6","3","0","0","2","1","0","0","0","0","0","0","0","0","19","9","2","0","4","47","17","0","22","0","3","4","2","0","2","0"
"04-135 North Douglas","49","0","0","4","3","0","24","6","0","4","7","6","0","4","19","0","0","0","0","0","0","2","0","1","66","15","0","14","2","4","0","0","1","0","0","0","0","0","0","1","0","0","45","6","9","0","2","134","22","0","31","0","2","1","3","0","3","0"
"05-800 Chiniak","13","0","0","0","0","0","2","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","0","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","6","0","0","0","0","7","0","0","2","0","0","0","0","0","0","0"
"05-810 Flats","108","1","0","2","5","0","53","4","0","21","5","3","0","5","27","1","0","1","0","0","2","0","0","1","39","2","0","14","4","12","3","0","7","0","0","0","0","0","0","1","0","0","15","5","0","0","1","53","8","0","10","0","4","2","3","0","6","0"
"05-815 Kodiak Island South","9","0","0","0","1","0","3","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"05-820 Kodiak No. 1","114","1","0","12","5","0","51","12","0","16","10","5","1","13","27","3","1","3","3","0","2","3","0","2","32","8","0","15","10","6","3","0","3","0","0","0","1","0","2","1","1","0","47","7","6","0","3","50","8","0","15","0","1","1","2","0","4","0"
"05-825 Kodiak No. 2","134","7","0","5","3","0","46","6","0","18","15","3","0","15","29","0","0","2","0","1","0","1","0","4","30","9","0","11","5","10","2","0","3","0","1","0","0","0","0","1","1","0","44","5","7","0","2","36","4","0","10","0","1","6","4","0","13","1"
"05-830 Mission Road","286","8","0","10","10","0","163","35","0","62","19","9","0","20","45","5","0","3","4","0","0","4","0","2","66","11","0","36","20","17","3","0","5","2","2","0","2","0","1","0","2","0","60","19","11","0","16","111","18","0","35","0","11","8","5","0","14","1"
"05-835 Old Harbor","4","0","0","1","2","0","2","0","0","1","0","2","0","1","1","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","1","0","0","0","0","0","2","0","1","0"
"05-840 Ouzinkie","11","2","0","2","0","0","0","1","0","0","0","0","0","1","10","1","0","0","0","0","0","0","0","0","3","2","0","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","6","1","0","0","0","1","0","0","0","0","0","1","1","0","3","0"
"05-845 Port Lions","25","0","0","0","0","0","3","0","0","2","1","1","0","2","1","0","0","0","0","0","0","0","0","0","3","2","0","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","4","0","0","0","0","2","1","0","2","0","0","0","1","0","0","0"
"05-860 Cordova","76","2","0","2","2","0","28","4","0","19","9","2","0","10","20","2","0","0","0","0","0","1","0","2","46","9","0","19","8","6","0","0","6","0","1","0","0","0","0","3","0","0","53","14","12","0","4","80","10","0","36","0","4","10","14","0","1","0"
"05-865 Seward-Lowell Point","113","3","0","6","6","0","74","8","0","28","10","3","0","7","36","5","0","4","2","0","2","1","0","2","82","15","0","16","4","6","3","0","3","0","1","0","1","0","3","1","0","0","28","3","3","0","4","33","22","0","13","0","1","1","3","0","3","0"
"05-870 Tatitlek","3","1","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","1","0","0","0","0","0","0","2","0","0","0","2","0","0","0"
"06-200 Anchor Point","235","3","0","7","4","0","236","31","0","46","10","6","0","10","28","5","0","4","4","0","2","0","0","0","41","21","0","12","39","57","3","0","7","1","1","0","1","0","2","3","1","0","19","2","0","0","3","23","9","0","8","0","1","1","2","0","9","0"
"06-210 Diamond Ridge","95","3","0","2","0","0","99","5","0","12","7","0","0","2","43","1","0","0","3","0","0","0","0","1","69","18","0","13","8","11","0","0","5","0","0","0","0","0","2","1","0","0","13","0","1","0","1","48","6","0","11","0","0","0","1","0","5","0"
"06-220 Fox River","50","2","0","1","2","0","72","2","0","3","2","2","0","2","10","0","0","0","1","0","0","0","0","2","27","5","0","5","10","43","0","0","4","0","0","0","0","0","4","2","0","0","6","1","1","0","1","14","4","0","3","0","2","2","0","0","1","0"
"06-230 Homer No. 1","127","2","0","4","5","0","113","7","0","11","12","4","0","6","50","5","0","0","4","0","3","1","0","6","110","15","0","25","31","45","1","0","3","1","1","0","1","0","3","3","0","0","22","3","4","0","2","57","17","0","12","0","1","1","1","0","17","0"
"06-240 Homer No. 2","105","7","0","4","1","0","149","8","0","22","9","3","0","4","47","4","0","0","5","0","0","0","0","2","104","11","0","16","11","33","1","0","6","1","0","0","3","0","0","4","2","0","19","3","6","0","1","38","7","0","12","0","0","1","1","0","7","1"
"06-250 Kachemak-Fritz Creek","98","6","0","3","4","0","153","3","0","18","6","3","0","5","46","2","0","0","4","0","1","3","0","4","139","25","0","32","22","42","0","0","6","0","0","0","0","0","0","0","0","0","33","5","3","0","3","77","15","0","17","0","3","2","0","0","7","0"
"06-260 Kasilof","312","10","0","3","4","2","272","20","1","43","20","3","1","14","43","4","0","1","7","0","1","4","0","2","66","19","0","15","58","73","8","0","13","1","2","0","3","0","2","5","2","0","30","3","5","0","8","60","6","0","5","0","3","2","2","0","14","1"
"06-270 Ninilchik","176","5","0","6","5","0","139","13","0","17","6","6","0","7","26","2","0","1","0","0","1","3","0","1","24","5","0","18","13","23","2","0","5","0","1","0","1","0","0","2","2","0","14","4","2","0","5","13","8","0","5","0","4","2","4","0","9","0"
"06-280 Seldovia-Kachemak Bay","35","0","0","1","0","0","16","3","0","4","6","2","0","1","11","2","0","0","0","0","0","0","0","1","30","7","0","7","5","3","1","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","1","16","3","0","1","0","0","0","0","0","3","0"
"07-005 Central","269","6","0","3","11","0","164","16","0","43","9","8","1","8","29","4","0","1","4","0","1","1","0","2","26","17","0","4","22","46","1","0","11","0","1","0","0","0","2","5","2","0","20","4","7","0","3","24","11","0","7","0","4","4","2","0","5","1"
"07-010 K Beach","337","10","0","1","7","0","267","21","0","33","35","9","0","15","26","4","0","1","12","0","0","2","0","2","28","19","0","9","19","59","7","0","11","0","1","0","0","1","2","4","2","0","30","10","3","0","3","31","10","0","7","0","1","0","0","0","9","1"
"07-015 Kenai No. 1","209","11","1","6","12","0","177","27","0","39","16","8","0","15","28","8","0","1","6","0","1","1","0","2","43","20","0","12","36","46","3","0","13","1","2","0","1","0","3","4","0","0","32","9","9","0","5","28","13","0","7","0","2","7","2","0","6","1"
"07-020 Kenai No. 2","116","3","0","4","7","0","106","14","0","28","9","7","0","8","22","0","0","0","5","0","2","0","0","3","27","9","0","6","23","26","2","0","8","0","1","0","0","0","0","3","1","0","20","3","3","0","2","13","8","0","4","0","2","0","0","0","5","1"
"07-025 Kenai No. 3","135","3","0","3","2","0","87","10","0","15","8","6","0","6","13","4","0","0","4","0","0","0","0","2","23","10","0","4","8","21","1","0","5","0","1","0","0","0","0","2","2","0","19","5","1","0","2","11","7","0","1","0","0","2","1","0","4","0"
"07-030 Soldotna","285","6","0","12","11","0","186","23","0","26","22","11","0","15","44","1","0","0","8","1","2","3","0","2","45","18","0","8","21","45","4","0","9","0","4","0","0","0","1","4","2","0","27","12","9","0","6","28","21","0","7","0","5","2","4","0","5","3"
"08-035 Bear Creek","146","5","0","4","5","0","115","18","0","29","9","5","0","5","37","4","0","0","3","0","1","0","0","4","62","26","0","16","12","17","3","0","4","2","2","0","1","0","0","0","0","0","20","7","4","0","4","32","17","0","7","0","0","2","0","0","7","1"
"08-040 Cooper Landing","28","2","0","1","1","0","26","0","0","0","0","4","0","0","10","0","0","0","1","0","0","1","0","0","14","1","0","6","2","4","0","0","1","0","0","0","0","0","1","0","0","0","3","2","6","0","0","18","4","0","2","0","0","1","1","0","1","0"
"08-045 Funny River No. 1","128","4","0","2","3","0","95","9","0","9","4","6","0","2","17","3","0","0","3","0","0","0","0","0","17","8","0","1","14","19","4","0","5","0","2","0","1","0","1","2","0","0","6","5","1","0","1","9","5","0","0","0","4","0","2","0","3","1"
"08-050 Funny River No. 2","119","2","0","1","6","0","109","10","0","16","12","5","0","1","17","1","0","0","2","0","0","1","0","0","22","3","0","3","3","20","1","0","1","1","1","0","0","0","0","0","1","0","1","3","2","0","1","7","1","0","2","0","2","1","2","0","4","1"
"08-055 Hope","11","0","0","0","0","0","8","1","0","0","2","0","0","0","6","0","0","0","3","0","0","0","0","0","10","3","0","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","0","1","4","4","0","0","0","0","1","1","0","0","0"
"08-060 Mackey Lake","218","5","0","4","4","0","172","11","0","23","13","11","0","4","26","3","0","1","6","0","1","0","0","2","21","10","0","3","16","40","2","0","5","0","0","0","1","0","2","4","1","0","11","3","4","0","0","18","10","0","6","0","3","0","0","0","6","0"
"08-065 Moose Pass","29","1","0","0","0","0","22","2","0","3","2","1","0","2","14","0","0","0","1","0","0","0","0","0","17","4","0","9","4","4","0","0","1","0","0","0","0","0","1","0","0","0","5","0","0","0","0","11","2","0","2","0","0","0","0","0","1","0"
"08-070 Nikiski","253","1","0","9","10","0","234","19","0","32","13","7","0","10","21","2","0","3","5","0","0","1","0","2","24","10","0","4","27","66","3","0","11","1","0","0","0","0","4","4","3","0","10","7","6","0","3","19","7","0","0","0","4","1","3","0","8","3"
"08-075 Salamatof","247","5","0","9","12","0","252","22","0","38","14","8","0","13","17","2","0","2","3","0","2","2","0","3","27","13","0","10","29","63","3","0","13","0","1","0","1","0","3","5","2","0","16","2","7","0","5","15","12","0","7","0","5","2","2","0","6","0"
"08-080 Sterling No. 1","244","6","0","7","10","1","193","16","0","25","11","8","0","14","12","3","0","1","6","0","1","0","0","2","27","13","0","3","22","58","3","0","8","0","1","0","0","0","0","0","0","0","18","7","6","0","0","20","10","0","4","0","0","2","2","0","7","0"
"08-085 Sterling No. 2","286","4","0","9","7","0","237","19","0","43","11","14","0","8","16","5","0","0","4","0","0","0","0","2","23","8","0","7","37","62","0","0","4","0","0","0","0","0","2","1","4","0","18","3","4","0","4","13","11","0","3","0","2","2","2","0","3","0"
"09-105 Girdwood","57","4","0","8","1","0","52","7","0","13","6","5","0","3","75","9","0","5","6","0","0","1","0","5","155","23","0","54","1","5","2","0","1","0","1","0","1","0","0","0","1","0","39","9","6","0","2","89","25","0","30","0","0","4","3","0","6","0"
"09-110 Indian","19","1","0","2","0","0","17","4","0","2","1","0","0","1","9","0","0","0","2","0","1","0","0","3","18","1","0","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","11","3","0","0","0","13","3","0","1","0","2","0","0","0","1","0"
"09-115 South Anchorage No. 1","228","4","0","8","6","0","211","29","0","65","17","13","0","20","47","5","0","3","7","0","0","2","0","4","123","19","0","31","9","15","3","0","5","0","0","0","1","0","1","0","1","0","41","8","18","0","6","85","29","0","19","0","2","2","9","0","7","0"
"09-120 South Anchorage No. 2","287","9","0","6","9","0","268","30","0","51","32","9","0","19","42","5","0","3","7","0","1","3","0","7","98","24","0","28","10","18","0","0","3","0","0","0","0","0","0","0","2","0","34","18","10","0","12","89","19","0","27","0","1","6","2","0","4","0"
"09-125 South Anchorage No. 3","226","6","0","7","4","0","220","20","1","41","29","7","0","15","62","8","0","1","1","0","2","1","0","2","127","22","0","25","4","22","1","0","3","1","2","0","0","0","0","1","0","0","38","18","9","0","8","89","23","0","15","1","1","1","4","0","7","0"
"09-130 South Anchorage No. 4","231","6","0","11","2","1","232","26","0","46","34","12","0","18","49","8","0","5","10","0","1","0","0","3","109","25","0","35","6","18","6","0","3","0","0","0","0","0","0","0","0","0","45","19","6","0","7","94","26","0","29","0","2","5","5","0","0","1"
"09-135 South Anchorage No. 5","119","3","0","3","2","0","84","11","0","23","10","6","0","7","23","3","0","1","6","0","2","0","0","2","58","13","0","15","2","3","1","0","1","0","0","0","0","0","0","0","0","0","14","3","3","0","1","37","13","0","11","0","1","0","2","0","0","0"
"09-140 Stuckagain Heights","25","3","0","0","1","0","24","0","0","3","5","0","0","2","2","1","0","0","2","0","1","0","0","2","29","3","0","8","0","5","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","1","15","8","0","3","0","1","1","2","0","1","0"
"09-145 Whittier","33","2","0","2","0","0","4","0","0","6","3","2","0","4","9","0","0","2","0","0","0","0","0","3","6","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","1","0","0","0","1","1","0","1","0","0","0","0","0","2","0"
"10-150 Dimond","148","7","0","11","3","0","87","25","0","20","8","5","0","15","48","5","0","5","7","0","2","6","0","5","63","17","0","26","10","17","4","0","4","0","1","0","2","0","0","1","1","0","14","5","4","0","2","29","9","0","9","0","0","0","5","0","7","0"
