"1","Bishop","Bishop","Bishop","Bishop","Bishop","Bishop","Bishop","Bishop","Bishop","Bishop","Bishop","Bishop","Bishop","Overvote","Verhagen","Verhagen","Verhagen","Verhagen","Verhagen","Verhagen","Verhagen","Verhagen","Verhagen","Verhagen","Verhagen","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Williams","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Write-in","Blank"
"2","","Overvote","Verhagen","Verhagen","Verhagen","Verhagen","Williams","Williams","Williams","Williams","Write-in","Write-in","Write-in","","","Bishop","Bishop","Bishop","Williams","Williams","Williams","Williams","Write-in","Write-in","Write-in","","Bishop","Bishop","Bishop","Overvote","Verhagen","Verhagen","Verhagen","Verhagen","Write-in","Write-in","Write-in","","Bishop","Bishop","Bishop","Verhagen","Verhagen","Verhagen","Williams","Williams","Williams",""
"3","","","","Overvote","Williams","Write-in","","Overvote","Verhagen","Write-in","","Verhagen","Williams","","","","Williams","Write-in","","Bishop","Overvote","Write-in","","Bishop","Williams","","","Verhagen","Write-in","","","Bishop","Overvote","Write-in","","Bishop","Verhagen","","","Verhagen","Williams","","Bishop","Williams","","Bishop","Verhagen",""
"36-110 Manley","17","0","4","0","0","0","0","0","3","0","0","0","0","0","11","2","1","0","4","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36-114 McGrath","24","0","8","0","7","0","0","0","6","0","0","0","0","0","7","2","3","0","0","1","0","0","0","0","0","13","0","1","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6"
"36-118 Mentasta","15","0","1","0","2","0","0","0","2","0","0","0","0","0","4","0","0","0","0","1","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"36-122 Minto","21","0","1","0","5","0","3","0","7","0","0","0","0","0","1","1","2","0","0","0","0","0","0","0","0","1","0","2","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36-126 Nenana","76","0","14","0","11","0","13","0","24","1","2","0","0","0","39","10","21","0","13","9","0","0","3","0","0","9","6","5","0","0","3","3","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","7"
"36-130 Nikolai","9","0","0","0","1","0","1","0","6","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0","9","1","2","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"36-134 Northway","35","1","1","0","7","0","5","0","11","0","0","0","0","0","4","0","0","0","1","2","0","0","0","0","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"36-138 Nulato","37","0","1","0","6","0","1","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36-142 Ruby","22","0","1","0","4","0","3","0","2","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"36-146 Shageluk","5","0","0","0","1","0","0","0","4","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","6","0","1","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"36-162 Tanana","34","0","4","0","4","0","2","0","7","0","0","0","0","0","4","1","0","0","0","3","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"36-166 Tetlin","2","0","0","0","2","0","0","0","5","0","0","0","0","0","2","0","2","0","0","2","0","0","0","0","0","0","0","8","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"36-170 Tok","116","0","33","0","18","0","6","0","17","0","0","0","0","0","132","41","13","0","13","21","0","1","0","0","0","26","2","6","0","0","6","3","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","16"
"36-174 Venetie","15","0","1","0","0","0","0","0","0","0","0","0","0","0","5","1","0","0","0","3","0","0","0","0","0","13","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"District 35 - Absentee","416","0","74","1","57","1","45","0","40","3","7","0","1","1","78","54","27","1","20","19","0","2","1","0","0","86","18","25","1","0","7","22","0","0","1","0","1","8","0","1","0","0","0","0","0","0","1","129"
"District 35 - Early Voting","561","0","108","0","88","3","65","0","86","1","1","1","2","0","98","80","38","0","30","24","0","3","2","0","0","109","17","45","0","0","6","29","1","0","0","1","0","7","1","0","0","0","1","0","2","2","1","97"
"District 35  - Question","22","1","6","0","7","0","0","0","5","0","0","0","0","0","12","4","3","0","0","4","0","0","0","0","0","10","2","3","0","0","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","106"
"District 36 - Early Voting - 1","15","0","5","0","2","0","2","0","3","0","0","0","0","0","2","1","0","0","0","1","0","0","0","0","0","10","0","5","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"District 36 - Early Voting - 2","177","0","24","0","22","1","14","0","34","2","0","1","0","1","35","12","4","1","10","6","0","1","0","0","0","34","12","11","0","0","4","7","0","0","0","1","0","3","1","0","0","1","0","0","0","0","0","25"
"District 36 - Question - 1","12","0","4","0","3","0","3","0","6","0","1","0","0","0","1","1","1","0","0","1","0","0","0","0","0","3","0","1","0","0","0","4","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","20"
"District 36 - Question - 2","31","0","4","0","8","0","2","0","10","0","0","0","0","0","9","2","4","0","1","0","0","0","0","0","0","10","1","4","1","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","107"
"House District 36 - Judicial District 3","130","0","57","0","19","0","12","0","21","0","2","1","1","1","50","32","7","1","6","2","0","0","1","0","0","47","3","7","0","0","5","9","0","1","0","0","0","0","1","0","0","0","0","0","1","0","0","43"
"House District 36 - Judicial District 4","350","1","88","0","50","4","22","0","57","1","5","0","0","3","170","87","32","1","25","24","0","1","2","1","2","83","15","16","1","1","11","20","0","0","2","1","0","13","4","0","0","1","0","0","0","0","2","79"
"Total","4799","6","1172","1","968","15","427","3","870","12","33","5","6","12","1786","958","481","6","367","334","1","17","19","2","2","1197","210","418","4","4","125","305","1","2","10","5","3","61","8","3","1","2","2","1","4","6","7","1149"
